Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2017-03-26,2.82,2017-06-11,2.87,2017-03-19,Buy,11 Weeks,1.77%,Rise by 3.9%,18.46%,Normal Case,
2017-04-16,2.81,2017-07-09,2.925,2017-04-09,Buy,12 Weeks,4.09%,Rise by 6.94%,22.55%,Normal Case,
2017-05-21,2.93,2017-09-03,2.9,2017-05-14,Buy,15 Weeks,-1.02%,Rise by 1.02%,21.53%,Normal Case,
2017-07-02,2.91,2017-09-03,2.9,2017-06-18,Buy,9 Weeks,-0.34%,Rise by 1.72%,21.18%,Normal Case,
2017-08-13,2.94,2017-12-10,2.97,2017-08-06,Buy,17 Weeks,1.02%,Rise by 1.36%,22.2%,Normal Case,
2017-08-20,2.96,2017-12-10,2.97,2017-08-13,Buy,16 Weeks,0.34%,Rise by 0.68%,22.54%,Normal Case,
2017-11-19,2.9,2018-01-28,2.81,2017-11-12,Buy,10 Weeks,-3.1%,Rise by 2.76%,19.44%,Normal Case,
2018-02-25,2.86,2018-07-01,3.12,2018-02-04,Buy,18 Weeks,9.09%,Rise by 11.01%,28.53%,Normal Case,
2018-03-25,2.945,2018-07-01,3.12,2018-03-18,Buy,14 Weeks,5.94%,Rise by 7.81%,34.47%,Normal Case,
2018-04-08,2.855,2018-07-01,3.12,2017-11-05,Buy,12 Weeks,9.28%,Rise by 11.21%,43.75%,Local Extrema Case,
2018-04-29,2.89,2018-07-01,3.12,2018-04-22,Buy,9 Weeks,7.96%,Rise by 9.86%,51.71%,Normal Case,
2018-05-06,2.955,2018-08-05,3.115,2018-04-29,Buy,13 Weeks,5.41%,Rise by 7.45%,57.13%,Normal Case,
2018-06-03,3.06,2018-08-05,3.115,2018-05-27,Buy,9 Weeks,1.8%,Rise by 9.48%,58.92%,Normal Case,
2018-07-01,3.12,2018-09-09,3.22,2018-06-24,Buy,10 Weeks,3.21%,Rise by 7.37%,62.13%,Normal Case,
2018-08-19,3.17,2019-01-27,3.525,2018-08-12,Buy,23 Weeks,11.2%,Rise by 32.02%,73.33%,Normal Case,
2018-10-07,3.23,2019-01-27,3.525,2018-09-30,Buy,16 Weeks,9.13%,Rise by 29.57%,82.46%,Normal Case,
2018-11-04,3.09,2019-01-27,3.525,2018-10-28,Buy,12 Weeks,14.08%,Rise by 35.44%,96.54%,Normal Case,
2018-11-18,3.24,2019-01-27,3.525,2018-08-05,Buy,10 Weeks,8.8%,Rise by 29.17%,105.33%,Local Extrema Case,
2018-11-18,3.24,2019-01-27,3.525,2018-11-11,Buy,10 Weeks,8.8%,Rise by 29.17%,114.13%,Normal Case,
2018-12-09,3.26,2019-04-21,4.08,2018-09-16,Buy,19 Weeks,25.15%,Rise by 28.37%,139.28%,Local Extrema Case,
2018-12-09,3.26,2019-04-21,4.08,2018-12-02,Buy,19 Weeks,25.15%,Rise by 28.37%,164.44%,Normal Case,
2018-12-23,3.4,2019-04-21,4.08,2018-12-16,Buy,17 Weeks,20.0%,Rise by 23.09%,184.44%,Normal Case,
2018-12-30,3.41,2019-04-21,4.08,2018-12-23,Buy,16 Weeks,19.65%,Rise by 22.73%,204.09%,Normal Case,
2019-03-10,3.88,2019-06-09,4.38,2019-03-03,Buy,13 Weeks,12.89%,Rise by 38.02%,216.97%,Normal Case,
2019-03-31,4.185,2019-06-09,4.38,2019-03-24,Buy,10 Weeks,4.66%,Rise by 27.96%,221.63%,Normal Case,
2019-05-12,4.21,2019-07-14,4.82,2019-05-05,Buy,9 Weeks,14.49%,Rise by 27.2%,236.12%,Normal Case,
2019-05-19,4.32,2019-09-22,5.115,2019-05-12,Buy,18 Weeks,18.4%,Rise by 23.96%,254.52%,Normal Case,
2019-06-02,4.24,2019-09-22,5.115,2019-05-19,Buy,16 Weeks,20.64%,Rise by 26.3%,275.16%,Normal Case,
2019-06-09,4.38,2019-09-22,5.115,2019-06-02,Buy,15 Weeks,16.78%,Rise by 22.26%,291.94%,Normal Case,
2019-08-04,4.825,2020-01-12,5.03,2019-07-21,Buy,23 Weeks,4.25%,Rise by -10.57%,296.19%,Normal Case,
2019-08-18,4.75,2020-01-12,5.03,2019-08-04,Buy,21 Weeks,5.89%,Rise by 17.47%,302.09%,Normal Case,
2019-09-29,5.18,2020-01-12,5.03,2019-09-22,Buy,15 Weeks,-2.9%,Rise by -12.55%,299.19%,Normal Case,
2019-10-13,5.31,2020-01-12,5.03,2019-09-29,Buy,13 Weeks,-5.27%,Rise by -11.3%,293.92%,Normal Case,
2019-12-08,5.0,2020-03-01,4.62,2019-12-01,Buy,12 Weeks,-7.6%,Rise by 11.6%,286.32%,Normal Case,
2020-02-02,5.345,2020-05-31,4.75,2020-01-26,Buy,17 Weeks,-11.13%,Rise by -21.42%,275.18%,Normal Case,
2020-02-09,5.52,2020-05-31,4.75,2020-01-19,Buy,16 Weeks,-13.95%,Rise by -27.72%,261.24%,Normal Case,
2020-05-17,4.61,2020-07-26,4.75,2020-05-10,Buy,10 Weeks,3.04%,Rise by 15.4%,264.27%,Normal Case,
2020-06-21,5.03,2020-09-13,4.99,2020-06-14,Buy,12 Weeks,-0.8%,Rise by 5.77%,263.48%,Normal Case,
2020-06-28,4.82,2020-09-13,4.99,2020-06-07,Buy,11 Weeks,3.53%,Rise by 10.37%,267.0%,Normal Case,
2020-09-06,4.945,2020-11-29,6.18,2020-08-30,Buy,12 Weeks,24.97%,Rise by 84.83%,291.98%,Normal Case,
2020-09-13,4.99,2020-11-29,6.18,2020-08-23,Buy,11 Weeks,23.85%,Rise by 83.17%,315.83%,Normal Case,
2020-11-01,5.3,2021-01-24,8.08,2020-10-11,Buy,12 Weeks,52.45%,Rise by 72.45%,368.28%,Normal Case,
2021-01-10,9.14,2021-05-02,5.33,2021-01-03,Buy,16 Weeks,-41.68%,Rise by -37.64%,326.59%,Normal Case,
2021-01-31,7.15,2021-05-02,5.33,2021-01-24,Buy,13 Weeks,-25.45%,Rise by -21.68%,301.14%,Normal Case,
2021-03-28,5.105,2022-01-16,4.77,2016-01-24,Buy,42 Weeks,-6.56%,Rise by -11.26%,294.58%,Tangent Case,
2021-06-06,5.325,2022-01-16,4.77,2021-05-30,Buy,32 Weeks,-10.42%,Rise by -13.05%,284.15%,Normal Case,
2021-06-20,5.18,2022-01-16,4.77,2021-06-06,Buy,30 Weeks,-7.92%,Rise by -10.62%,276.24%,Normal Case,
2021-07-25,5.285,2022-01-16,4.77,2021-07-18,Buy,25 Weeks,-9.74%,Rise by -12.39%,266.5%,Normal Case,
2021-09-12,5.105,2022-01-16,4.77,2021-09-05,Buy,18 Weeks,-6.56%,Rise by -11.26%,259.93%,Normal Case,
2021-09-19,5.2,2022-01-16,4.77,2021-08-29,Buy,17 Weeks,-8.27%,Rise by -10.96%,251.66%,Normal Case,
2021-09-26,5.2,2022-01-16,4.77,2021-09-19,Buy,16 Weeks,-8.27%,Rise by -10.96%,243.39%,Normal Case,
2021-12-05,4.76,2022-03-20,5.12,2016-02-14,Buy,15 Weeks,7.56%,Rise by 9.87%,250.96%,Tangent Case,
2021-12-05,4.76,2022-03-20,5.12,2021-11-28,Buy,15 Weeks,7.56%,Rise by 9.87%,258.52%,Normal Case,
2021-12-26,4.92,2022-03-20,5.12,2021-12-19,Buy,12 Weeks,4.07%,Rise by 6.3%,262.59%,Normal Case,
2022-02-13,4.9,2022-09-04,4.98,2022-02-06,Buy,29 Weeks,1.63%,Rise by -11.02%,264.22%,Normal Case,
2022-02-20,5.055,2022-09-04,4.98,2022-02-13,Buy,28 Weeks,-1.48%,Rise by -11.57%,262.73%,Normal Case,
2022-03-06,5.23,2022-09-04,4.98,2022-02-20,Buy,26 Weeks,-4.78%,Rise by -11.47%,257.95%,Normal Case,
2022-03-13,5.11,2022-09-04,4.98,2022-03-06,Buy,25 Weeks,-2.54%,Rise by -12.52%,255.41%,Normal Case,
2022-04-10,4.995,2022-09-04,4.98,2022-04-03,Buy,21 Weeks,-0.3%,Rise by -11.51%,255.11%,Normal Case,
2022-05-08,4.63,2022-09-04,4.98,2022-02-27,Buy,17 Weeks,7.56%,Rise by 13.61%,262.67%,Local Extrema Case,
2022-05-22,4.5,2022-09-04,4.98,2022-05-15,Buy,15 Weeks,10.67%,Rise by 16.89%,273.34%,Normal Case,
2022-06-12,4.67,2022-09-04,4.98,2022-06-05,Buy,12 Weeks,6.64%,Rise by 12.63%,279.97%,Normal Case,
2022-07-17,4.82,2023-01-29,5.29,2022-07-10,Buy,28 Weeks,9.75%,Rise by 13.59%,289.73%,Normal Case,
