"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"XIU.TO, Long, 2026-03-01 (Price: 49.71)",No Exit Yet,"-2.88%, 7 days","93.75%, Past 10 years, 16","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-06 (Price: 48.28), 2.88% below",7 days,"4, 2016-03-20 (Price: 20.16)",2026-02-22 (Price: 49.57),2026-02-27 (Price: 49.71),12/7/5 days,2.6% below/2.88% below/2.88% below,2016-03-20 (Price: 20.16)/2026-03-01 (Price: 48.8542),5.21%/1.57%/3.94%,"2.16%, 32.4%",1.1 year/28 days/6.6 months,2027-09-25/2026-04-10/2026-12-12,4.69%,4.03%,0.66%,1.63,0.17,50.5054/51.6686/67.44/No Horizontal Resistance/53.8646/79.5406/No EMA 200 Target,35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),49.56
"AIA.NZ, Long, 2026-03-01 (Price: 9.16)",No Exit Yet,"-4.59%, 7 days","100.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-06 (Price: 8.74), 4.59% below",7 days,"2, 2025-06-22 (Price: 8.1)",2026-02-22 (Price: 8.88),2026-03-01 (Price: 9.16),12/5/5 days,1.58% below/4.59% below/4.59% below,2025-06-22 (Price: 8.1)/2026-03-01 (Price: 8.6371),12.76%/0.47%/5.85%,"-0.0%, 7.89%",4 months/28 days/2.5 months,2026-08-21/2026-04-10/2026-06-17,10.91%,5.79%,5.12%,1.45,0.3,9.9871/9.6959/9.8/No Horizontal Resistance/11.1706/12.8535/No EMA 200 Target,7.47/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.97,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),8.85
"CNU.NZ, Long, 2026-03-01 (Price: 9.58)",No Exit Yet,"-2.3%, 7 days","100.0%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-06 (Price: 9.36), 2.3% below",7 days,"2, 2025-09-07 (Price: 9.98)",2026-03-01 (Price: 9.58),2026-02-27 (Price: 9.58),5/7/5 days,2.3% below/2.3% below/2.3% below,2025-09-07 (Price: 9.98)/2026-03-01 (Price: 9.4764),11.36%/2.06%/5.35%,"0%, 21.14%",1.3 year/1.2 month/8.2 months,2028-01-07/2026-04-22/2027-02-18,11.35%,5.38%,5.97%,2.01,0.27,10.3828/10.0925/9.82/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.13/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.12,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),9.52
"ATM.NZ, Long, 2026-03-01 (Price: 11.55)",No Exit Yet,"2.51%, 7 days","90.0%, Past 10 years, 20","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-06 (Price: 11.84), 2.51% above",7 days,"2, 2025-11-09 (Price: 11.08)",2026-03-01 (Price: 11.55),2026-02-25 (Price: 11.27),5/9/5 days,2.51% above/5.06% above/2.51% above,2025-11-09 (Price: 11.08)/2026-03-01 (Price: 11.016),45.16%/6.52%/21.14%,"5.0%, 38.02%",6.8 months/1.2 month/2.7 months,2026-12-21/2026-04-22/2026-06-26,20.45%,21.22%,-0.77%,1.35,0.89,14.985/13.9917/11.83/No Horizontal Resistance/21.86/25.8879/No EMA 200 Target,9.66/5.185/9.9254/9.2893/No F-Track Level/No F-Track Level/9.8,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),11.23
"MX.TO, Long, 2026-03-01 (Price: 68.82)",No Exit Yet,"-1.87%, 7 days","82.61%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-02-27",Already confirmed,"2026-03-06 (Price: 67.53), 1.87% below",7 days,"2, 2016-03-20 (Price: 48.95)",2026-03-01 (Price: 68.82),2026-02-27 (Price: 68.82),5/7/5 days,1.87% below/1.87% below/1.87% below,2016-03-20 (Price: 48.95)/2026-03-01 (Price: 64.8541),35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,2027-11-16/2026-04-10/2026-09-16,11.89%,3.89%,8.0%,0.73,0.26,79.1155/80.7534/80.74/73.435/104.8718/122.9238/No EMA 200 Target,47.63/38.425/68.3859/48.7635/No F-Track Level/No F-Track Level/52.74,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),67.08
"SOXX, Long, 2026-02-28 (Price: 352.29)",No Exit Yet,"-8.17%, 8 days","77.78%, Past 20 years, 9","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 323.51), 8.17% below",8 days,"0, 2002-03-31 (Price: 25.5067)",2026-01-31 (Price: 346.3),2026-02-27 (Price: 352.29),34/7/6 days,6.58% below/8.17% below/8.17% below,2002-03-31 (Price: 25.5067)/2026-02-28 (Price: 318.4767),26.25%/7.49%/15.33%,"39.0%, 59.88%",10.2 months/5 months/6.2 months,2027-05-17/2026-10-03/2026-11-24,-3.22%,7.76%,-10.98%,0.06,0.4,403.3016/406.2961/548.36/No Horizontal Resistance/348.2242/411.0319/No EMA 200 Target,183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),342.37
"XLU, Long, 2026-02-28 (Price: 47.73)",No Exit Yet,"-2.07%, 8 days","81.25%, Past 20 years, 16","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 46.74), 2.07% below",8 days,"4, 2020-02-29 (Price: 35.55)",2026-02-28 (Price: 47.73),2026-02-09 (Price: 43.48),6/25/6 days,2.07% below/7.5% above/2.07% below,2020-02-29 (Price: 35.55)/2026-02-28 (Price: 43.2005),13.3%/1.41%/7.12%,"27.25%, 40.67%",3.4 years/5.1 months/1.6 year,2031-01-05/2026-10-07/2028-06-11,2.88%,2.86%,0.02%,-0.05,0.05,51.2668/51.1284/55.04/No Horizontal Resistance/49.4858/72.2363/No EMA 200 Target,29.46/29.8725/35.4254/26.7354/No F-Track Level/No F-Track Level/42.99,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),43.3
"XLE, Long, 2026-02-28 (Price: 55.92)",No Exit Yet,"1.16%, 8 days","84.62%, Past 20 years, 13","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 56.57), 1.16% above",8 days,"0, 2022-06-30 (Price: 46.655)",2026-01-31 (Price: 51.05),2026-02-03 (Price: 51.67),34/31/6 days,10.81% above/9.48% above/1.16% above,2022-06-30 (Price: 46.655)/2026-02-28 (Price: 46.3737),39.5%/7.86%/23.13%,"28.83%, 62.76%",4.8 years/10.1 months/1.8 year,2033-01-04/2027-05-12/2028-09-23,6.1%,3.44%,2.66%,0.63,0.15,61.0982/68.8543/61.48/No Horizontal Resistance/53.7738/58.8712/No EMA 200 Target,40.25/22.8475/37.4998/27.2174/No F-Track Level/No F-Track Level/45.16,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),50.1
"DIA, Long, 2026-02-28 (Price: 489.66)",No Exit Yet,"-2.95%, 8 days","100.0%, Past 20 years, 19","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 475.23), 2.95% below",8 days,"0, 2001-05-31 (Price: 113.64)",2026-01-31 (Price: 489.03),2026-02-27 (Price: 489.66),34/7/6 days,2.82% below/2.95% below/2.95% below,2001-05-31 (Price: 113.64)/2026-02-28 (Price: 484.37),12.39%/4.81%/9.01%,"-0.0%, 49.08%",2.6 years/8.1 months/1.4 year,2029-11-14/2027-02-14/2028-02-26,1.42%,4.44%,-3.02%,2.35,0.21,528.2452/533.7784/715.27/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,406.34/321.6725/359.6128/249.2814/No F-Track Level/No F-Track Level/462.04,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),488.87
"ENZL, Long, 2026-02-28 (Price: 47.4776)",No Exit Yet,"-3.72%, 8 days","100.0%, Past 20 years, 5","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 45.71), 3.72% below",8 days,"2, 2024-09-30 (Price: 50.41)",2026-02-28 (Price: 47.4776),2026-02-25 (Price: 47.1645),6/9/6 days,3.72% below/3.08% below/3.72% below,2024-09-30 (Price: 50.41)/2026-02-28 (Price: 46.3954),18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,2028-04-20/2027-08-03/2027-11-15,5.75%,1.82%,3.93%,1.1,-0.01,47.0218/55.582/49.24/65.1933/79.7363/84.688/No EMA 200 Target,42.08/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.77,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),47.08
"BYD.TO, Long, 2026-02-28 (Price: 238.09)",No Exit Yet,"-5.57%, 8 days","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 224.83), 5.57% below",8 days,"2, 2024-02-29 (Price: 324.75)",2026-01-31 (Price: 223.17),2026-02-26 (Price: 240.82),34/8/6 days,0.74% above/6.64% below/5.57% below,2024-02-29 (Price: 324.75)/2026-02-28 (Price: 213.2612),21.68%/5.8%/10.67%,"-0.0%, 33.29%",1.1 year/5.1 months/9.8 months,2027-09-24/2026-10-07/2027-04-29,14.79%,10.47%,4.32%,1.34,0.52,364.111/263.4942/290.09/256.6133/367.2583/388.6839/No EMA 200 Target,192.05/188.685/229.0045/147.1212/No F-Track Level/No F-Track Level/219.24,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),221.66
"EWJ, Long, 2026-02-28 (Price: 92.37)",No Exit Yet,"-8.23%, 8 days","71.43%, Past 20 years, 14","Monthly, is CONFIRMED on 2026-02-28",Already confirmed,"2026-03-06 (Price: 84.77), 8.23% below",8 days,"4, 2001-05-31 (Price: 46.88)",2026-01-31 (Price: 85.72),2026-01-29 (Price: 86.09),34/36/6 days,1.11% below/1.53% below/8.23% below,2001-05-31 (Price: 46.88)/2026-02-28 (Price: 84.9372),18.23%/6.32%/9.77%,"17.76%, 22.9%",2.4 years/5 months/1.8 year,2029-08-02/2026-10-03/2028-09-23,4.29%,2.12%,2.17%,0.28,-0.01,93.4784/101.3945/119.66/No Horizontal Resistance/90.9425/104.8752/No EMA 200 Target,67.1/53.915/83.4752/No support/No F-Track Level/No F-Track Level/80.22,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),85.33
"USCI, Long, 2026-02-25 (Price: 84.6)",2026-03-04 (Price: 87.44),"3.36%, 7 days","100.0%, Past 4 years, 14","Daily, is CONFIRMED on 2026-02-25",Already confirmed,"2026-03-06 (Price: 90.45), 6.91% above",9 days,"8, 2024-05-29 (Price: 63.72)",2026-02-23 (Price: 83.3133),2026-02-25 (Price: 84.6),11/9/9 days,8.57% above/6.91% above/6.91% above,2024-05-29 (Price: 63.72)/2026-02-25 (Price: 83.3151),3.77%/0.89%/2.27%,"0%, 7.84%",3.2 months/6 days/1 month,2026-07-14/2026-03-05/2026-04-09,9.0%,11.01%,-2.01%,1.78,0.74,89.05/86.5204/97.13/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.86/38.42/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/77.0,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets),84.18
"TSM, Long, 2026-02-22 (Price: 370.54)",No Exit Yet,"-8.54%, 14 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-03-06 (Price: 338.89), 8.54% below",14 days,"2, 2016-04-03 (Price: 26.62)",2026-02-22 (Price: 370.54),2026-02-20 (Price: 370.54),12/14/12 days,8.54% below/8.54% below/8.54% below,2016-04-03 (Price: 26.62)/2026-02-22 (Price: 364.3362),40.88%/4.38%/14.52%,"0%, 31.75%",8.9 months/28 days/3.6 months,2027-03-15/2026-04-03/2026-07-28,14.91%,16.6%,-1.69%,1.65,0.88,427.8255/424.3424/576.89/No Horizontal Resistance/334.306/350.4755/No EMA 200 Target,275.06/83.575/272.4436/230.123/No F-Track Level/No F-Track Level/268.3,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),361.865
"CNR.TO, Long, 2026-02-22 (Price: 151.19)",No Exit Yet,"-4.01%, 14 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-03-06 (Price: 145.13), 4.01% below",14 days,"2, 2016-03-20 (Price: 82.04)",2026-02-15 (Price: 146.42),2026-02-22 (Price: 151.19),19/12/12 days,0.88% below/4.01% below/4.01% below,2016-03-20 (Price: 82.04)/2026-02-22 (Price: 142.0066),10.37%/1.53%/6.76%,"5.75%, 17.25%",1.3 year/1.2 month/5 months,2027-12-31/2026-04-15/2026-09-27,8.06%,6.5%,1.56%,1.1,0.37,160.6091/161.4104/192.68/167.5729/218.156/349.4971/No EMA 200 Target,130.99/127.536/136.9828/86.815/No F-Track Level/No F-Track Level/136.36,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),146.74
"CNQ.TO, Long, 2026-02-22 (Price: 58.0)",No Exit Yet,"8.55%, 14 days","86.36%, Past 10 years, 22","Weekly, is CONFIRMED on 2026-02-20",Already confirmed,"2026-03-06 (Price: 62.96), 8.55% above",14 days,"2, 2016-02-07 (Price: 15.0588)",2026-02-08 (Price: 53.4),2026-02-18 (Price: 57.09),26/16/12 days,17.9% above/10.28% above/8.55% above,2016-02-07 (Price: 15.0588)/2026-02-22 (Price: 52.5341),19.11%/1.41%/7.08%,"22.31%, 71.02%",3.5 months/28 days/1.8 month,2026-07-24/2026-04-03/2026-05-11,-1.83%,3.94%,-5.77%,0.27,0.24,58.87/62.1064/83.76/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,43.99/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/45.08,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets),55.48
"CNQ.TO, Long, 2026-02-19 (Price: 58.23)",2026-03-04 (Price: 60.24),"3.45%, 13 days","78.26%, Past 4 years, 23","Daily, is CONFIRMED on 2026-02-19",Already confirmed,"2026-03-06 (Price: 62.96), 8.12% above",15 days,"2, 2020-02-05 (Price: 19.3242)",2026-02-17 (Price: 55.38),2026-02-19 (Price: 58.23),17/15/15 days,13.69% above/8.12% above/8.12% above,2020-02-05 (Price: 19.3242)/2026-02-19 (Price: 54.7134),7.83%/0.32%/3.94%,"11.63%, 29.81%",1.5 month/4 days/11 days,2026-04-25/2026-02-24/2026-03-06,17.54%,12.66%,4.88%,0.1,0.6,62.2246/60.5243/81.57/No Horizontal Resistance/65.8353/68.6522/No EMA 200 Target,42.38/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/44.98,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets),57.83
