Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
FRACTAL TRACK,SLV,Long,Daily,2026-02-19,71.01,2026-02-23,80.57,80.57,13.4629%,4.0,Closed,93.33
FRACTAL TRACK,GOOG,Long,Daily,2026-02-19,303.56,,,311.43,2.5926%,,Open,91.67
DELTADRIFT,SUM.NZ,Long,Daily,2026-02-19,10.51,,,10.66,1.4272%,,Open,71.43
TRENDPULSE,IFT.NZ,Long,Daily,2026-02-19,11.08,,,11.22,1.2635%,,Open,96.15
OSCILLATOR DELTA,JPY=X,Long,Daily,2026-02-18,153.294,,,156.017,1.7763%,,Open,100.0
TRENDPULSE,JETS,Long,Daily,2026-02-18,30.3,,,28.45,-6.1056%,,Open,80.95
FRACTAL TRACK,XLF,Long,Daily,2026-02-18,52.59,,,51.43,-2.2057%,,Open,93.75
TRENDPULSE,MAR,Long,Daily,2026-02-18,356.0,,,341.73,-4.0084%,,Open,100.0
FRACTAL TRACK,SBUX,Long,Daily,2026-02-18,95.76,,,98.02,2.3601%,,Open,100.0
TRENDPULSE,MEL.NZ,Long,Daily,2026-02-18,5.64,,,5.66,0.3546%,,Open,88.24
FRACTAL TRACK,BDGI.TO,Long,Daily,2026-02-17,68.65,,,73.11,6.4967%,,Open,92.86
FRACTAL TRACK,CNU.NZ,Long,Daily,2026-02-17,9.11,,,9.58,5.1592%,,Open,73.33
FRACTAL TRACK,MFT.NZ,Long,Daily,2026-02-17,62.5,,,64.35,2.9600%,,Open,100.0
TRENDPULSE,PFE,Long,Weekly,2026-02-15,27.58,,,27.65,0.2538%,,Open,73.08
BASELINEDIVERGENCE,NVDA,Long,Weekly,2026-02-15,182.78,,,177.19,-3.0583%,,Open,83.7
TRENDPULSE,ATD.TO,Long,Weekly,2026-02-15,83.86,,,82.78,-1.2879%,,Open,90.0
TRENDPULSE,MEL.NZ,Long,Weekly,2026-02-15,5.76,,,5.66,-1.7361%,,Open,100.0
TRENDPULSE,MX.TO,Long,Weekly,2026-02-15,66.46,,,68.82,3.5510%,,Open,82.61
