"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"C6L.SI, Long, 2026-02-28 (Price: 7.18)",No Exit Yet,"-8.08%, 20 days","87.5%, Past 40 years, 8","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 6.6), 8.08% below",20 days,Upmove Bounce Back,78.6% (Price: 6.2388),5.79% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-14/2027-02-14/2028-04-20,7.09%,-1.77%,8.86%,0.77,-0.19,7.3925/8.9183/8.24/No Horizontal Resistance/15.377/16.6022/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/6.67,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-28 (Price: 11.22)",No Exit Yet,"-3.48%, 20 days","85.71%, Past 31 years, 7","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-20 (Price: 10.83), 3.48% below",20 days,Upmove Bounce Back,23.66% (Price: 10.5578),2.58% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-11/2026-10-07/2027-09-24,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/18.927/29.733/11.5,10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),11.05
"C6L.SI, Long, 2025-10-12 (Price: 6.64)",2026-03-20 (Price: 6.6),"-0.6%, 5.3 months","78.57%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2026-03-20 (Price: 6.6), 0.6% below",5.3 months,Upmove Bounce Back,61.8% (Price: 6.5361),0.98% above,"2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",17.87%/5.49%/15.22%,"4.19%, 51.25%",1.5 year/3.3 months/11.6 months,2027-12-03/2026-03-04/2027-02-28,6.62%,-0.87%,7.49%,0.78,-0.15,6.7516/7.6506/7.7/6.9575/15.377/16.6022/6.67,6.46/4.792/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),6.56
"ATD.TO, Long, 2025-09-14 (Price: 73.64)",2026-03-20 (Price: 76.17),"3.44%, 6.2 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-09-14",Already confirmed,"2026-03-20 (Price: 76.17), 3.44% above",6.2 months,Upmove Bounce Back,78.6% (Price: 69.1621),10.13% above,"2025-03-23 (Price: 65.95), 2025-07-20 (Price: 80.96)",25.17%/0.64%/13.71%,"2.07%, 59.16%",4.1 years/1.6 month/11.5 months,2031-07-21/2025-11-22/2027-01-26,8.92%,11.07%,-2.15%,1.12,0.6,81.6078/83.736/82.65/85.51/85.3936/96.14/73.9,67.64/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,94.03%/67/1.4 year (Across ALL Assets),58.33%/144/7.7 months (Across ALL Assets),76.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-28 (Price: 74.45),"22.17%, 8.1 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-20 (Price: 66.37), 8.91% above",8.8 months,Upmove Bounce Back,50% (Price: 48.385),37.17% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,No Target/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/65.79,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),59.72
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-28 (Price: 341.73),"25.08%, 8.1 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-20 (Price: 319.76), 17.04% above",8.8 months,Upmove Bounce Back,38.2% (Price: 207.8333),53.85% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/290.09,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.71%/59/9.9 months (Across ALL Assets),262.12
"SFTBY, Short, 2026-03-20 (Price: 10.83)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-03-20",No Cancellation Possible,"2026-03-20 (Price: 10.83), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 12.16),10.94% below,"2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-08-01 (Max),12.53%,5.4%,7.13%,1.47,0.38,9.7308/8.9445/-1.58/4.205/9.1801/8.6768/No EMA 200 Target,15.82/11.9025/22.5282/24.0279/No stop loss/No stop loss/13.4,100.0%/1/2.6 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),14.2475
"WIPRO.NS, Short, 2026-03-20 (Price: 190.9)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 80 years, 7","Quarterly, was CONFIRMED on None",No Cancellation Possible,"2026-03-20 (Price: 190.9), 0.0% below",0 days,Upmove Break Below,88.6% (Price: 192.9404),1.06% below,"2023-06-30 (Price: 176.0), 2025-03-31 (Price: 324.6)",29.71%/7.32%/15.86%,"11.67%, 29.71%",1.3 year/3 months/5.6 months,2028-01-26/2026-07-28/2026-11-18,7.99%,5.5%,2.49%,0.99,0.56,No Target/160.6233/101.74/187.6063/184.3156/No Target/No EMA 200 Target,301.85/366.6625/375.2901/404.5107/356.9953/376.9034/245.27,100.0%/1/2.6 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),264.5
"CSCO, Short, 2026-03-20 (Price: 77.65)",No Exit Yet,"-0.0%, 0 days","86.67%, Past 36 years, 15","Monthly, was CONFIRMED on 2026-03-09",No Cancellation Possible,"2026-03-20 (Price: 77.65), 0.0% below",0 days,Upmove Break Below,23.66% (Price: 77.8529),0.26% below,"2024-08-31 (Price: 44.5), 2026-02-28 (Price: 88.19)",17.87%/3.2%/8.23%,"20.18%, 17.87%",3.1 months/1 month/1.8 month,2026-08-01/2026-05-02/2026-06-06,7.38%,5.5%,1.88%,0.56,0.68,No Target/71.2594/51.44/40.92/74.4569/64.9561/72.61,79.46/No Horizontal Resistance/81.4336/90.4142/77.8529/No stop loss/No EMA 200 Stop Loss,71.43%/7/1.4 month (Across ALL Assets),35.29%/17/1.3 month (Across ALL Assets),78.745
"AMD, Short, 2026-03-18 (Price: 199.46)",No Exit Yet,"-0.94%, 2 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-20 (Price: 201.33), 0.94% above",2 days,Upmove Break Below,88.6% (Price: 257.9836),21.96% below,"2026-01-23 (Price: 256.25), 2026-03-03 (Price: 193.64)",8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-06-04/2026-03-19/2026-03-29,20.24%,5.1%,15.14%,0.39,0.6,198.6622/190.8633/161.89/72.05/187.3421/170.075/192.97,204.83/267.02/273.8526/307.9609/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,42.86%/7/11 days (Across ALL Assets),42.86%/7/4 days (Across ALL Assets),196.125
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-03-20 (Price: 10.83),"23.6%, 2.6 months","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-20 (Price: 10.83), 23.6% below",2.6 months,Upmove Break Below,50.0% (Price: 13.3475),18.86% below,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/13.4,15.82/No Horizontal Resistance/23.8631/27.246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/1/2.6 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),15.6175
