"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^BVSP, Long, 2026-04-09 (Price: 195129.25)",No Exit Yet,"0.0%, 0 days","75.0%, Past 58 years, 8","Quarterly, will be confirmed as valid at the end of this quarter",Already confirmed,"2026-04-09 (Price: 195129.25), 0.0% below",0 days,"2, 1994-09-30 (Price: 5637.7002)",2026-04-09 (Price: 195129.25),2026-04-01 (Price: 187952.9062),0/8/0 days,0.0% below/3.82% above/0.0% below,1994-09-30 (Price: 5637.7002)/2026-04-09 (Price: 151101.2857),62.58%/36.97%/45.51%,"5.92%, 37.03%",1.5 year/1.5 year/1.5 year,2028-05-30 (Max),6.5%,18.99%,-12.49%,0.0,0.56,238311.353/283932.5717/308824.18/No Horizontal Resistance/No Target/275648.698/No EMA 200 Target,43350.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/156939.96,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),187462.6875
"AIA.NZ, Long, 2026-04-09 (Price: 8.28)",No Exit Yet,"0.0%, 0 days","100.0%, Past 10 years, 21","Weekly, will be confirmed as valid at the end of this week",Signal Cancelled if Price < 8.1 prior to 2026-04-10,"2026-04-09 (Price: 8.28), 0.0% below",0 days,"6, 2025-02-09 (Price: 8.85)",2026-04-09 (Price: 8.28),2026-04-08 (Price: 8.27),0/1/0 days,0.0% below/0.12% above/0.0% below,2025-02-09 (Price: 8.85)/2026-04-09 (Price: 7.9897),12.76%/0.47%/5.93%,"-0.0%, 7.89%",7.5 months/28 days/2.7 months,2027-02-28/2026-05-19/2026-08-04,10.83%,5.76%,5.07%,0.0,0.3,8.9871/8.771/8.62/8.953/10.766/12.7253/No EMA 200 Target,7.97/7.0017/7.3669/6.5752/No stop loss/8.125/8.04,91.3%/161/4.7 months (Across ALL Assets),74.55%/389/4 months (Across ALL Assets),8.1
"MU, Long, 2026-04-09 (Price: 421.51)",No Exit Yet,"0.0%, 0 days","100.0%, Past 41 years, 7","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 349.55 prior to 2026-06-30,"2026-04-09 (Price: 421.51), 0.0% below",0 days,"0, 1986-06-30 (Price: 1.7125)",2025-12-31 (Price: 285.41),2026-04-01 (Price: 367.85),99/8/0 days,47.69% above/14.59% above/0.0% below,1986-06-30 (Price: 1.7125)/2026-04-09 (Price: 197.9267),248.53%/139.08%/212.05%,"-0.0%, 14.87%",1.5 year/1.3 year/1.4 year,2028-05-30/2028-02-15/2028-04-06,12.15%,8.72%,3.43%,0.0,0.46,889.8076/1315.322/673.39/No Horizontal Resistance/442.9249/502.3927/No EMA 200 Target,49.98/48.44/409.5495/358.5378/374.3813/314.7964/248.59,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),349.55
"SOXX, Long, 2026-04-08 (Price: 370.4)",No Exit Yet,"2.22%, 1 day","82.14%, Past 4 years, 28","Daily, is CONFIRMED on 2026-04-08",Already confirmed,"2026-04-09 (Price: 378.63), 2.22% above",1 day,"2, 2026-02-25 (Price: 368.82)",2026-04-07 (Price: 347.76),2026-04-08 (Price: 370.4),2/1/1 days,8.88% above/2.22% above/2.22% above,2026-02-25 (Price: 368.82)/2026-04-08 (Price: 338.167),14.5%/0.41%/4.35%,"10.17%, 34.33%",1.3 month/6 days/12 days,2026-06-03/2026-04-16/2026-04-25,10.99%,20.03%,-9.04%,0.0,0.96,388.4014/386.5124/371.35/No Horizontal Resistance/411.0319/449.8184/No EMA 200 Target,309.79/110.475/348.2242/301.3628/No F-Track Level/No F-Track Level/294.06,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),368.2
"ATZ.TO, Long, 2026-04-08 (Price: 124.99)",No Exit Yet,"1.32%, 1 day","93.1%, Past 4 years, 29","Daily, is CONFIRMED on 2026-04-08",Already confirmed,"2026-04-09 (Price: 126.64), 1.32% above",1 day,"2, 2026-01-13 (Price: 139.59)",2026-04-07 (Price: 114.13),2026-04-08 (Price: 124.99),2/1/1 days,10.96% above/1.32% above/1.32% above,2026-01-13 (Price: 139.59)/2026-04-08 (Price: 113.6146),17.51%/1.32%/7.06%,"50.85%, 58.96%",1.6 month/6 days/23 days,2026-06-16/2026-04-16/2026-05-11,-8.93%,28.62%,-37.55%,0.0,1.2,137.089/133.8143/133.75/No Horizontal Resistance/153.3748/179.9964/No EMA 200 Target,105.77/31.98/119.4832/99.4929/No F-Track Level/No F-Track Level/98.62,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),119.8
"WIPRO.NS, Long, 2026-04-07 (Price: 204.72)",No Exit Yet,"-0.9%, 2 days","95.65%, Past 4 years, 23","Daily, is CONFIRMED on 2026-04-07",Already confirmed,"2026-04-09 (Price: 202.87), 0.9% below",2 days,"2, 2026-01-07 (Price: 272.5)",2026-04-02 (Price: 194.91),2026-04-07 (Price: 204.72),7/2/2 days,4.08% above/0.9% below/0.9% below,2026-01-07 (Price: 272.5)/2026-04-07 (Price: 189.7848),12.97%/1.07%/3.55%,"4.22%, 15.72%",2.8 months/6 days/22 days,2026-08-06/2026-04-15/2026-05-08,13.81%,8.76%,5.05%,0.0,0.47,220.3401/211.9876/245.39/366.6625/412.2037/473.5829/242.84,187.54/187.6063/198.5041/179.092/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),197.01
"GS, Long, 2026-04-07 (Price: 864.15)",No Exit Yet,"4.58%, 2 days","95.24%, Past 4 years, 21","Daily, is CONFIRMED on 2026-04-07",Already confirmed,"2026-04-09 (Price: 903.72), 4.58% above",2 days,"2, 2026-01-16 (Price: 984.7)",2026-04-02 (Price: 863.04),2026-04-07 (Price: 864.15),7/2/2 days,4.71% above/4.58% above/4.58% above,2026-01-16 (Price: 984.7)/2026-04-07 (Price: 840.1402),15.23%/0.89%/4.71%,"14.29%, 33.99%",3 months/7 days/1.2 month,2026-08-15/2026-04-17/2026-05-29,9.16%,21.21%,-12.05%,0.0,1.13,897.0741/904.8515/936.48/No Horizontal Resistance/1261.1009/1964.4733/No EMA 200 Target,802.89/288.555/858.2074/794.5775/No F-Track Level/No F-Track Level/811.13,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),858.0
"IBIT, Long, 2026-04-07 (Price: 39.1)",No Exit Yet,"4.63%, 2 days","100.0%, Past 4 years, 6","Daily, is CONFIRMED on 2026-04-07",Already confirmed,"2026-04-09 (Price: 40.91), 4.63% above",2 days,"6, 2025-10-06 (Price: 71.82)",2026-04-02 (Price: 37.97),2026-04-07 (Price: 39.1),7/2/2 days,7.74% above/4.63% above/4.63% above,2025-10-06 (Price: 71.82)/2026-04-07 (Price: 36.8386),7.07%/4.18%/5.54%,"-0.0%, 8.48%",1.8 month/6 days/26 days,2026-06-24/2026-04-15/2026-05-14,44.1%,13.13%,30.97%,0.0,0.62,43.9015/41.2661/58.73/70.855/73.0242/89.9692/55.08,37.4/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),38.805
"JETS, Long, 2026-04-07 (Price: 24.79)",No Exit Yet,"5.32%, 2 days","80.95%, Past 4 years, 21","Daily, is CONFIRMED on 2026-04-07",Already confirmed,"2026-04-09 (Price: 26.11), 5.32% above",2 days,"2, 2026-02-11 (Price: 31.33)",2026-04-02 (Price: 24.93),2026-04-07 (Price: 24.79),7/2/2 days,4.73% above/5.32% above/5.32% above,2026-02-11 (Price: 31.33)/2026-04-07 (Price: 24.2872),8.12%/0.83%/2.76%,"14.2%, 35.94%",1.4 month/7 days/17 days,2026-06-06/2026-04-17/2026-05-01,-13.59%,7.52%,-21.11%,0.0,0.38,No Target/25.4742/28.71/27.1773/No Next Fib Ext/No Next Fib Ext/26.08,23.64/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),24.74
"NU, Long, 2026-04-07 (Price: 14.15)",No Exit Yet,"5.09%, 2 days","100.0%, Past 4 years, 12","Daily, is CONFIRMED on 2026-04-07",Already confirmed,"2026-04-09 (Price: 14.87), 5.09% above",2 days,"2, 2026-01-29 (Price: 18.98)",2026-04-02 (Price: 14.15),2026-04-07 (Price: 14.15),7/2/2 days,5.09% above/5.09% above/5.09% above,2026-01-29 (Price: 18.98)/2026-04-07 (Price: 13.7922),5.88%/0.47%/3.09%,"0%, 31.9%",1.9 month/6 days/1.1 month,2026-06-28/2026-04-15/2026-05-24,21.87%,5.34%,16.53%,0.0,0.4,15.6541/14.5872/17.05/16.285/No Next Fib Ext/No Next Fib Ext/15.29,13.51/5.54/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets),14.1
"SLV, Long, 2026-03-31 (Price: 68.14)",No Exit Yet,"0.37%, 9 days","100.0%, Past 19 years, 4","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 68.39), 0.37% above",9 days,"4, 2008-03-31 (Price: 20.73)",2025-12-31 (Price: 64.42),2026-03-31 (Price: 68.14),99/9/9 days,6.16% above/0.37% above/0.37% above,2008-03-31 (Price: 20.73)/2026-03-31 (Price: 60.08),148.74%/72.45%/110.59%,"-0.0%, 28.77%",4.8 years/1.8 year/3.3 years,2033-02-04/2028-10-24/2030-12-15,16.22%,6.49%,9.73%,0.0,0.31,87.7507/143.496/96.59/No Horizontal Resistance/89.0774/103.171/No EMA 200 Target,17.5/18.99/67.9787/59.1217/No F-Track Level/No F-Track Level/52.5,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),67.3
"^BVSP, Long, 2026-03-31 (Price: 187462.0)",No Exit Yet,"4.09%, 9 days","75.0%, Past 58 years, 8","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 195129.25), 4.09% above",9 days,"0, 2021-06-30 (Price: 131190.0)",2025-09-30 (Price: 146237.0),2026-03-25 (Price: 185424.0),191/15/9 days,33.43% above/5.23% above/4.09% above,2021-06-30 (Price: 131190.0)/2026-03-31 (Price: 140367.0),62.58%/36.97%/45.51%,"5.92%, 37.03%",1.5 year/1.5 year/1.5 year,2028-05-21 (Max),6.5%,18.99%,-12.49%,0.0,0.56,228947.3406/272775.9562/221225.2/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,43350.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/155379.64,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),161124.0
"IWM, Long, 2026-03-31 (Price: 248.0)",No Exit Yet,"5.63%, 9 days","100.0%, Past 25 years, 5","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 261.96), 5.63% above",9 days,"2, 2021-12-31 (Price: 244.46)",2026-03-31 (Price: 248.0),2026-03-31 (Price: 248.0),9/9/9 days,5.63% above/5.63% above/5.63% above,2021-12-31 (Price: 244.46)/2026-03-31 (Price: 245.1967),22.48%/22.48%/22.48%,"-0.0%, 49.28%",1 year/1 year/1 year,2027-09-03 (Max),2.78%,4.39%,-1.61%,-0.34,0.2,No Target/303.7504/250.12/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,164.92/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/242.43,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),247.63
"CNQ.TO, Long, 2026-03-31 (Price: 67.86)",No Exit Yet,"-6.96%, 9 days","80.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 63.14), 6.96% below",9 days,"4, 2024-04-30 (Price: 56.495)",2026-01-31 (Price: 50.63),2026-03-24 (Price: 67.48),68/16/9 days,24.71% above/6.43% below/6.96% below,2024-04-30 (Price: 56.495)/2026-03-31 (Price: 40.7646),53.91%/13.01%/29.38%,"27.09%, 59.44%",2.1 years/5 months/11.9 months,2029-03-30/2026-11-03/2027-08-30,9.54%,9.12%,0.42%,0.0,0.46,85.8972/87.7973/74.68/No Horizontal Resistance/No Target/68.6522/No EMA 200 Target,39.56/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/47.97,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),61.9
"NA.TO, Long, 2026-03-31 (Price: 180.01)",No Exit Yet,"7.5%, 9 days","100.0%, Past 43 years, 6","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 193.51), 7.5% above",9 days,"0, 1995-12-31 (Price: 6.0)",2025-12-31 (Price: 172.61),2026-02-13 (Price: 174.78),99/55/9 days,12.11% above/10.72% above/7.5% above,1995-12-31 (Price: 6.0)/2026-03-31 (Price: 156.19),41.25%/20.33%/31.75%,"-0.0%, 21.01%",3.6 years/1.8 year/2.8 years,2031-05-21/2028-10-24/2030-03-28,7.03%,8.52%,-1.49%,0.0,0.5,222.4204/237.1632/284.42/No Horizontal Resistance/207.1743/217.2943/No EMA 200 Target,54.39/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/159.9,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),172.8
"PPL.TO, Long, 2026-03-31 (Price: 62.27)",No Exit Yet,"-0.88%, 9 days","100.0%, Past 20 years, 15","Monthly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 61.72), 0.88% below",9 days,"0, 2017-04-30 (Price: 44.65)",2026-03-31 (Price: 62.27),2026-03-26 (Price: 63.33),9/14/9 days,0.88% below/2.54% below/0.88% below,2017-04-30 (Price: 44.65)/2026-03-31 (Price: 59.9025),20.68%/3.94%/10.3%,"-0.0%, 19.92%",2.5 years/5.1 months/11.3 months,2029-10-24/2026-11-07/2027-08-04,6.43%,5.11%,1.32%,0.0,0.26,70.4087/68.6838/72.84/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,51.13/37.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/54.35,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets),61.0
"MU, Long, 2026-03-31 (Price: 337.84)",No Exit Yet,"24.77%, 9 days","100.0%, Past 41 years, 7","Quarterly, is CONFIRMED on 2026-03-31",Already confirmed,"2026-04-09 (Price: 421.51), 24.77% above",9 days,"0, 1986-06-30 (Price: 1.7125)",2025-12-31 (Price: 285.41),2026-01-02 (Price: 315.42),99/97/9 days,47.69% above/33.63% above/24.77% above,1986-06-30 (Price: 1.7125)/2026-03-31 (Price: 192.8783),248.53%/139.08%/212.05%,"-0.0%, 14.87%",1.5 year/1.3 year/1.4 year,2028-05-21/2028-02-06/2028-03-28,12.15%,8.72%,3.43%,0.0,0.46,713.1802/1054.2297/539.52/No Horizontal Resistance/431.1818/451.0413/No EMA 200 Target,49.98/48.44/310.1249/293.6684/No F-Track Level/No F-Track Level/240.62,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets),295.13
