"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"FSF.NZ, Long, 2026-03-19 (Price: 8.245)",No Exit Yet,"2.24%, 4 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-19",Already confirmed,"2026-03-23 (Price: 8.43), 2.24% above",4 days,Upmove Bounce Back,23.66% (Price: 8.2474),2.21% above,"2025-11-24 (Price: 7.51), 2026-03-06 (Price: 8.476)",12.99%/0.21%/9.27%,"-0.0%, 31.25%",2.9 years/6 days/6.4 months,2030-05-09/2026-03-27/2026-12-22,19.15%,8.37%,10.78%,1.51,0.45,9.1445/9.0093/8.82/No Horizontal Resistance/8.4284/9.7443/No EMA 200 Target,8.12/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/7.63,92.03%/276/5.5 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets),8.24
"NIFTY_MIDCAP_100.NS, Long, 2026-03-18 (Price: 56289.8516)",No Exit Yet,"-6.35%, 5 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-23 (Price: 52717.5508), 6.35% below",5 days,Upmove Bounce Back,23.66% (Price: 53895.1604),2.19% below,"2023-03-28 (Price: 29200.1992), 2026-01-07 (Price: 61548.8516)",11.12%/5.89%/9.55%,"0.28%, 21.42%",1.6 year/1 month/6.4 months,2028-06-29/2026-04-30/2026-12-21,20.49%,16.66%,3.83%,1.2,1.27,60826.8136/61665.5324/75699.04/60128.6094/69983.5191/76335.2565/58760.66,54614.95/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.03%/276/5.5 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets),55289.1016
"CEN.NZ, Long, 2026-03-18 (Price: 9.35)",No Exit Yet,"-3.21%, 5 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-23 (Price: 9.05), 3.21% below",5 days,Upmove Bounce Back,88.6% (Price: 9.2275),1.92% below,"2025-12-17 (Price: 9.15), 2026-02-12 (Price: 9.83)",12.03%/1.09%/6.9%,"3.1%, 17.16%",2.9 years/1.3 month/11 months,2030-05-08/2026-05-13/2027-07-08,8.13%,2.77%,5.36%,0.86,0.1,9.4201/9.9951/9.76/9.85/11.2606/15.4512/No EMA 200 Target,9.16/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.24,92.03%/276/5.5 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets),9.22
"CNU.NZ, Long, 2026-03-18 (Price: 9.43)",No Exit Yet,"1.59%, 5 days","73.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-23 (Price: 9.58), 1.59% above",5 days,Upmove Bounce Back,78.6% (Price: 9.079),5.52% above,"2025-10-14 (Price: 8.88), 2026-02-23 (Price: 9.81)",11.98%/1.84%/7.67%,"1.13%, 19.63%",1.6 year/1 month/11.2 months,2028-06-29/2026-04-30/2027-07-17,10.79%,2.16%,8.63%,0.95,0.05,9.4913/10.1533/9.99/9.875/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,9.11/6.0983/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/9.22,92.03%/276/5.5 months (Across ALL Assets),46.3%/54/5.3 months (Across ALL Assets),9.19
"NFLX, Long, 2026-03-15 (Price: 95.31)",No Exit Yet,"-2.02%, 8 days","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-23 (Price: 93.38), 2.02% below",8 days,Upmove Bounce Back,50% (Price: 75.193),24.19% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-20/2026-04-14/2027-03-04,15.04%,21.83%,-6.79%,4.76,0.9,121.9873/116.2115/166.02/No Horizontal Resistance/139.352/152.4292/108.26,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),97.69
"MA, Long, 2026-03-15 (Price: 497.99)",No Exit Yet,"0.48%, 8 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-23 (Price: 500.38), 0.48% above",8 days,Upmove Bounce Back,23.66% (Price: 500.0604),0.06% above,"2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-26/2026-05-14/2026-12-18,14.25%,18.73%,-4.48%,1.65,0.96,540.7175/579.0628/755.92/592.095/716.5814/751.3605/556.44,489.77/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),516.27
"C6L.SI, Long, 2026-02-28 (Price: 7.18)",No Exit Yet,"-9.61%, 23 days","87.5%, Past 40 years, 8","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-23 (Price: 6.49), 9.61% below",23 days,Upmove Bounce Back,78.6% (Price: 6.2388),4.03% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-14/2027-02-14/2028-04-20,7.09%,-1.77%,8.86%,0.77,-0.19,7.3925/8.9183/8.24/No Horizontal Resistance/15.377/16.6022/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/6.67,92.11%/38/1.6 year (Across ALL Assets),60.34%/58/10.1 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-28 (Price: 11.22)",No Exit Yet,"-2.85%, 23 days","85.71%, Past 31 years, 7","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-23 (Price: 10.9), 2.85% below",23 days,Upmove Bounce Back,23.66% (Price: 10.5578),3.24% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-11/2026-10-07/2027-09-24,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/18.927/29.733/11.5,10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),60.34%/58/10.1 months (Across ALL Assets),11.05
"CVS, Long, 2025-12-21 (Price: 77.72)",2026-03-23 (Price: 71.29),"-8.27%, 3.1 months","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-03-23 (Price: 71.29), 8.27% below",3.1 months,Upmove Bounce Back,23.66% (Price: 75.3098),5.34% below,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/74.15,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),79.75
"C6L.SI, Long, 2025-10-12 (Price: 6.64)",2026-03-22 (Price: 6.6),"-0.6%, 5.4 months","78.57%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2026-03-23 (Price: 6.49), 2.26% below",5.4 months,Upmove Bounce Back,61.8% (Price: 6.5361),0.71% below,"2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",17.87%/5.49%/15.22%,"4.19%, 51.25%",1.5 year/3.3 months/11.6 months,2027-12-03/2026-03-04/2027-02-28,6.62%,-0.87%,7.49%,0.78,-0.15,6.7516/7.6506/7.7/6.9575/15.377/16.6022/6.67,6.46/4.792/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),6.56
"ATD.TO, Long, 2025-09-14 (Price: 73.64)",2026-03-22 (Price: 76.17),"3.44%, 6.3 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-09-14",Already confirmed,"2026-03-23 (Price: 78.96), 7.22% above",6.3 months,Upmove Bounce Back,78.6% (Price: 69.1621),14.17% above,"2025-03-23 (Price: 65.95), 2025-07-20 (Price: 80.96)",25.17%/0.64%/13.71%,"2.07%, 59.16%",4.1 years/1.6 month/11.5 months,2031-07-21/2025-11-22/2027-01-26,8.92%,11.07%,-2.15%,1.12,0.6,81.6078/83.736/82.65/85.51/85.3936/96.14/73.93,67.64/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),76.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-28 (Price: 74.45),"22.17%, 8.1 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-23 (Price: 68.03), 11.63% above",8.9 months,Upmove Bounce Back,50% (Price: 48.385),40.6% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,No Target/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/65.83,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),60.34%/58/10.1 months (Across ALL Assets),59.72
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-28 (Price: 341.73),"25.08%, 8.1 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-23 (Price: 326.52), 19.51% above",8.9 months,Upmove Bounce Back,38.2% (Price: 207.8333),57.11% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/290.41,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),60.34%/58/10.1 months (Across ALL Assets),262.12
"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",2026-03-23 (Price: 37.0),"2.92%, 10.5 months","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-05-11",Already confirmed,"2026-03-23 (Price: 37.0), 2.92% above",10.5 months,Upmove Bounce Back,23.66% (Price: 32.958),12.26% above,"2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,2029-07-01/2025-10-01/2026-12-05,9.13%,8.49%,0.64%,1.13,0.45,39.4731/42.0723/52.54/39.1917/40.9296/48.5677/37.55,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.75%/69/1.4 year (Across ALL Assets),55.94%/143/7.7 months (Across ALL Assets),35.3
"SFTBY, Short, 2026-03-23 (Price: 11.5)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-03-23",No Cancellation Possible,"2026-03-23 (Price: 11.5), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 12.16),5.43% below,"2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-08-04 (Max),12.53%,5.4%,7.13%,1.47,0.38,10.3327/9.4978/-0.91/4.205/10.9987/9.1801/No EMA 200 Target,15.82/11.9025/22.5282/24.0279/11.6634/No stop loss/13.42,100.0%/1/2.7 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),14.2475
"WIPRO.NS, Short, 2026-03-23 (Price: 187.54)",No Exit Yet,"-0.0%, 0 days","85.71%, Past 80 years, 7","Quarterly, is CONFIRMED on 2026-03-23",No Cancellation Possible,"2026-03-23 (Price: 187.54), 0.0% below",0 days,Upmove Break Below,88.6% (Price: 192.9404),2.8% below,"2023-06-30 (Price: 176.0), 2025-03-31 (Price: 324.6)",29.71%/7.32%/15.86%,"11.67%, 29.71%",1.3 year/3 months/5.6 months,2028-01-29/2026-07-31/2026-11-21,7.99%,5.5%,2.49%,0.99,0.56,No Target/157.7962/98.38/No Horizontal Support/184.3156/No Target/No EMA 200 Target,301.85/366.6625/375.2901/404.5107/357.1562/377.1632/244.97,100.0%/1/2.7 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),264.5
"AMD, Short, 2026-03-18 (Price: 199.46)",No Exit Yet,"-1.61%, 5 days","85.0%, Past 5 years, 40","Daily, was CONFIRMED on 2026-03-18",Already confirmed,"2026-03-23 (Price: 202.68), 1.61% above",5 days,Upmove Break Below,88.6% (Price: 257.9836),21.44% below,"2026-01-23 (Price: 256.25), 2026-03-03 (Price: 193.64)",8.59%/0.06%/4.31%,"24.21%, 11.06%",1.8 month/1 day/8 days,2026-06-04/2026-03-19/2026-03-29,20.24%,5.1%,15.14%,0.39,0.6,198.6622/190.8633/161.89/72.05/187.3421/170.075/193.39,204.83/267.02/273.8526/307.9609/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,42.86%/7/11 days (Across ALL Assets),28.57%/7/4 days (Across ALL Assets),196.125
"SFTBY, Short, 2025-12-31 (Price: 14.175)",2026-03-23 (Price: 11.5),"18.87%, 2.7 months","100.0%, Past 13 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-23 (Price: 11.5), 18.87% below",2.7 months,Upmove Break Below,50.0% (Price: 13.3475),13.84% below,"2022-06-30 (Price: 4.195), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-05-14 (Max),12.53%,5.4%,7.13%,1.47,0.38,12.7362/11.7071/3.19/4.205/14.0995/12.0968/13.42,15.82/No Horizontal Resistance/23.8631/27.246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/1/2.7 months (Across ALL Assets),30.0%/10/2.4 months (Across ALL Assets),15.6175
"KWEB, Short, 2025-12-31 (Price: 34.05)",2026-02-28 (Price: 31.06),"8.78%, 2 months","85.71%, Past 12 years, 7","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-23 (Price: 28.44), 16.48% below",2.7 months,Upmove Break Below,38.2% (Price: 35.4633),19.8% below,"2024-01-31 (Price: 22.68), 2025-10-31 (Price: 43.365)",10.4%/3.11%/7.13%,"19.33%, 16.82%",3.1 months/1 month/1.6 month,2026-05-14/2026-02-12/2026-03-10,5.83%,5.4%,0.43%,0.25,0.12,31.1762/31.6222/21.64/24.5062/No F-Stack Support/No F-Stack Support/No EMA 200 Target,42.01/54.865/112.1402/127.8094/No F-Track Level/No F-Track Level/36.37,71.43%/7/1.4 month (Across ALL Assets),37.5%/16/1.4 month (Across ALL Assets),37.73
"C6L.SI, Short, 2025-12-31 (Price: 6.4)",2026-02-28 (Price: 7.18),"-12.19%, 2 months","92.86%, Past 40 years, 14","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-23 (Price: 6.49), 1.41% above",2.7 months,Upmove Break Below,78.6% (Price: 7.5813),14.39% below,"2023-06-30 (Price: 6.44), 2024-08-31 (Price: 6.4)",13.97%/3.18%/6.42%,"3.38%, 13.97%",3.1 months/1 month/1.7 month,2026-05-14/2026-02-12/2026-03-14,8.07%,5.5%,2.57%,1.46,-0.19,5.9699/5.9891/6.38/4.7975/No F-Stack Support/No F-Stack Support/No EMA 200 Target,7.13/7.0067/15.377/16.6022/No F-Track Level/No F-Track Level/6.67,71.43%/7/1.4 month (Across ALL Assets),37.5%/16/1.4 month (Across ALL Assets),6.49
