Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-01-12 (Price: 204.68)",Daily,No Exit Yet,No Price Target,2026-03-05 (Avg),34.79%/34.98%,"-25.27%, 1.8 month","2026-03-06 (Price: 152.96), 25.27% below",218.0456 (Historic Rise or Fall to Pivot)/216.7971 (Avg % Gain of Historic Winning trades)/206.47 (Function Specific Target)/300.069 (F-Stack 1)/376.1425 (F-Stack 2)/216.71 (EMA 200)/232.5574 (Backtested Max)/206.1742 (Backtested Min),2026-05-31 (Max),189.65/82.7925/167.1709/152.3597/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 19",197.6,No Information,No Information,No Information,No Information,No Information,22.95% below/25.27% below/25.27% below,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,18.7%,11.12%,7.58%,0.94,0.53,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-10-31 (Price: 79.61)",Monthly,2026-03-08 (Price: 96.3),95.0177 (F-Stack 1)/95.9858 (Backtested Min),No Date Target,5.01%/5.75%,"20.96%, 4.3 months","2026-03-08 (Price: 96.3), 20.96% above",101.1286 (Historic Rise or Fall to Pivot)/101.8371 (Avg % Gain of Historic Winning trades)/138.22 (Function Specific Target)/123.2166 (F-Stack 2)/113.3487 (Backtested Max),2031-09-06 (Max)/2028-04-04 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",79.32,No Information,No Information,No Information,"23.66% (Price: 74.8871), 28.59% above, Upmove Bounce Back","1996-10-31 (Price: 0.3125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,90.48%/42/1.6 year (Across ALL Assets),68.25%/63/9.6 months (Across ALL Assets)
FRACTAL TRACK,"SJ.TO, Long, 2025-06-30 (Price: 78.49)",Monthly,2026-03-08 (Price: 96.3),95.0177 (F-Stack 1)/94.6354 (Backtested Min),No Date Target,3.54%/4.26%,"22.69%, 8.4 months","2026-03-08 (Price: 96.3), 22.69% above",99.7058 (Historic Rise or Fall to Pivot)/100.4044 (Avg % Gain of Historic Winning trades)/135.41 (Function Specific Target)/123.2166 (F-Stack 2)/111.7541 (Backtested Max),2031-05-06 (Max)/2027-12-03 (Avg),67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 31 years, 8",77.78,No Information,No Information,No Information,"38.2% (Price: 61.7578), 55.93% above, Upmove Bounce Back","2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",No Information,42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,8.5%,12.52%,-4.02%,1.5,0.63,90.48%/42/1.6 year (Across ALL Assets),68.25%/63/9.6 months (Across ALL Assets)
TRENDPULSE,"SJ.TO, Long, 2026-01-11 (Price: 88.81)",Weekly,No Exit Yet,No Price Target,2026-03-04 (Min),1.63%/2.9%,"8.43%, 1.9 month","2026-03-06 (Price: 96.3), 8.43% above",99.0942 (Historic Rise or Fall to Pivot)/97.8686 (Avg % Gain of Historic Winning trades)/111.17 (Function Specific Target)/123.2166 (F-Stack 2)/110.0356 (Backtested Max),2027-06-16 (Max)/2026-08-03 (Avg),76.55/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/78.08,"84.62%, Past 10 years, 26",86.08,No Information,No Information,No Information,No Information,No Information,8.43% above/9.91% above/8.43% above,23.9%/3.84%/10.2%,"6.63%, 46.57%",1 year/1.2 month/4.7 months,12.95%,11.64%,1.31%,0.84,0.65,91.28%/149/4.5 months (Across ALL Assets),76.49%/268/3.6 months (Across ALL Assets)
DELTADRIFT,"AMZN, Long, 2026-02-11 (Price: 203.88)",Daily,2026-03-04 (Price: 216.82),No Price Target,No Date Target,5.29%/5.93%,"4.58%, 23 days","2026-03-06 (Price: 213.21), 4.58% above",239.3 (Horizontal)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/224.48 (EMA 200)/225.8583 (Backtested Max),2026-03-20 (Max),200.99/86.995/193.0625/132.2674/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 4 years, 15",208.07,No Information,No Information,No Information,No Information,No Information,No Information,10.78%/1.99%/5.15%,"17.68%, 17.68%",26 days/1 day/8 days,7.43%,4.18%,3.25%,0.18,0.24,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,2026-03-08 (Price: 213.21),No Price Target,No Date Target,14.66%/22.69%,"-2.82%, 1.2 year","2026-03-06 (Price: 213.21), 2.82% below",276.9141 (Historic Rise or Fall to Pivot)/286.2381 (Avg % Gain of Historic Winning trades)/244.46 (Function Specific Target)/332.4197 (Backtested Max)/261.5787 (Backtested Min),2027-07-27 (Max)/2026-06-01 (Avg),84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,"100.0%, Past 20 years, 15",209.96,No Information,No Information,No Information,No Information,No Information,2.56% above/2.82% below/2.82% below,51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,15.9%,18.33%,-2.43%,1.69,0.81,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2026-02-20 (Price: 655.66)",Daily,No Exit Yet,No Price Target,2026-03-07 (Min),5.63%/7.23%,"-1.65%, 14 days","2026-03-06 (Price: 644.86), 1.65% below",692.4425 (Historic Rise or Fall to Pivot)/719.259 (Avg % Gain of Historic Winning trades)/753.31 (Function Specific Target)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/691.5 (EMA 200)/728.9628 (Backtested Max)/681.1652 (Backtested Min),2026-08-12 (Max)/2026-03-07 (Min)/2026-06-04 (Avg),639.29/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 5 years, 10",639.685,No Information,No Information,No Information,"61.8% (Price: 643.4205), 0.22% above, Upmove Bounce Back","2025-11-19 (Price: 581.25), 2026-01-29 (Price: 744.0)",No Information,11.18%/3.89%/9.7%,"3.02%, 27.47%",4 months/11 days/2.4 months,26.51%,13.27%,13.24%,0.96,0.62,94.0%/300/5.4 months (Across ALL Assets),50.0%/56/5 months (Across ALL Assets)
FRACTAL TRACK,"META, Long, 2026-02-08 (Price: 661.46)",Weekly,No Exit Yet,No Price Target,2026-03-10 (Min),7.23%/18.21%,"-2.51%, 28 days","2026-03-08 (Price: 644.86), 2.51% below",822.4594 (Historic Rise or Fall to Pivot)/775.4296 (Avg % Gain of Historic Winning trades)/1125.61 (Function Specific Target)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/691.5 (EMA 200)/797.4562 (Backtested Max)/762.2665 (Backtested Min),2029-02-07 (Max)/2026-03-10 (Min)/2027-03-06 (Avg),620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 13 years, 6",714.6,No Information,No Information,No Information,"23.66% (Price: 613.221), 5.16% above, Upmove Bounce Back","2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",No Information,20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,19.03%,15.86%,3.17%,8.93,0.74,95.38%/65/1.4 year (Across ALL Assets),56.43%/140/7.6 months (Across ALL Assets)
TRENDPULSE,"NFLX, Long, 2025-12-29 (Price: 94.15)",Daily,2026-03-05 (Price: 99.17),No Price Target,No Date Target,1.88%/8.77%,"5.17%, 2.2 months","2026-03-06 (Price: 99.02), 5.17% above",107.7 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/113.4 (EMA 200)/100.8817 (Backtested Max),2026-04-20 (Max),93.23/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"94.44%, Past 4 years, 18",93.99,No Information,No Information,No Information,No Information,No Information,4.82% above/5.17% above/5.17% above,7.15%/0.45%/3.37%,"0.57%, 20.2%",2.6 months/7 days/1.2 month,15.4%,9.17%,6.23%,1.08,0.47,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets)
SIGMASHELL,"NFLX, Long, 2026-01-02 (Price: 90.99)",Daily,No Exit Yet,98.5786 (Historic Rise or Fall to Pivot),No Date Target,3.85%/10.77%,"8.83%, 2.1 months","2026-03-06 (Price: 99.02), 8.83% above",115.7484 (Avg % Gain of Historic Winning trades)/139.352 (Function Specific Target)/139.352 (F-Stack 1)/152.4292 (F-Stack 2)/109.68 (EMA 200)/131.3714 (Backtested Max)/102.8278 (Backtested Min),2026-10-20 (Max)/2026-03-29 (Min)/2026-05-16 (Avg),85.59/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 5",94.13,"-5.54, 66.67%",No Information,No Information,No Information,No Information,No Information,44.38%/13.01%/27.21%,"0%, 18.45%",6.7 months/2 months/3.1 months,64.2%,22.33%,41.87%,2.41,0.93,69.23%/39/4.6 months (Across ALL Assets),69.33%/238/3.7 months (Across ALL Assets)
DELTADRIFT,"HDFCBANK.NS, Long, 2026-03-05 (Price: 877.75)",Daily,No Exit Yet,No Price Target,2026-03-07 (Min),4.13%/5.44%,"-2.36%, 1 day","2026-03-06 (Price: 857.05), 2.36% below",912.9478 (Historic Rise or Fall to Pivot)/903.6436 (Avg % Gain of Historic Winning trades)/908.3 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/972.07 (EMA 200)/926.6407 (Backtested Max)/892.4084 (Backtested Min),2026-06-30 (Max)/2026-03-07 (Min)/2026-04-11 (Avg),868.65/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",873.85,No Information,No Information,No Information,No Information,No Information,No Information,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,5.13%,4.11%,1.02%,0.21,0.19,84.17%/139/13 days (Across ALL Assets),76.32%/511/15 days (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2025-10-29 (Price: 1007.85)",Daily,No Exit Yet,No Price Target,2026-03-08 (Max),18.68%/20.77%,"-14.96%, 4.3 months","2026-03-06 (Price: 857.05), 14.96% below",1035.062 (Historic Rise or Fall to Pivot)/1037.0776 (Avg % Gain of Historic Winning trades)/1223.61 (Function Specific Target)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/1089.9898 (Backtested Max)/1017.1222 (Backtested Min),2026-03-08 (Max),945.05/640.9/962.8007/765.1075/No F-Track Level/No F-Track Level/939.21,"100.0%, Past 4 years, 20",1004.9,No Information,No Information,No Information,No Information,No Information,14.96% below/14.96% below/14.96% below,8.15%/0.92%/2.9%,"-0.0%, 9.57%",3 months/6 days/1.1 month,14.28%,4.79%,9.49%,1.44,0.24,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets)
TRENDPULSE,"ENZL, Long, 2026-02-25 (Price: 47.1645)",Daily,No Exit Yet,No Price Target,2026-03-05 (Min),3.91%/5.02%,"-3.08%, 9 days","2026-03-06 (Price: 45.71), 3.08% below",47.4994 (Historic Rise or Fall to Pivot)/48.004 (Avg % Gain of Historic Winning trades)/56.29 (Function Specific Target)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/49.6029 (Backtested Max),2026-05-18 (Max)/2026-03-24 (Avg),44.9/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/45.75,"88.24%, Past 4 years, 17",46.83,No Information,No Information,No Information,No Information,No Information,0.49% below/3.08% below/3.08% below,5.17%/0.29%/1.78%,"10.32%, 33.2%",1.9 month/6 days/19 days,-4.35%,-2.2%,-2.15%,0.15,-0.21,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets)
TRENDPULSE,"ENZL, Long, 2024-09-30 (Price: 49.42)",Monthly,No Exit Yet,No Price Target,2026-03-05 (Min),13.28%/22.66%,"-7.51%, 1.5 year","2026-03-06 (Price: 45.71), 7.51% below",57.856 (Avg % Gain of Historic Winning trades)/51.78 (Function Specific Target)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/58.7505 (Backtested Max)/56.067 (Backtested Min),2026-11-21 (Max)/2026-06-17 (Avg),41.64/43.9425/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/46.44,"100.0%, Past 20 years, 5",49.2,No Information,No Information,No Information,No Information,No Information,7.19% below/8.01% below/7.51% below,18.88%/13.45%/17.07%,"-0.0%, 22.82%",1.5 year/1 year/1.2 year,5.75%,1.82%,3.93%,1.1,-0.01,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
TRENDPULSE,"NVDA, Long, 2026-02-09 (Price: 190.04)",Daily,No Exit Yet,No Price Target,2026-03-05 (Max),10.04%/14.35%,"-6.43%, 25 days","2026-03-06 (Price: 177.82), 6.43% below",240.2486 (Historic Rise or Fall to Pivot)/206.9346 (Avg % Gain of Historic Winning trades)/203.33 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/226.9268 (Backtested Max)/195.6652 (Backtested Min),No Next Date Target,171.88/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/170.11,"90.91%, Past 4 years, 22",184.26,No Information,No Information,No Information,No Information,No Information,4.09% below/6.43% below/6.43% below,19.41%/2.96%/8.89%,"6.69%, 63.72%",17 days/6 days/10 days,14.95%,45.88%,-30.93%,1.01,1.76,92.26%/297/1.2 month (Across ALL Assets),80.5%/523/1.4 month (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,2026-03-08 (Price: 298.3),No Price Target,No Date Target,16.03%/38.34%,"5.85%, 4.3 months","2026-03-06 (Price: 298.3), 5.85% above",346.1313 (Historic Rise or Fall to Pivot)/412.669 (Avg % Gain of Historic Winning trades)/443.81 (Function Specific Target)/459.4793 (Backtested Max),2027-01-17 (Max)/2026-06-09 (Min)/2026-07-27 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"100.0%, Past 20 years, 11",241.18,No Information,No Information,No Information,No Information,No Information,22.48% above/18.51% above/5.85% above,63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,12.41%,17.09%,-4.68%,1.16,0.87,91.67%/84/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets)
