"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"IFT.NZ, Long, 2026-02-28 (Price: 11.22)",No Exit Yet,"-1.69%, 3 days","85.71%, Past 31 years, 7","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-03 (Price: 11.03), 1.69% below",3 days,Upmove Bounce Back,23.66% (Price: 10.5578),4.47% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-11/2026-10-07/2027-09-24,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/18.927/29.733/11.51,10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Support,90.24%/41/1.6 year (Across ALL Assets),68.57%/70/10.1 months (Across ALL Assets),11.05
"BYD.TO, Long, 2026-02-27 (Price: 238.09)",No Exit Yet,"-1.11%, 4 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-27",Already confirmed,"2026-03-03 (Price: 235.45), 1.11% below",4 days,Upmove Bounce Back,38.2% (Price: 231.5251),1.7% above,"2025-10-30 (Price: 204.5), 2026-02-11 (Price: 248.23)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2029-02-26/2026-04-05/2026-09-14,27.71%,0.9%,26.81%,1.63,0.03,254.4468/264.3513/264.33/256.6133/367.2583/388.6839/No EMA 200 Target,223.39/188.685/229.0045/147.1212/No F-Track Level/No F-Track Level/219.49,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),238.66
"UPS, Long, 2026-02-27 (Price: 115.96)",No Exit Yet,"-2.35%, 4 days","90.91%, Past 5 years, 11","Daily, was CONFIRMED on 2026-02-27",Already confirmed,"2026-03-03 (Price: 113.23), 2.35% below",4 days,Upmove Bounce Back,23.66% (Price: 112.849),0.34% above,"2025-10-14 (Price: 82.0), 2026-02-12 (Price: 122.41)",10.8%/10.11%/10.49%,"4.82%, 11.97%",3.8 months/2.2 months/2.9 months,2026-08-11/2026-06-02/2026-07-03,11.13%,-7.65%,18.78%,0.42,-0.42,112.1449/128.1242/140.21/221.2667/228.7501/295.6013/No EMA 200 Target,113.85/107.93/112.825/No support/No F-Track Level/No F-Track Level/97.09,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),115.96
"BAC, Long, 2026-02-26 (Price: 52.3)",No Exit Yet,"-4.46%, 5 days","100.0%, Past 5 years, 10","Daily, was CONFIRMED on 2026-02-26",Already confirmed,"2026-03-03 (Price: 49.97), 4.46% below",5 days,Upmove Bounce Back,23.66% (Price: 49.8392),0.26% above,"2023-10-27 (Price: 24.96), 2026-01-05 (Price: 57.55)",12.47%/5.94%/10.3%,"-0.0%, 49.03%",3.9 years/1.6 month/1.1 year,2031-09-21/2026-05-06/2027-09-22,14.05%,9.09%,4.96%,2.73,0.48,53.4401/57.6869/71.85/No Horizontal Resistance/72.41/85.2389/No EMA 200 Target,50.41/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/50.43,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),51.88
"JPM, Long, 2026-02-26 (Price: 306.13)",No Exit Yet,"-1.92%, 5 days","100.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-02-26",Already confirmed,"2026-03-03 (Price: 300.26), 1.92% below",5 days,Upmove Bounce Back,23.66% (Price: 286.5845),4.77% above,"2023-03-24 (Price: 123.11), 2026-01-05 (Price: 337.25)",19.58%/1.16%/9.71%,"-0.0%, 39.69%",2.2 years/21 days/3.5 months,2029-04-18/2026-03-28/2026-07-28,33.39%,14.23%,19.16%,1.48,0.83,314.0282/335.8552/434.61/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,297.3/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/299.72,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),304.58
"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",No Exit Yet,"1.21%, 9 days","100.0%, Past 10 years, 5","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 1981.4688), 1.21% above",9 days,Upmove Bounce Back,88.6% (Price: 1793.4297),10.48% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/17.26%/24.12%,"-0.0%, 44.11%",5.4 months/7 days/2.8 months,2026-10-14/2026-03-04/2026-06-23,44.95%,44.58%,0.37%,1.56,1.59,2026.7207/2430.0287/4097.97/4922.7188/4887.278/5344.0381/3382.11,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Support,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),1965.1317
"TSLA, Long, 2026-02-22 (Price: 411.82)",No Exit Yet,"-4.71%, 9 days","73.33%, Past 15 years, 15","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 392.43), 4.71% below",9 days,Upmove Bounce Back,23.66% (Price: 383.5985),2.3% above,"2019-06-09 (Price: 11.7993), 2025-12-28 (Price: 498.83)",32.79%/4.5%/18.29%,"19.51%, 42.05%",1.5 year/1.2 month/4.7 months,2028-04-14/2026-04-15/2026-09-14,12.11%,30.11%,-18.0%,0.69,1.16,595.6976/487.1419/704.04/487.1467/541.282/564.9603/No EMA 200 Target,411.11/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/391.23,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),412.36
"HYG, Long, 2026-02-22 (Price: 81.0)",No Exit Yet,"-1.09%, 9 days","100.0%, Past 18 years, 8","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 80.12), 1.09% below",9 days,Upmove Bounce Back,23.66% (Price: 79.8742),0.31% above,"2025-04-13 (Price: 75.08), 2025-09-28 (Price: 81.36)",1.64%/1.64%/1.64%,"-0.0%, 5.0%",5.6 months/5.6 months/5.6 months,2026-10-23 (Max),4.91%,-0.94%,5.85%,0.25,-0.45,81.2592/82.3284/84.77/87.0575/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,79.95/72.2733/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/80.49,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),80.82
"AMD, Long, 2026-02-22 (Price: 200.15)",No Exit Yet,"-4.6%, 9 days","83.33%, Past 20 years, 12","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 190.95), 4.6% below",9 days,Upmove Bounce Back,38.2% (Price: 194.2708),1.71% below,"2025-04-13 (Price: 76.48), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-09-17/2026-03-04/2027-04-10,11.53%,7.36%,4.17%,1.23,0.44,262.3366/240.5403/314.51/No Horizontal Resistance/273.8526/307.9609/No EMA 200 Target,151.14/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/187.38,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),202.145
"RELIANCE.NS, Long, 2026-02-22 (Price: 1419.4)",No Exit Yet,"-4.33%, 9 days","90.48%, Past 20 years, 21","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 1358.0), 4.33% below",9 days,Upmove Bounce Back,23.66% (Price: 1325.1633),2.48% above,"2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,2029-11-08/2026-03-14/2026-11-27,15.84%,11.94%,3.9%,1.68,0.6,1524.0098/1647.6395/2146.29/1610.3/1879.7264/2065.5547/1450.87,1386.1/1006.0696/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Support,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),1420.1
"SONY, Long, 2026-02-22 (Price: 21.93)",No Exit Yet,"-1.6%, 9 days","100.0%, Past 20 years, 18","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 21.58), 1.6% below",9 days,Upmove Bounce Back,61.8% (Price: 20.8735),3.38% above,"2024-05-12 (Price: 15.022), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-04-11/2026-03-14/2027-12-31,9.4%,4.91%,4.49%,2.5,0.26,22.9607/25.3555/31.12/26.85/33.2191/35.3948/26.33,21.82/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Support,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),22.71
"VGT, Long, 2026-02-22 (Price: 737.6)",No Exit Yet,"-1.89%, 9 days","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-03 (Price: 723.68), 1.89% below",9 days,Upmove Bounce Back,23.66% (Price: 722.7628),0.13% above,"2025-04-13 (Price: 451.0), 2025-11-02 (Price: 806.99)",20.12%/15.11%/16.2%,"0%, 27.55%",1.8 year/1.2 month/9.2 months,2028-09-17/2026-04-15/2027-03-28,14.28%,9.95%,4.33%,12.76,0.59,784.6589/857.0912/951.19/No Horizontal Resistance/946.1588/993.4664/No EMA 200 Target,730.8/311.83/702.1644/626.0547/No F-Track Level/No F-Track Level/716.93,95.65%/69/1.5 year (Across ALL Assets),56.83%/139/7.6 months (Across ALL Assets),726.23
"USO, Long, 2026-02-19 (Price: 81.19)",2026-03-03 (Price: 90.2),"11.1%, 12 days","84.62%, Past 5 years, 13","Daily, was CONFIRMED on 2026-02-19",Already confirmed,"2026-03-03 (Price: 90.2), 11.1% above",12 days,Upmove Bounce Back,23.66% (Price: 76.7206),17.57% above,"2025-08-13 (Price: 71.56), 2025-09-26 (Price: 78.32)",11.41%/0.99%/9.11%,"1.2%, 23.64%",1 year/2.8 months/6.6 months,2027-07-25/2026-06-20/2026-12-02,14.43%,11.69%,2.74%,0.77,0.58,83.7718/88.5864/85.25/83.49/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,75.73/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/73.38,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),80.43
"BDGI.TO, Long, 2026-02-17 (Price: 68.65)",2026-03-02 (Price: 75.62),"10.15%, 13 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-02-17",Already confirmed,"2026-03-03 (Price: 74.18), 8.06% above",14 days,Upmove Bounce Back,38.2% (Price: 63.8711),16.14% above,"2025-04-07 (Price: 33.62), 2026-01-19 (Price: 82.57)",14.12%/2.16%/11.1%,"0.42%, 41.99%",2.8 years/19 days/10.2 months,2030-02-14/2026-03-16/2027-05-06,19.04%,8.7%,10.34%,2.35,0.44,74.3479/76.2702/98.02/No Horizontal Resistance/79.8787/84.3122/No EMA 200 Target,65.8/24.32/63.2847/58.5532/No F-Track Level/No F-Track Level/62.87,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),68.76
"ABNB, Long, 2026-02-05 (Price: 121.27)",2026-02-26 (Price: 136.97),"12.95%, 21 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-02-05",Already confirmed,"2026-03-03 (Price: 133.04), 9.71% above",26 days,Upmove Bounce Back,61.8% (Price: 122.4954),8.61% above,"2025-11-20 (Price: 110.81), 2026-01-09 (Price: 141.4)",21.13%/10.03%/14.0%,"-0.0%, 19.45%",6.7 months/4 days/2.2 months,2026-11-23/2026-02-10/2026-05-11,30.66%,-2.45%,33.11%,1.02,0.07,121.3306/138.2478/139.62/178.025/226.4968/256.334/128.54,111.54/99.795/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),124.24
"MCD, Long, 2026-01-22 (Price: 306.03)",2026-02-27 (Price: 341.06),"11.45%, 1.2 month","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-01-22",Already confirmed,"2026-03-03 (Price: 332.17), 8.54% above",1.3 month,Upmove Bounce Back,38.2% (Price: 307.1518),8.15% above,"2025-06-26 (Price: 283.47), 2025-12-18 (Price: 321.79)",11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-08-17/2026-07-17/2027-04-01,9.72%,5.91%,3.81%,0.88,0.33,312.4566/326.8706/329.02/321.3575/370.0426/590.3302/307.92,302.84/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/No EMA 200 Support,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),306.15
"MCD, Long, 2026-01-08 (Price: 308.88)",2026-02-27 (Price: 341.06),"10.42%, 1.7 month","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-01-08",Already confirmed,"2026-03-03 (Price: 332.17), 7.54% above",1.8 month,Upmove Bounce Back,61.8% (Price: 303.4045),9.48% above,"2025-10-09 (Price: 292.04), 2025-12-18 (Price: 321.79)",11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-08-03/2026-07-03/2027-03-18,9.72%,5.91%,3.81%,0.88,0.33,315.3665/329.9147/326.73/321.3575/370.0426/590.3302/No EMA 200 Target,299.86/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/307.92,93.07%/303/5.2 months (Across ALL Assets),50.91%/55/5 months (Across ALL Assets),303.44
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-28 (Price: 74.45),"22.17%, 8.1 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-03 (Price: 70.63), 15.9% above",8.2 months,Upmove Bounce Back,50% (Price: 48.385),45.97% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,59.9893/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/65.15,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,90.24%/41/1.6 year (Across ALL Assets),68.57%/70/10.1 months (Across ALL Assets),59.72
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-28 (Price: 341.73),"25.08%, 8.1 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-03 (Price: 335.91), 22.95% above",8.2 months,Upmove Bounce Back,38.2% (Price: 207.8333),61.62% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/286.23,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Support,90.24%/41/1.6 year (Across ALL Assets),68.57%/70/10.1 months (Across ALL Assets),262.12
"SJ.TO, Long, 2025-06-30 (Price: 78.49)",2026-03-03 (Price: 95.29),"21.4%, 8.2 months","100.0%, Past 31 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-03 (Price: 95.29), 21.4% above",8.2 months,Upmove Bounce Back,38.2% (Price: 61.7578),54.3% above,"2009-03-31 (Price: 3.125), 2024-07-31 (Price: 98.0)",42.38%/20.57%/27.92%,"-0.0%, 63.57%",4.1 years/2.1 months/1.7 year,2031-05-06/2025-09-29/2027-12-03,8.5%,12.52%,-4.02%,1.5,0.63,99.7058/100.4044/135.41/84.9567/95.0177/123.2166/82.69,67.6/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Support,90.24%/41/1.6 year (Across ALL Assets),68.57%/70/10.1 months (Across ALL Assets),77.78
"SFTBY, Short, 2026-03-03 (Price: 12.26)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 13 years, 4","Quarterly, is CONFIRMED on 2026-03-03",No Cancellation Possible,"2026-03-03 (Price: 12.26), 0.0% below",0 days,Upmove Break Below,50.0% (Price: 12.16),0.82% above,"2012-12-31 (Price: 1.82), 2025-12-31 (Price: 22.5)",18.34%/16.72%/17.41%,"0.0%, 18.34%",3.1 months/3.1 months/3.1 months,2026-07-15 (Max),12.53%,5.4%,7.13%,1.47,0.38,11.0156/10.1255/-0.15/4.205/12.0158/10.9987/No EMA 200 Target,No support/4.205/12.0158/10.9987/11.1875/8.1123/No support,100.0%/3/5.7 months (Across ALL Assets),50.0%/8/3.8 months (Across ALL Assets),14.2475
