"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BIPC.TO, Long, 2026-04-10 (Price: 58.11)",No Exit Yet,"0.0%, 0 days","100.0%, Past 18 years, 4","Weekly, is CONFIRMED on 2026-04-10",Already confirmed,"2026-04-10 (Price: 58.11), 0.0% below",0 days,Upmove Bounce Back,78.6% (Price: 50.9109),14.14% above,"2025-04-13 (Price: 45.7), 2026-02-15 (Price: 70.05)",16.58%/5.26%/12.71%,"-0.0%, 43.75%",3.2 years/2.3 months/1.3 year,2030-11-03/2026-07-18/2028-02-16,8.35%,6.28%,2.07%,0.0,0.32,59.9986/65.4958/72.72/67.0517/No Next Fib Ext/No Next Fib Ext/60.4,52.45/44.9667/No F-Stack Support/No F-Stack Support/56.7793/52.68/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),55.81
"CNQ.TO, Long, 2026-04-10 (Price: 64.16)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 12","Daily, is CONFIRMED on 2026-04-10",Already confirmed,"2026-04-10 (Price: 64.16), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 62.4547),2.73% above,"2023-06-20 (Price: 34.915), 2026-03-30 (Price: 70.99)",12.12%/7.23%/10.42%,"0%, 32.88%",1.8 year/27 days/9.2 months,2028-11-03/2026-05-19/2027-05-14,23.89%,19.22%,4.67%,0.0,1.0,74.4898/70.8455/85.8/No Horizontal Resistance/73.1275/84.827/No EMA 200 Target,63.14/34.9317/59.9244/57.6062/62.4558/57.2113/48.66,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),62.99
"DOL.TO, Long, 2026-04-10 (Price: 176.82)",No Exit Yet,"0.0%, 0 days","100.0%, Past 16 years, 5","Weekly, is CONFIRMED on 2026-04-10",Already confirmed,"2026-04-10 (Price: 176.82), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 168.4935),4.94% above,"2020-03-22 (Price: 34.7), 2025-12-14 (Price: 209.96)",23.76%/3.36%/13.51%,"-0.0%, 37.85%",2.6 years/1.9 month/1 year,2029-12-25/2026-07-01/2027-09-13,7.2%,18.41%,-11.21%,0.0,1.16,188.2603/200.7084/281.98/199.54/252.753/384.8349/190.36,166.76/53.2967/171.1219/120.6711/168.4935/143.0107/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),172.35
"EFN.TO, Long, 2026-04-10 (Price: 32.09)",No Exit Yet,"0.0%, 0 days","90.0%, Past 20 years, 10","Weekly, is CONFIRMED on 2026-04-10",Already confirmed,"2026-04-10 (Price: 32.09), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 29.9672),7.08% above,"2018-03-18 (Price: 3.21), 2025-11-02 (Price: 38.26)",27.12%/15.11%/17.81%,"4.16%, 79.1%",4.3 years/2.6 months/1 year,2032-05-30/2026-07-31/2027-09-13,7.3%,9.68%,-2.38%,0.0,0.49,35.7836/37.8052/53.12/34.925/48.884/73.5584/35.27,30.11/12.67/24.2096/18.3848/29.9672/24.8709/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),30.62
"MX.TO, Long, 2026-04-10 (Price: 82.76)",No Exit Yet,"0.0%, 0 days","100.0%, Past 5 years, 14","Daily, is CONFIRMED on 2026-04-10",Already confirmed,"2026-04-10 (Price: 82.76), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 74.6493),10.87% above,"2025-10-30 (Price: 45.01), 2026-03-30 (Price: 92.97)",13.69%/5.07%/11.4%,"0%, 52.03%",1.8 year/25 days/6.8 months,2028-11-03/2026-05-16/2027-01-30,26.45%,8.76%,17.69%,0.0,0.45,90.8125/92.1946/111.54/No Horizontal Resistance/117.4996/153.5474/No EMA 200 Target,80.06/38.425/81.2495/76.4358/No stop loss/No stop loss/57.21,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),80.69
"AMZN, Long, 2026-04-10 (Price: 238.38)",No Exit Yet,"0.0%, 0 days","100.0%, Past 28 years, 7","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 196.0 prior to 2026-04-30,"2026-04-10 (Price: 238.38), 0.0% below",0 days,Upmove Bounce Back,23.66% (Price: 200.6016),18.83% above,"2018-12-31 (Price: 65.35), 2025-02-28 (Price: 242.52)",30.98%/22.5%/27.11%,"-0.0%, 57.81%",3 years/2 months/1.1 year,2030-07-22/2026-07-05/2027-11-04,8.91%,21.22%,-12.31%,0.34,0.81,334.0657/303.0048/344.68/241.71/257.1563/274.1043/No EMA 200 Target,208.27/86.995/230.14/220.2419/216.6816/190.9211/224.86,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),210.435
"NFLX, Long, 2026-04-10 (Price: 103.01)",No Exit Yet,"0.0%, 0 days","100.0%, Past 23 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 75.01 prior to 2026-04-30,"2026-04-10 (Price: 103.01), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 75.193),36.99% above,"2022-05-31 (Price: 16.271), 2025-06-30 (Price: 134.115)",31.41%/25.28%/27.8%,"-0.0%, 41.17%",1.4 year/1 month/7.1 months,2028-04-07/2026-05-23/2027-02-12,7.76%,22.11%,-14.35%,0.79,0.89,121.7681/131.6468/173.72/No Horizontal Resistance/138.686/154.9498/106.54,83.49/34.8663/101.6781/77.3488/89.0986/75.193/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),96.52
"MCY.NZ, Long, 2026-04-10 (Price: 6.48)",No Exit Yet,"0.0%, 0 days","83.33%, Past 12 years, 6","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 6.08 prior to 2026-04-30,"2026-04-10 (Price: 6.48), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 6.23),4.01% above,"2025-03-31 (Price: 5.5), 2025-09-30 (Price: 6.96)",37.98%/37.98%/37.98%,"10.3%, 15.58%",1 year/1 year/1 year,2027-09-13 (Max),5.53%,5.61%,-0.08%,0.0,0.29,6.7554/8.9411/7.36/7.072/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,6.24/5.13/No F-Stack Support/No F-Stack Support/No stop loss/6.4023/6.41,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),6.29
"WCN.TO, Long, 2026-04-10 (Price: 223.37)",No Exit Yet,"0.0%, 0 days","80.0%, Past 23 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 211.93 prior to 2026-04-30,"2026-04-10 (Price: 223.37), 0.0% below",0 days,Upmove Bounce Back,38.2% (Price: 214.3702),4.2% above,"2020-03-31 (Price: 100.55), 2025-04-30 (Price: 284.725)",21.48%/20.83%/21.21%,"4.1%, 15.28%",1.9 year/1 month/9.8 months,2028-12-25/2026-05-23/2027-06-09,6.79%,8.66%,-1.87%,0.54,0.49,276.5321/270.7468/333.88/252.7/354.4788/566.6704/240.05,179.56/148.255/223.3373/142.2872/214.3702/192.6375/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),226.05
"WFG.TO, Long, 2026-04-10 (Price: 89.6)",No Exit Yet,"0.0%, 0 days","100.0%, Past 39 years, 5","Quarterly, will be confirmed as valid at the end of this quarter",Signal Cancelled if Price < 80.82 prior to 2026-06-30,"2026-04-10 (Price: 89.6), 0.0% below",0 days,Upmove Bounce Back,50% (Price: 81.435),10.03% above,"2020-03-31 (Price: 21.6), 2024-12-31 (Price: 141.27)",49.97%/36.39%/43.07%,"-0.0%, 47.19%",4.1 years/6.1 months/1.8 year,2032-02-14/2026-12-31/2028-11-03,8.77%,4.95%,3.82%,0.5,0.25,97.1443/128.1907/161.4/131.52/159.6818/186.4187/93.5,83.97/81.2433/89.153/80.7407/No stop loss/No stop loss/No EMA 200 Stop Loss,100.0%/3/1.4 year (Across ALL Assets),50.0%/2/9.1 months (Across ALL Assets),91.27
"^TNX, Long, 2026-04-09 (Price: 4.293)",No Exit Yet,"0.56%, 1 day","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-04-09",Already confirmed,"2026-04-10 (Price: 4.317), 0.56% above",1 day,Upmove Bounce Back,88.6% (Price: 4.0162),7.49% above,"2026-02-27 (Price: 3.956), 2026-03-27 (Price: 4.484)",12.7%/5.99%/10.54%,"-0.0%, 19.3%",9 months/15 days/2.6 months,2027-05-05/2026-04-30/2026-07-30,22.42%,14.42%,8.0%,0.0,0.72,4.5489/4.7455/4.61/4.6918/17.4008/18.8284/No EMA 200 Target,4.29/1.6875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/4.19,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),4.297
"BTI, Long, 2026-04-06 (Price: 58.71)",No Exit Yet,"0.17%, 4 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-04-06",Already confirmed,"2026-04-10 (Price: 58.81), 0.17% above",4 days,Upmove Bounce Back,23.66% (Price: 54.9443),7.04% above,"2024-04-16 (Price: 28.25), 2026-02-25 (Price: 63.2176)",13.87%/1.41%/10.26%,"-0.0%, 37.23%",3.3 years/1.4 month/11.9 months,2030-12-21/2026-06-05/2027-09-05,19.79%,6.02%,13.77%,0.0,0.32,63.078/64.7336/79.69/59.135/82.226/92.0468/No EMA 200 Target,57.37/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/55.89,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),58.33
"EURUSD=X, Long, 2026-04-05 (Price: 1.1522)",No Exit Yet,"1.8%, 5 days","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 1.1729), 1.8% above",5 days,Upmove Bounce Back,23.66% (Price: 1.1436),2.56% above,"2022-10-02 (Price: 0.954), 2026-02-01 (Price: 1.2024)",15.74%/3.0%/6.92%,"-0.0%, 9.9%",1.6 year/4 months/9.6 months,2028-07-17/2026-09-25/2027-05-27,4.61%,-0.17%,4.78%,0.0,-0.5,No Target/1.2319/1.3/1.1998/1.6296/1.7649/1.17,1.14/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),1.1492
"SFTBY, Long, 2026-04-05 (Price: 11.49)",No Exit Yet,"3.05%, 5 days","100.0%, Past 14 years, 12","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 11.84), 3.05% above",5 days,Upmove Bounce Back,61.8% (Price: 10.4799),12.98% above,"2020-03-22 (Price: 3.05), 2025-11-02 (Price: 22.5)",29.9%/6.41%/20.24%,"-0.0%, 64.01%",4.4 years/28 days/11.4 months,2032-07-16/2026-05-15/2027-08-13,16.58%,9.8%,6.78%,0.0,0.48,12.9894/13.8156/23.16/11.9025/23.8631/28.8451/13.7,10.91/4.205/10.0807/8.1314/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),11.56
"XLU, Long, 2026-04-05 (Price: 46.34)",No Exit Yet,"1.34%, 5 days","100.0%, Past 20 years, 21","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 46.96), 1.34% above",5 days,Upmove Bounce Back,23.66% (Price: 44.8884),4.62% above,"2025-04-13 (Price: 35.51), 2026-03-01 (Price: 47.795)",18.94%/4.73%/14.27%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-07-16/2026-10-04/2028-02-11,10.6%,3.98%,6.62%,0.0,0.17,47.7163/52.9527/53.71/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/43.83,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),46.17
"BAC, Long, 2026-04-05 (Price: 49.38)",No Exit Yet,"6.4%, 5 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 52.54), 6.4% above",5 days,Upmove Bounce Back,50% (Price: 45.31),15.96% above,"2025-04-13 (Price: 33.07), 2026-01-11 (Price: 57.55)",23.39%/15.5%/17.77%,"-0.0%, 66.1%",3.5 years/7 days/11.2 months,2031-04-04/2026-04-15/2027-08-04,14.41%,0.32%,14.09%,0.0,0.15,53.5427/58.1548/64.07/No Horizontal Resistance/72.41/85.2389/50.99,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),47.55
"RHHBY, Long, 2026-04-05 (Price: 49.85)",No Exit Yet,"0.3%, 5 days","100.0%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 50.0), 0.3% above",5 days,Upmove Bounce Back,38.2% (Price: 47.2508),5.82% above,"2016-12-11 (Price: 25.25), 2026-03-01 (Price: 60.85)",21.61%/3.05%/15.13%,"0%, 43.58%",5.7 years/3 months/2.7 years,2034-05-25/2026-08-13/2030-02-10,5.9%,3.51%,2.39%,0.0,0.15,56.6196/57.3923/71.21/52.46/65.2057/86.6196/No EMA 200 Target,47.39/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/47.0,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),49.02
"RY.TO, Long, 2026-04-05 (Price: 227.34)",No Exit Yet,"4.63%, 5 days","100.0%, Past 20 years, 25","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 237.86), 4.63% above",5 days,Upmove Bounce Back,23.66% (Price: 219.2613),8.48% above,"2025-04-13 (Price: 151.25), 2026-01-11 (Price: 240.34)",18.64%/3.09%/15.51%,"0%, 28.45%",2.9 years/3.7 months/1.5 year,2030-05-26/2026-09-12/2028-05-26,12.0%,5.63%,6.37%,0.0,0.29,251.87/262.6004/280.79/239.805/339.4883/371.0652/No EMA 200 Target,218.5/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/210.97,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),220.71
"SJ.TO, Long, 2026-04-05 (Price: 93.2)",No Exit Yet,"-7.84%, 5 days","100.0%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 85.89), 7.84% below",5 days,Upmove Bounce Back,38.2% (Price: 86.3929),0.58% below,"2025-04-13 (Price: 62.26), 2026-02-15 (Price: 101.31)",21.37%/1.1%/14.81%,"-0.0%, 49.7%",7.2 years/1.2 month/1.4 year,2036-07-15/2026-05-27/2028-04-02,8.83%,10.8%,-1.97%,0.0,0.56,105.8938/107.0029/116.63/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,88.63/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/84.98,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),94.19
"EFA, Long, 2026-04-05 (Price: 98.0)",No Exit Yet,"4.27%, 5 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 102.18), 4.27% above",5 days,Upmove Bounce Back,38.2% (Price: 93.0322),9.83% above,"2025-04-13 (Price: 72.15), 2026-03-01 (Price: 105.94)",16.48%/4.35%/14.67%,"0%, 37.48%",6.7 years/3 months/1.9 year,2035-10-28/2026-08-13/2028-12-20,7.42%,1.45%,5.97%,0.0,-0.02,100.2932/112.3766/118.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,93.59/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.23,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),94.72
"EWJ, Long, 2026-04-05 (Price: 85.29)",No Exit Yet,"3.33%, 5 days","94.12%, Past 20 years, 17","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-10 (Price: 88.13), 3.33% above",5 days,Upmove Bounce Back,23.66% (Price: 81.8183),7.71% above,"2020-03-22 (Price: 41.61), 2026-02-15 (Price: 94.28)",17.95%/2.64%/13.7%,"1.05%, 28.1%",3.7 years/3.3 months/1.3 year,2031-07-17/2026-08-26/2028-02-11,8.64%,1.37%,7.27%,0.0,-0.04,91.6697/96.9747/116.89/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,81.2/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/81.96,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),82.65
