Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"TRI.TO, Long, 2026-03-06 (Price: 151.44)",No Exit Yet,"-0.03%, 3 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 151.39), 0.03% below",3 days,147.39,No Information,No Information,No Information,No Information,No Information,5.93% above/0.03% below/0.03% below,7.54%/0.59%/3.78%,"-0.0%, 12.09%",5.6 months/6 days/1.6 month,2026-11-04/2026-03-14/2026-05-14,13.47%,0.63%,12.84%,1.42,-0.04,159.1029/157.1644/240.12/240.8933/293.2329/368.7715/214.26,110.84/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets)
TRENDPULSE,"ORCL, Long, 2026-03-06 (Price: 152.96)",No Exit Yet,"-0.92%, 3 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 151.56), 0.92% below",3 days,152.92,No Information,No Information,No Information,No Information,No Information,2.09% below/0.92% below/0.92% below,13.62%/0.73%/5.92%,"-0.0%, 11.99%",3.2 months/6 days/1.2 month,2026-07-23/2026-03-14/2026-04-27,18.7%,11.12%,7.58%,0.94,0.53,162.9483/162.0152/268.62/No Horizontal Resistance/300.069/370.6658/220.39,141.31/82.7925/152.3597/145.7273/No F-Track Level/No F-Track Level/No EMA 200 Support,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets)
DELTADRIFT,"BABA, Long, 2026-03-06 (Price: 130.79)",No Exit Yet,"1.41%, 3 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 132.64), 1.41% above",3 days,129.3,No Information,No Information,No Information,No Information,No Information,No Information,12.26%/3.97%/6.89%,"17.99%, 17.99%",1.2 month/1 day/14 days,2026-04-27/2026-03-07/2026-03-26,10.65%,-5.22%,15.87%,0.35,0.01,142.0641/139.8014/140.93/181.595/395.5515/453.696/145.31,130.35/67.495/108.0763/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"NIFTY_MIDCAP_100.NS, Long, 2026-03-06 (Price: 57393.3516)",No Exit Yet,"-1.97%, 3 days","92.86%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 56265.5), 1.97% below",3 days,57692.1484,No Information,No Information,No Information,No Information,No Information,No Information,4.01%/1.72%/2.76%,"7.88%, 9.89%",20 days/2 days/7 days,2026-04-03/2026-03-08/2026-03-16,9.79%,15.36%,-5.57%,0.56,1.16,61680.635/58977.4081/60329.02/60128.6094/69983.5191/76335.2565/58845.82,56925.15/26608.2998/51648.171/44465.2214/No F-Track Level/No F-Track Level/No EMA 200 Support,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
DELTADRIFT,"FRW.NZ, Long, 2026-03-06 (Price: 13.96)",No Exit Yet,"0.0%, 3 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 13.96), 0.0% below",3 days,14.0,No Information,No Information,No Information,No Information,No Information,No Information,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,2026-04-27/2026-03-07/2026-03-19,0.71%,4.01%,-3.3%,-0.04,0.19,14.6859/14.5198/14.6/14.785/16.2179/21.849/No EMA 200 Target,13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.93,84.06%/138/13 days (Across ALL Assets),75.83%/513/15 days (Across ALL Assets)
SIGMASHELL,"IBKR, Long, 2026-03-06 (Price: 66.7)",No Exit Yet,"1.18%, 3 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-09 (Price: 67.49), 1.18% above",3 days,66.3,"-3.36, 85.0%",No Information,No Information,No Information,No Information,No Information,49.99%/6.83%/19.55%,"8.24%, 22.57%",5.6 months/1.3 month/3.2 months,2026-11-04/2026-05-01/2026-07-23,22.96%,8.24%,14.72%,0.9,0.42,69.0412/79.7399/102.297/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,62.45/13.0762/45.4088/31.9794/No F-Track Level/No F-Track Level/65.0,71.79%/39/4.4 months (Across ALL Assets),69.26%/231/3.8 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-05 (Price: 5.67)",No Exit Yet,"-0.71%, 4 days","88.24%, Past 4 years, 34","Daily, is CONFIRMED on 2026-03-05",Already confirmed,"2026-03-09 (Price: 5.63), 0.71% below",4 days,5.6,No Information,No Information,No Information,No Information,No Information,0.71% below/0.71% below/0.71% below,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,2027-02-28/2026-03-15/2026-07-09,14.44%,0.14%,14.3%,0.3,0.02,5.8764/5.8475/5.9/6.825/7.4565/8.4564/5.72,5.56/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Support,92.26%/297/1.2 month (Across ALL Assets),80.65%/522/1.4 month (Across ALL Assets)
FRACTAL TRACK,"QQQ, Long, 2026-03-05 (Price: 608.91)",No Exit Yet,"-0.19%, 4 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-09 (Price: 607.76), 0.19% below",4 days,607.4,No Information,No Information,No Information,"61.8% (Price: 602.0785), 0.94% above, Upmove Bounce Back","2025-11-21 (Price: 580.74), 2026-01-28 (Price: 636.6)",No Information,10.7%/5.85%/9.91%,"-0.0%, 35.54%",2.2 years/1.6 month/7.3 months,2029-04-25/2026-05-13/2027-01-16,20.27%,10.52%,9.75%,1.97,0.62,643.3134/669.253/642.43/636.805/836.2536/910.0135/No EMA 200 Target,597.03/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/589.26,94.02%/301/5.3 months (Across ALL Assets),55.56%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"ASHR, Long, 2026-03-05 (Price: 33.18)",No Exit Yet,"0.9%, 4 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-09 (Price: 33.48), 0.9% above",4 days,33.34,No Information,No Information,No Information,"23.66% (Price: 31.9117), 4.91% above, Upmove Bounce Back","2025-04-07 (Price: 23.27), 2026-02-25 (Price: 34.59)",No Information,17.94%/2.73%/10.86%,"-0.0%, 32.83%",2.3 years/1.7 month/10.3 months,2029-06-14/2026-05-17/2027-05-26,18.64%,-2.16%,20.8%,1.79,-0.19,32.3472/36.7833/39.97/39.9467/60.2967/80.3432/No EMA 200 Target,33.06/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/31.34,94.02%/301/5.3 months (Across ALL Assets),55.56%/54/4.8 months (Across ALL Assets)
FRACTAL TRACK,"^NDX, Long, 2026-03-05 (Price: 25020.4102)",No Exit Yet,"-0.21%, 4 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-09 (Price: 24967.248), 0.21% below",4 days,24992.7305,No Information,No Information,No Information,"61.8% (Price: 24736.8507), 0.93% above, Upmove Bounce Back","2025-11-21 (Price: 23854.0293), 2026-01-28 (Price: 26165.0801)",No Information,11.41%/5.59%/9.81%,"-0.0%, 35.54%",2.2 years/1.7 month/7.1 months,2029-04-25/2026-05-17/2027-01-07,20.36%,10.72%,9.64%,2.03,0.63,26286.443/27474.9124/26407.04/26173.5898/33965.62/36701.6323/No EMA 200 Target,24548.69/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/24212.88,94.02%/301/5.3 months (Across ALL Assets),55.56%/54/4.8 months (Across ALL Assets)
