Function,Strategy,Interval,Signal Type,Total Analysed Trades,Win Percentage,Holding Period (days) (Max./Min./Avg.),Profit [%] (Best/Worst/Avg.),Avg Backtested Win Rate [%],Avg Backtested Holding Period (days),Percentage of Open Trades
Forward Testing,TRENDPULSE,Weekly,Short,7,28.57%,49 days/14 days/29 days,1.71%/-3.45%/-1.66%,92.86%,47 days,0.0%
Forward Testing,TRENDPULSE,Monthly,Long,107,73.83%,500 days/0 days/181 days,58.2%/-38.33%/12.38%,89.51%,225 days,4.67%
Forward Testing,TRENDPULSE,Monthly,Short,4,0.0%,194 days/63 days/112 days,-3.61%/-7.94%/-6.01%,100.0%,117 days,0.0%
Forward Testing,TRENDPULSE,Quarterly,Long,1,100.0%,155 days/155 days/155 days,9.85%/9.85%/9.85%,80.0%,454 days,100.0%
Latest Performance,ALTITUDE ALPHA,Quarterly,Long,19,84.21%,3847 days/195 days/1010 days,113.06%/-31.4%/54.86%,81.74%,934 days,10.53%
Latest Performance,ALTITUDE ALPHA,Monthly,Long,10,80.0%,565 days/106 days/281 days,80.23%/-25.5%/51.32%,79.26%,412 days,0.0%
Latest Performance,ALTITUDE ALPHA,Daily,Long,3,66.67%,200 days/103 days/142 days,73.05%/-23.63%/37.5%,75.0%,216 days,0.0%
Latest Performance,ALTITUDE ALPHA,Weekly,Long,13,61.54%,1294 days/49 days/359 days,68.42%/-30.94%/29.66%,82.3%,552 days,0.0%
Latest Performance,ALTITUDE ALPHA,Yearly,Long,2,50.0%,1001 days/480 days/740 days,64.98%/-20.47%/22.25%,73.22%,743 days,100.0%
Latest Performance,BAND MATRIX,Daily,Long,69,82.61%,387 days/22 days/122 days,94.22%/-46.83%/11.54%,83.02%,121 days,0.0%
Latest Performance,BAND MATRIX,Weekly,Long,5,100.0%,814 days/184 days/524 days,72.96%/2.53%/27.77%,86.67%,485 days,0.0%
Latest Performance,BASELINEDIVERGENCE,Weekly,Long,27,88.89%,174 days/44 days/87 days,47.99%/-1.34%/11.28%,87.51%,73 days,14.81%
Latest Performance,DELTADRIFT,Daily,Long,112,83.04%,52 days/1 days/11 days,22.83%/-27.31%/2.29%,82.9%,9 days,0.0%
Latest Performance,DELTADRIFT,Daily,Short,34,73.64%,22 days/1 days/7 days,9.43%/-15.31%/1.09%,82.9%,5 days,0.0%
Latest Performance,DELTADRIFT,Weekly,Long,39,94.87%,134 days/4 days/40 days,15.04%/-31.5%/6.36%,88.95%,34 days,0.0%
Latest Performance,FRACTAL TRACK,Weekly,Long,55,94.55%,1904 days/49 days/541 days,533.55%/-5.31%/62.79%,94.49%,543 days,0.0%
Latest Performance,FRACTAL TRACK,Daily,Long,288,94.1%,905 days/4 days/218 days,370.36%/-3.6%/25.33%,96.19%,227 days,0.0%
Latest Performance,FRACTAL TRACK,Quarterly,Long,13,92.31%,3977 days/326 days/1698 days,1130.69%/-18.82%/225.92%,93.89%,1571 days,15.38%
Latest Performance,FRACTAL TRACK,Monthly,Long,45,84.44%,6608 days/107 days/1293 days,1463.25%/-39.0%/203.36%,91.39%,1153 days,0.0%
Latest Performance,FRACTAL TRACK,Monthly,Short,7,85.71%,172 days/21 days/46 days,8.58%/-38.7%/-0.1%,89.4%,37 days,0.0%
