"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"MEL.NZ, Long, 2026-03-16 (Price: 5.38)",2026-03-18 (Price: 5.63),"4.65%, 2 days","77.78%, Past 4 years, 9","Daily, was CONFIRMED on 2026-03-16",Already confirmed,"2026-03-18 (Price: 5.63), 4.65% above",2 days,4.7%/2.65%/3.72%,"9.78%, 16.99%",23 days/1 day/11 days,2026-04-18/2026-03-17/2026-03-31,4.59%,-3.26%,7.85%,0.12,-0.21,5.6162/5.5801/5.6/6.825/7.4565/8.4564/5.71,5.34/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),5.41
"HDB, Long, 2026-03-09 (Price: 29.72)",2026-03-18 (Price: 26.62),"-10.43%, 9 days","100.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-03-09",Already confirmed,"2026-03-18 (Price: 26.62), 10.43% below",9 days,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,2026-06-21/2026-03-10/2026-04-11,15.13%,-1.6%,16.73%,2.09,-0.12,32.0322/30.7929/31.41/39.3812/40.717/47.4928/35.44,29.47/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),28.93
"TCS.NS, Long, 2026-03-08 (Price: 2557.6001)",No Exit Yet,"-4.57%, 10 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-18 (Price: 2440.8), 4.57% below",10 days,14.06%/3.68%/8.22%,"14.47%, 16.73%",1.9 month/21 days/1.2 month,2026-05-29/2026-04-07/2026-04-29,4.8%,8.26%,-3.46%,0.2,0.45,2789.3187/2767.8348/2778.58/4543.575/5051.5642/5692.579/3093.87,No Recent Minima/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),2592.0
"WIPRO.NS, Long, 2026-03-08 (Price: 195.4)",No Exit Yet,"-0.56%, 10 days","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-18 (Price: 194.3), 0.56% below",10 days,9.84%/6.43%/8.22%,"21.48%, 23.67%",3.3 months/7 days/1.5 month,2026-07-29/2026-03-18/2026-05-12,3.18%,5.02%,-1.84%,0.04,0.25,220.3917/211.4619/215.93/366.6625/412.2037/473.5829/245.84,189.65/187.6063/179.092/142.8471/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),195.0
"INFY, Long, 2026-03-08 (Price: 14.44)",No Exit Yet,"-10.53%, 10 days","87.5%, Past 15 years, 8","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-03-18 (Price: 12.92), 10.53% below",10 days,16.57%/6.3%/10.74%,"21.95%, 25.26%",8.9 months/1.4 month/3.3 months,2027-03-29/2026-05-07/2026-07-29,6.63%,3.65%,2.98%,0.56,0.18,17.0811/15.9909/16.54/23.796/31.8515/41.1179/17.06,No Recent Minima/No Horizontal Support/13.0115/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),14.09
"FRW.NZ, Long, 2026-03-06 (Price: 13.96)",2026-03-17 (Price: 13.0),"-6.88%, 11 days","71.43%, Past 4 years, 7","Daily, was CONFIRMED on 2026-03-06",Already confirmed,"2026-03-18 (Price: 13.29), 4.8% below",12 days,5.37%/2.86%/4.01%,"13.71%, 14.11%",1.2 month/1 day/9 days,2026-04-27/2026-03-07/2026-03-19,0.71%,4.01%,-3.3%,-0.04,0.19,14.6859/14.5198/14.6/14.785/16.2179/21.849/No EMA 200 Target,13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/13.02,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),14.0
"EURUSD=X, Long, 2026-03-05 (Price: 1.1636)",2026-03-13 (Price: 1.1423),"-1.83%, 8 days","71.43%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-18 (Price: 1.1471), 1.42% below",13 days,1.61%/0.52%/0.99%,"2.53%, 3.21%",1 month/1 day/8 days,2026-04-17/2026-03-06/2026-03-16,3.62%,-0.41%,4.03%,0.09,-0.64,1.1843/1.1751/1.18/1.1998/1.6296/1.7649/1.17,1.16/1.0069/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),1.1635
"HDFCBANK.NS, Long, 2026-03-05 (Price: 877.75)",2026-03-13 (Price: 817.0),"-6.92%, 8 days","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-18 (Price: 843.05), 3.95% below",13 days,5.57%/1.67%/2.95%,"8.2%, 8.72%",2.7 months/2 days/26 days,2026-06-30/2026-03-07/2026-04-11,5.13%,4.11%,1.02%,0.21,0.19,912.9478/903.6436/908.3/1009.6/1098.0619/1305.7899/966.97,868.65/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),873.85
"INDA, Long, 2026-03-05 (Price: 50.37)",2026-03-18 (Price: 47.72),"-5.26%, 13 days","78.57%, Past 4 years, 14","Daily, was CONFIRMED on 2026-03-05",Already confirmed,"2026-03-18 (Price: 47.72), 5.26% below",13 days,3.64%/1.48%/2.43%,"5.35%, 6.14%",28 days/2 days/9 days,2026-04-14/2026-03-07/2026-03-18,5.73%,3.54%,2.19%,0.28,0.12,52.8633/51.594/52.23/55.3975/66.8401/79.771/53.35,50.22/39.06/49.0901/45.3705/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),50.47
"TRI.TO, Long, 2026-03-01 (Price: 131.33)",2026-03-08 (Price: 151.44),"15.31%, 7 days","100.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-03-01",Already confirmed,"2026-03-18 (Price: 129.02), 1.76% below",17 days,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,2028-02-27/2026-03-21/2026-10-30,5.14%,6.08%,-0.94%,1.52,0.34,137.3712/139.4331/138.4/240.8933/293.2329/455.2123/208.91,113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),113.04
"TCS.NS, Long, 2026-02-25 (Price: 2629.3)",2026-03-13 (Price: 2410.5),"-8.32%, 16 days","86.67%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-25",Already confirmed,"2026-03-18 (Price: 2440.8), 7.17% below",21 days,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,2026-03-27/2026-02-26/2026-03-11,12.04%,-0.2%,12.24%,0.76,-0.13,2805.989/2715.541/2760.77/4543.575/5051.5642/5692.579/3093.87,2573.7/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),2596.0
"KXS.TO, Long, 2026-02-22 (Price: 124.2)",2026-03-08 (Price: 135.23),"8.88%, 14 days","100.0%, Past 11 years, 4","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-03-18 (Price: 136.38), 9.81% above",24 days,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,2026-07-24/2026-05-15/2026-06-19,12.67%,15.77%,-3.1%,14.45,0.74,147.6862/139.3151/143.5/209.885/245.9157/289.1348/175.21,123.77/No Horizontal Support/118.5983/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),122.9
"BTC-USD, Long, 2026-02-06 (Price: 70555.3906)",2026-03-16 (Price: 74832.75),"6.06%, 1.3 month","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-03-18 (Price: 71312.6875), 1.07% above",1.3 month,11.7%/2.55%/5.96%,"26.18%, 26.18%",1.9 month/2 days/10 days,2026-04-29/2026-02-08/2026-02-20,6.02%,14.76%,-8.74%,0.14,0.5,72573.2748/74760.4919/73666.88/124582.2656/136097.3501/177421.0223/93617.82,62702.1/18304.4229/57447.2152/51395.9501/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),62704.4531
"UBER, Long, 2026-02-06 (Price: 74.77)",2026-03-17 (Price: 77.79),"4.04%, 1.3 month","100.0%, Past 4 years, 9","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-03-18 (Price: 76.66), 2.53% above",1.3 month,10.1%/3.32%/5.97%,"0%, 11.17%",1.7 month/2 days/14 days,2026-04-20/2026-02-08/2026-02-26,15.68%,3.38%,12.3%,2.69,0.26,81.4694/79.2338/80.35/82.12/110.4084/120.7433/87.62,73.92/34.6025/63.3753/49.8327/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),75.49
"LYFT, Long, 2026-02-06 (Price: 16.46)",2026-03-13 (Price: 13.07),"-20.6%, 1.2 month","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-06",Already confirmed,"2026-03-18 (Price: 13.46), 18.23% below",1.3 month,8.38%/5.33%/6.9%,"26.16%, 31.32%",1.8 month/1 day/15 days,2026-04-25/2026-02-07/2026-02-27,-3.92%,-12.3%,8.38%,-0.15,-0.0,No Target/17.5957/16.94/57.19/No Next Fib Ext/No Next Fib Ext/17.67,15.84/8.8875/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),15.84
"CAD=X, Long, 2026-02-02 (Price: 1.3636)",2026-03-14 (Price: 1.3718),"0.6%, 1.3 month","80.0%, Past 4 years, 15","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-03-18 (Price: 1.369), 0.4% above",1.5 month,1.24%/0.44%/0.72%,"1.99%, 2.15%",1.2 month/2 days/13 days,2026-03-26/2026-02-04/2026-02-20,4.14%,1.03%,3.11%,0.22,-0.46,1.3846/1.3734/1.38/1.3921/No Next Fib Ext/No Next Fib Ext/1.38,1.35/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,78.57%/140/14 days (Across ALL Assets),73.55%/518/15 days (Across ALL Assets),1.3636
"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",2026-03-15 (Price: 817.0),"-12.08%, 1.4 month","100.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-02-01",Already confirmed,"2026-03-18 (Price: 843.05), 9.28% below",1.5 month,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,2026-05-11/2026-03-13/2026-04-15,12.02%,10.83%,1.19%,2.91,0.65,1065.7568/1008.7938/1037.28/1009.6/1098.0619/1305.7899/966.97,916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),906.0
"INDY, Long, 2026-01-18 (Price: 47.98)",2026-03-18 (Price: 42.88),"-10.63%, 2 months","85.71%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-01-18",Already confirmed,"2026-03-18 (Price: 42.88), 10.63% below",2 months,15.72%/4.17%/7.44%,"18.57%, 22.76%",2.8 months/21 days/1.8 month,2026-05-19/2026-02-17/2026-04-06,4.45%,2.66%,1.79%,0.24,0.07,51.2426/51.5497/51.4/54.474/60.9145/68.1277/51.04,47.57/40.73/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,76.92%/13/2.5 months (Across ALL Assets),85.34%/116/2.3 months (Across ALL Assets),48.41
"TSM, Short, 2026-03-18 (Price: 339.57)",No Exit Yet,"-0.0%, 0 days","80.0%, Past 28 years, 5","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price below 327.2387 or above 370.6087 prior to 2026-03-31,"2026-03-18 (Price: 339.57), 0.0% below",0 days,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-07-13/2026-06-12/2026-10-25,4.9%,4.88%,0.02%,0.28,0.54,313.0835/292.5735/302.83/83.575/291.0528/250.9374/283.32,374.58/No Horizontal Resistance/381.0775/447.6175/No stop loss/No stop loss/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),365.36
"NA.TO, Short, 2026-03-18 (Price: 181.81)",No Exit Yet,"-0.0%, 0 days","100.0%, Past 43 years, 4","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price below 178.8703 or above 185.3447 prior to 2026-03-31,"2026-03-18 (Price: 181.81), 0.0% below",0 days,8.95%/3.32%/6.93%,"0.0%, 17.56%",1 year/2 months/5.7 months,2027-08-21/2026-06-12/2026-11-20,4.95%,4.88%,0.07%,1.25,0.51,167.4106/169.2106/168.31/82.9367/162.0277/143.1328/157.92,190.37/No Horizontal Resistance/204.2705/224.9542/No stop loss/No stop loss/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),188.37
"DBC, Short, 2026-03-13 (Price: 28.71)",2026-03-16 (Price: 28.31),"1.39%, 3 days","100.0%, Past 4 years, 6","Daily, was CONFIRMED on 2026-03-13",Already confirmed,"2026-03-18 (Price: 29.27), 1.95% above",5 days,3.7%/0.55%/1.7%,"0%, 3.7%",9 days/1 day/4 days,2026-03-26/2026-03-14/2026-03-18,6.02%,3.82%,2.2%,1.24,0.37,27.151/28.2219/27.69/19.55/No F-Stack Support/No F-Stack Support/23.05,28.86/No Horizontal Resistance/60.6441/65.878/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,87.1%/31/4 days (Across ALL Assets),69.23%/104/6 days (Across ALL Assets),28.52
"TD, Short, 2026-02-28 (Price: 97.36)",No Exit Yet,"3.12%, 18 days","80.0%, Past 30 years, 5","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-18 (Price: 94.32), 3.12% below",18 days,9.04%/2.95%/6.85%,"14.7%, 9.14%",3 months/1 month/2 months,2026-07-08/2026-04-12/2026-05-25,4.69%,4.88%,-0.19%,0.28,0.39,93.3293/90.6908/92.01/54.526/75.6865/62.3451/82.97,No Recent Maxima/No Horizontal Resistance/No stop loss/115.2091/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),93.11
"TSM, Short, 2025-12-31 (Price: 303.89)",2026-02-28 (Price: 374.58),"-23.26%, 2 months","80.0%, Past 28 years, 5","Monthly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-03-18 (Price: 339.57), 11.74% above",2.6 months,20.7%/9.53%/13.84%,"19.11%, 20.7%",11.1 months/2 months/5.1 months,2027-04-27/2026-03-27/2026-08-09,4.9%,4.88%,0.02%,0.28,0.54,280.1866/261.8316/271.01/83.575/274.027/233.1074/283.32,No Recent Maxima/No Horizontal Resistance/334.306/349.9895/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),286.92
"TD.TO, Short, 2025-11-30 (Price: 117.65)",2026-02-28 (Price: 132.88),"-12.95%, 3 months","100.0%, Past 54 years, 6","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-03-18 (Price: 129.51), 10.08% above",3.6 months,8.79%/2.29%/4.91%,"0.0%, 10.3%",2 months/1 month/1.4 month,2026-02-24/2026-01-12/2026-01-29,5.19%,4.88%,0.31%,1.28,0.43,106.4144/111.8734/109.14/73.6233/101.1064/83.3451/114.5,No Recent Maxima/No Horizontal Resistance/128.6672/152.0396/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),115.02
"JPM, Short, 2025-10-31 (Price: 311.12)",2026-03-18 (Price: 287.74),"7.51%, 4.6 months","80.0%, Past 45 years, 5","Monthly, was CONFIRMED on 2025-10-31",Already confirmed,"2026-03-18 (Price: 287.74), 7.51% below",4.6 months,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2026-03-10/2026-01-25/2026-02-12,2.69%,4.88%,-2.19%,-0.03,0.32,No Target/291.0839/308.29/125.7575/300.9735/287.5071/301.08,315.43/No Horizontal Resistance/328.9175/381.492/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,25.0%/4/2.9 months (Across ALL Assets),25.0%/4/3.7 months (Across ALL Assets),313.97
