"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"BNS.TO, Long, 2026-03-11 (Price: 96.94)",No Exit Yet,"-2.64%, 2 days","100.0%, Past 5 years, 6","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 94.38), 2.64% below",2 days,Upmove Bounce Back,23.66% (Price: 94.2784),0.11% above,"2023-10-27 (Price: 55.2), 2026-02-23 (Price: 106.39)",11.46%/10.3%/10.88%,"-0.0%, 19.75%",1.5 year/1.4 month/7.1 months,2028-05-01/2026-05-10/2027-01-13,15.96%,4.96%,11.0%,2.04,0.25,96.3584/107.4871/127.65/No Horizontal Resistance/113.9126/137.6923/No EMA 200 Target,96.23/62.2517/92.969/69.3218/No F-Track Level/No F-Track Level/89.82,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),97.05
"ACWX, Long, 2026-03-11 (Price: 70.22)",No Exit Yet,"-2.88%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 68.2), 2.88% below",2 days,Upmove Bounce Back,23.66% (Price: 67.8149),0.57% above,"2023-10-27 (Price: 44.89), 2026-02-25 (Price: 74.92)",10.95%/0.24%/9.51%,"0%, 31.47%",3.9 years/2.1 months/1 year,2031-10-04/2026-06-10/2027-08-14,15.62%,3.37%,12.25%,3.17,0.11,71.4067/76.8979/88.24/No Horizontal Resistance/76.9985/87.9979/No EMA 200 Target,69.3/45.07/69.6679/61.9685/No F-Track Level/No F-Track Level/65.56,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),70.12
"WPM.TO, Long, 2026-03-11 (Price: 202.06)",No Exit Yet,"-4.91%, 2 days","95.0%, Past 5 years, 20","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 192.13), 4.91% below",2 days,Upmove Bounce Back,38.2% (Price: 189.6298),1.32% above,"2025-10-28 (Price: 129.69), 2026-03-02 (Price: 226.68)",14.62%/2.13%/10.44%,"0.62%, 39.55%",1.1 year/13 days/4.4 months,2027-10-05/2026-03-29/2026-09-18,33.25%,15.97%,17.28%,1.94,0.81,214.2038/223.1551/260.25/No Horizontal Resistance/235.0118/253.398/No EMA 200 Target,199.72/52.782/174.4202/158.548/No F-Track Level/No F-Track Level/152.8,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),201.98
"C6L.SI, Long, 2026-03-11 (Price: 6.67)",No Exit Yet,"-1.95%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 6.54), 1.95% below",2 days,Upmove Bounce Back,78.6% (Price: 6.4376),1.59% above,"2025-12-10 (Price: 6.23), 2026-02-27 (Price: 7.2)",12.26%/1.45%/9.77%,"2.02%, 13.19%",1.2 year/24 days/5.9 months,2027-11-26/2026-04-14/2026-11-22,20.99%,5.6%,15.39%,1.09,0.29,6.7907/7.3217/7.25/6.826/15.377/16.6022/6.69,6.49/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),6.65
"CSCO, Long, 2026-03-11 (Price: 78.1)",No Exit Yet,"0.29%, 2 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 78.33), 0.29% above",2 days,Upmove Bounce Back,78.6% (Price: 76.0935),2.94% above,"2026-01-12 (Price: 72.8), 2026-02-10 (Price: 88.19)",13.58%/2.93%/10.01%,"0%, 37.04%",3.2 years/1 month/7.1 months,2030-10-04/2026-04-23/2027-01-13,22.72%,7.9%,14.82%,3.15,0.44,79.045/85.9178/87.33/No Horizontal Resistance/109.6316/119.2504/No EMA 200 Target,76.21/40.92/75.1101/68.2017/No F-Track Level/No F-Track Level/72.24,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),77.635
"DIA, Long, 2026-03-11 (Price: 474.81)",No Exit Yet,"-1.77%, 2 days","94.44%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 466.41), 1.77% below",2 days,Upmove Bounce Back,23.66% (Price: 472.4173),1.27% below,"2025-04-07 (Price: 366.32), 2026-02-10 (Price: 505.3)",10.56%/4.34%/8.4%,"2.53%, 21.9%",2.4 years/1.7 month/10.7 months,2029-08-13/2026-05-23/2027-06-18,17.57%,6.62%,10.95%,2.06,0.43,488.3421/514.694/558.2/No Horizontal Resistance/538.1343/826.9871/No EMA 200 Target,458.1/326.1/359.6128/249.2814/No F-Track Level/No F-Track Level/464.82,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),477.4
"EEM, Long, 2026-03-11 (Price: 58.83)",No Exit Yet,"-3.45%, 2 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 56.8), 3.45% below",2 days,Upmove Bounce Back,38.2% (Price: 55.3519),2.62% above,"2025-04-08 (Price: 38.19), 2026-02-27 (Price: 65.96)",10.77%/2.11%/8.51%,"-0.0%, 16.11%",1.9 year/1.9 month/8.3 months,2028-11-25/2026-06-01/2027-03-06,13.08%,0.95%,12.13%,1.69,-0.08,59.4712/63.8364/75.49/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,57.32/36.64/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/53.41,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),58.7
"GDX, Long, 2026-03-11 (Price: 101.36)",No Exit Yet,"-7.99%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 93.26), 7.99% below",2 days,Upmove Bounce Back,23.66% (Price: 97.3586),4.21% below,"2024-12-30 (Price: 33.42), 2026-03-02 (Price: 117.175)",16.06%/1.26%/10.28%,"3.89%, 38.9%",2.3 years/14 days/4.8 months,2029-06-20/2026-03-31/2026-10-05,25.44%,12.61%,12.83%,1.62,0.62,110.381/111.7798/151.61/No Horizontal Resistance/136.5646/157.2221/No EMA 200 Target,92.44/25.645/90.9746/72.73/No F-Track Level/No F-Track Level/75.43,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),102.05
"IWM, Long, 2026-03-11 (Price: 252.85)",No Exit Yet,"-2.48%, 2 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 246.59), 2.48% below",2 days,Upmove Bounce Back,23.66% (Price: 245.5906),0.41% above,"2023-10-27 (Price: 161.67), 2026-01-22 (Price: 271.6)",13.11%/0.65%/9.22%,"-0.0%, 28.11%",3.9 years/1.9 month/11.3 months,2031-10-04/2026-06-01/2027-07-15,14.39%,3.76%,10.63%,1.95,0.16,242.8877/276.1628/318.81/No Horizontal Resistance/267.7701/348.4025/No EMA 200 Target,250.89/162.3167/230.2783/209.2101/No F-Track Level/No F-Track Level/240.2,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),252.34
"RHHBY, Long, 2026-03-11 (Price: 53.25)",No Exit Yet,"-6.01%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 50.05), 6.01% below",2 days,Upmove Bounce Back,38.2% (Price: 51.9341),3.63% below,"2025-08-11 (Price: 37.51), 2026-02-24 (Price: 60.85)",14.16%/3.63%/9.5%,"-0.0%, 32.35%",2.9 years/6 days/9.9 months,2030-05-01/2026-03-19/2027-05-15,17.08%,1.63%,15.45%,1.74,0.02,50.7686/58.3087/67.25/No Horizontal Resistance/65.2057/86.6196/No EMA 200 Target,51.37/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/46.09,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),52.95
"WPM, Long, 2026-03-11 (Price: 148.67)",No Exit Yet,"-5.92%, 2 days","100.0%, Past 5 years, 18","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 139.87), 5.92% below",2 days,Upmove Bounce Back,38.2% (Price: 137.8014),1.5% above,"2025-10-28 (Price: 92.57), 2026-03-02 (Price: 165.76)",13.39%/1.64%/9.35%,"-0.0%, 36.58%",11.9 months/6 days/4.1 months,2027-08-10/2026-03-19/2026-09-03,31.01%,14.41%,16.6%,1.92,0.71,158.6606/162.5706/192.58/No Horizontal Resistance/188.656/216.4147/No EMA 200 Target,146.85/38.3375/136.0789/127.6576/No F-Track Level/No F-Track Level/110.75,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),148.0
"BYD.TO, Long, 2026-03-11 (Price: 218.93)",No Exit Yet,"-3.59%, 2 days","85.71%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 211.06), 3.59% below",2 days,Upmove Bounce Back,50% (Price: 217.165),2.81% below,"2025-08-08 (Price: 186.1), 2026-02-11 (Price: 248.23)",12.1%/10.05%/11.03%,"1.1%, 48.71%",2.1 years/26 days/4.6 months,2029-03-10/2026-04-17/2026-09-26,27.71%,0.9%,26.81%,1.63,0.03,233.9705/243.078/256.21/256.6133/367.2583/388.6839/219.95,215.55/190.7867/147.1212/139.9966/No F-Track Level/No F-Track Level/No EMA 200 Support,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),220.95
"BIPC.TO, Long, 2026-03-11 (Price: 64.65)",No Exit Yet,"-0.53%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 64.31), 0.53% below",2 days,Upmove Bounce Back,23.66% (Price: 61.8305),4.01% above,"2023-10-30 (Price: 35.31), 2026-02-12 (Price: 70.05)",12.52%/2.79%/9.56%,"2.3%, 18.18%",8.4 months/14 days/2.7 months,2027-03-11/2026-03-31/2026-07-06,22.95%,1.41%,21.54%,1.2,0.05,65.7426/70.8305/85.49/67.0517/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,62.75/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/60.37,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),63.45
"NA.TO, Long, 2026-03-11 (Price: 184.51)",No Exit Yet,"-2.14%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 180.57), 2.14% below",2 days,Upmove Bounce Back,23.66% (Price: 185.9306),2.88% below,"2026-01-28 (Price: 160.83), 2026-02-27 (Price: 193.71)",15.25%/10.02%/11.05%,"0%, 19.4%",2.1 years/2 months/7.9 months,2029-03-10/2026-06-05/2027-02-17,24.66%,12.6%,12.06%,7.0,0.93,192.3332/204.8984/204.24/No Horizontal Resistance/207.1743/217.2943/No EMA 200 Target,183.94/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/157.2,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),183.72
"RY.TO, Long, 2026-03-11 (Price: 224.19)",No Exit Yet,"-1.21%, 2 days","100.0%, Past 5 years, 9","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 221.47), 1.21% below",2 days,Upmove Bounce Back,23.66% (Price: 213.6657),3.65% above,"2024-02-13 (Price: 127.6), 2026-01-06 (Price: 240.34)",10.81%/4.09%/9.09%,"0%, 26.48%",2.5 years/1.2 month/8.2 months,2029-10-04/2026-05-02/2027-02-28,16.77%,10.42%,6.35%,3.94,0.82,232.9782/244.5689/291.83/No Horizontal Resistance/339.4883/371.0652/No EMA 200 Target,221.95/118.8425/221.431/150.7521/No F-Track Level/No F-Track Level/206.14,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),224.61
"MSE.PA, Long, 2026-03-11 (Price: 64.68)",No Exit Yet,"-1.31%, 2 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 63.83), 1.31% below",2 days,Upmove Bounce Back,23.66% (Price: 62.5404),2.06% above,"2023-03-20 (Price: 40.795), 2026-02-26 (Price: 69.28)",10.86%/2.75%/8.53%,"0%, 23.33%",1.6 year/1.3 month/5.5 months,2028-06-22/2026-05-06/2026-11-04,22.9%,9.15%,13.75%,2.88,0.6,66.7562/70.1972/81.77/No Horizontal Resistance/81.1364/93.8009/No EMA 200 Target,63.5/33.6667/58.4776/52.627/No F-Track Level/No F-Track Level/62.44,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),64.56
"EFA, Long, 2026-03-11 (Price: 99.01)",No Exit Yet,"-2.74%, 2 days","100.0%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 96.3), 2.74% below",2 days,Upmove Bounce Back,61.8% (Price: 96.8369),0.55% below,"2025-11-20 (Price: 91.21), 2026-02-27 (Price: 105.94)",10.73%/3.3%/7.67%,"0%, 32.13%",3.4 years/23 days/9.5 months,2031-01-16/2026-04-13/2027-04-27,16.46%,3.92%,12.54%,2.72,0.16,98.8912/106.6041/107.85/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,98.28/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/94.41,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),98.64
"IBKR, Long, 2026-03-11 (Price: 68.39)",No Exit Yet,"-3.22%, 2 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 66.19), 3.22% below",2 days,Upmove Bounce Back,78.6% (Price: 63.2792),4.6% above,"2025-11-21 (Price: 58.95), 2026-02-10 (Price: 79.18)",16.34%/10.24%/12.37%,"7.97%, 31.97%",1.1 year/28 days/3 months,2027-10-05/2026-04-20/2026-07-19,35.27%,24.2%,11.07%,1.68,1.19,73.9091/76.8498/80.53/No Horizontal Resistance/102.297/159.1852/No EMA 200 Target,66.7/13.0762/67.1382/45.4088/No F-Track Level/No F-Track Level/65.31,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),68.2
"EWJ, Long, 2026-03-11 (Price: 85.73)",No Exit Yet,"-2.76%, 2 days","100.0%, Past 5 years, 12","Daily, was CONFIRMED on 2026-03-11",Already confirmed,"2026-03-13 (Price: 83.36), 2.76% below",2 days,Upmove Bounce Back,38.2% (Price: 81.1239),2.76% above,"2025-04-07 (Price: 59.84), 2026-02-12 (Price: 94.28)",11.53%/1.99%/7.79%,"-0.0%, 31.15%",3.7 years/24 days/10.3 months,2031-06-22/2026-04-14/2027-06-01,12.5%,3.34%,9.16%,1.51,0.11,86.8959/92.4084/106.39/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,84.77/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/80.9,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),85.3
"IEI, Long, 2026-03-10 (Price: 119.38)",No Exit Yet,"-0.53%, 3 days","85.71%, Past 5 years, 7","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 118.75), 0.53% below",3 days,Upmove Bounce Back,23.66% (Price: 118.5724),0.15% above,"2023-10-19 (Price: 111.45), 2026-02-27 (Price: 120.7799)",2.05%/2.05%/2.05%,"0.03%, 4.21%",5.8 months/5.8 months/5.8 months,2026-11-17 (Max),3.55%,-1.4%,4.95%,0.29,-1.34,119.8217/121.8273/124.98/130.0867/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,118.82/113.0583/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/119.2,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),119.6
"MCD, Long, 2026-03-10 (Price: 327.94)",No Exit Yet,"-0.45%, 3 days","93.75%, Past 5 years, 16","Daily, was CONFIRMED on 2026-03-10",Already confirmed,"2026-03-13 (Price: 326.46), 0.45% below",3 days,Upmove Bounce Back,38.2% (Price: 325.1636),0.4% above,"2026-01-06 (Price: 298.33), 2026-03-02 (Price: 341.75)",11.34%/1.63%/6.81%,"2.66%, 18.2%",1.8 year/4.1 months/10 months,2028-10-03/2026-09-02/2027-05-18,9.72%,5.91%,3.81%,0.88,0.33,334.8267/350.2727/353.99/No Horizontal Resistance/370.0426/590.3302/No EMA 200 Target,327.45/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/308.35,93.84%/292/5.5 months (Across ALL Assets),50.0%/52/5.1 months (Across ALL Assets),328.34
