"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"AMD, Long, 2026-03-22 (Price: 201.33)",No Exit Yet,"0.33%, 5 days","83.33%, Past 20 years, 12","Weekly, was CONFIRMED on 2026-03-22",Already confirmed,"2026-03-27 (Price: 201.99), 0.33% above",5 days,Upmove Bounce Back,38.2% (Price: 185.9012),8.65% above,"2022-10-16 (Price: 54.57), 2025-11-02 (Price: 267.08)",30.66%/15.55%/20.18%,"17.29%, 60.71%",1.8 year/7 days/9.5 months,2028-10-15/2026-04-01/2027-05-08,11.53%,7.36%,4.17%,1.23,0.44,263.8832/241.9584/328.84/267.02/273.8526/307.9609/No EMA 200 Target,192.43/72.05/187.3421/170.075/No F-Track Level/No F-Track Level/195.16,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),194.845
"BDGI.TO, Long, 2026-03-22 (Price: 60.74)",No Exit Yet,"2.58%, 5 days","88.24%, Past 20 years, 17","Weekly, was CONFIRMED on 2026-03-22",Already confirmed,"2026-03-27 (Price: 62.31), 2.58% above",5 days,Upmove Bounce Back,38.2% (Price: 59.6385),4.48% above,"2022-03-20 (Price: 22.54), 2026-01-25 (Price: 82.57)",21.77%/15.35%/17.68%,"9.21%, 50.73%",4.6 years/21 days/11.9 months,2032-10-13/2026-04-21/2027-08-21,12.68%,9.34%,3.34%,1.94,0.47,69.5655/71.4788/96.76/No Horizontal Resistance/79.9248/84.3122/64.62,35.59/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),62.15
"^VIX, Long, 2026-03-20 (Price: 26.78)",2026-03-27 (Price: 31.05),"15.94%, 7 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-20",Already confirmed,"2026-03-27 (Price: 31.05), 15.94% above",7 days,Upmove Bounce Back,61.8% (Price: 21.7534),42.74% above,"2025-12-24 (Price: 13.38), 2026-03-09 (Price: 35.3)",77.41%/10.77%/23.38%,"21.12%, 55.28%",1.7 year/2 days/3.8 months,2028-08-22/2026-03-22/2026-09-01,56.13%,-4.23%,60.36%,0.74,0.78,No Target/33.0412/39.93/35.1/81.4382/87.3903/No EMA 200 Target,22.37/11.665/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/17.98,91.54%/272/5.5 months (Across ALL Assets),48.08%/52/5.4 months (Across ALL Assets),24.46
"NFLX, Long, 2026-03-15 (Price: 95.31)",No Exit Yet,"-1.97%, 12 days","100.0%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-27 (Price: 93.43), 1.97% below",12 days,Upmove Bounce Back,50% (Price: 75.193),24.25% above,"2022-05-15 (Price: 16.271), 2025-07-06 (Price: 134.115)",29.59%/15.11%/21.93%,"0%, 70.87%",2.7 years/21 days/8.2 months,2030-01-20/2026-04-14/2027-03-04,15.04%,21.83%,-6.79%,4.76,0.9,121.9873/116.2115/166.02/No Horizontal Resistance/139.352/152.4292/107.65,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),97.69
"MA, Long, 2026-03-15 (Price: 497.99)",No Exit Yet,"-2.76%, 12 days","88.89%, Past 19 years, 18","Weekly, was CONFIRMED on 2026-03-15",Already confirmed,"2026-03-27 (Price: 484.24), 2.76% below",12 days,Upmove Bounce Back,23.66% (Price: 500.0604),3.16% below,"2018-12-30 (Price: 171.89), 2025-08-24 (Price: 601.77)",20.8%/7.86%/16.28%,"10.74%, 25.66%",1.6 year/1.4 month/6.4 months,2028-06-26/2026-05-14/2026-12-18,14.25%,18.73%,-4.48%,1.65,0.96,540.7175/579.0628/755.92/592.095/716.5814/751.3605/554.63,489.77/305.0867/442.8637/361.9068/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),516.27
"C6L.SI, Long, 2026-02-28 (Price: 7.18)",No Exit Yet,"-7.24%, 27 days","87.5%, Past 40 years, 8","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-27 (Price: 6.66), 7.24% below",27 days,Upmove Bounce Back,78.6% (Price: 6.2388),6.75% above,"2024-08-31 (Price: 5.86), 2025-07-31 (Price: 7.63)",36.54%/6.45%/24.21%,"1.62%, 16.22%",2.6 years/8.1 months/1.5 year,2029-11-14/2027-02-14/2028-04-20,7.09%,-1.77%,8.86%,0.77,-0.19,7.3925/8.9183/8.24/No Horizontal Resistance/15.377/16.6022/No EMA 200 Target,6.35/4.7975/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/6.66,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets),6.35
"IFT.NZ, Long, 2026-02-28 (Price: 11.22)",No Exit Yet,"4.37%, 27 days","85.71%, Past 31 years, 7","Monthly, was CONFIRMED on 2026-02-28",Already confirmed,"2026-03-27 (Price: 11.71), 4.37% above",27 days,Upmove Bounce Back,23.66% (Price: 10.5578),10.91% above,"2011-08-31 (Price: 1.5809), 2024-10-31 (Price: 13.34)",23.05%/20.33%/21.36%,"16.03%, 18.64%",1.6 year/5.1 months/1.1 year,2028-06-11/2026-10-07/2027-09-24,8.62%,8.22%,0.4%,0.91,0.49,12.9086/13.6166/18.28/12.825/18.927/29.733/11.52,10.38/7.3167/8.121/5.57/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets),11.05
"CVS, Long, 2025-12-21 (Price: 77.72)",2026-03-27 (Price: 70.08),"-9.83%, 3.2 months","90.91%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-12-21",Already confirmed,"2026-03-27 (Price: 70.08), 9.83% below",3.2 months,Upmove Bounce Back,23.66% (Price: 75.3098),6.94% below,"2024-12-29 (Price: 43.56), 2025-11-02 (Price: 85.15)",19.47%/0.13%/12.94%,"6.64%, 50.05%",6.2 years/2.1 months/2.3 years,2034-10-27/2026-03-22/2029-04-01,4.71%,3.7%,1.01%,0.98,0.17,78.6837/87.777/102.67/106.045/116.3721/144.3517/No EMA 200 Target,75.63/58.425/76.2419/70.3769/No F-Track Level/No F-Track Level/74.31,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),79.75
"C6L.SI, Long, 2025-10-12 (Price: 6.64)",2026-03-22 (Price: 6.6),"-0.6%, 5.4 months","78.57%, Past 20 years, 14","Weekly, was CONFIRMED on 2025-10-12",Already confirmed,"2026-03-27 (Price: 6.66), 0.3% above",5.5 months,Upmove Bounce Back,61.8% (Price: 6.5361),1.9% above,"2024-08-18 (Price: 5.86), 2025-08-03 (Price: 7.63)",17.87%/5.49%/15.22%,"4.19%, 51.25%",1.5 year/3.3 months/11.6 months,2027-12-03/2026-03-04/2027-02-28,6.62%,-0.87%,7.49%,0.78,-0.15,6.7516/7.6506/7.7/6.9575/15.377/16.6022/6.66,6.46/4.792/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),6.56
"ATD.TO, Long, 2025-09-14 (Price: 73.64)",2026-03-22 (Price: 76.17),"3.44%, 6.3 months","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2025-09-14",Already confirmed,"2026-03-27 (Price: 77.62), 5.4% above",6.5 months,Upmove Bounce Back,78.6% (Price: 69.1621),12.23% above,"2025-03-23 (Price: 65.95), 2025-07-20 (Price: 80.96)",25.17%/0.64%/13.71%,"2.07%, 59.16%",4.1 years/1.6 month/11.5 months,2031-07-21/2025-11-22/2027-01-26,8.92%,11.07%,-2.15%,1.12,0.6,81.6078/83.736/82.65/85.51/85.3936/96.14/74.04,67.64/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),76.14
"ACWX, Long, 2025-06-30 (Price: 60.94)",2026-02-28 (Price: 74.45),"22.17%, 8.1 months","100.0%, Past 17 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-27 (Price: 66.33), 8.84% above",9 months,Upmove Bounce Back,50% (Price: 48.385),37.09% above,"2022-10-31 (Price: 38.81), 2024-09-30 (Price: 57.96)",22.53%/20.09%/21.48%,"-0.0%, 23.35%",3.1 years/1.2 year/2 years,2029-12-02/2027-03-17/2028-05-07,8.75%,0.78%,7.97%,1.6,-0.09,No Target/74.0299/72.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/65.96,52.16/44.95/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets),59.72
"MAR, Long, 2025-06-30 (Price: 273.21)",2026-02-28 (Price: 341.73),"25.08%, 8.1 months","100.0%, Past 32 years, 7","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-03-27 (Price: 317.54), 16.23% above",9 months,Upmove Bounce Back,38.2% (Price: 207.8333),52.79% above,"2020-03-31 (Price: 46.56), 2025-02-28 (Price: 307.52)",31.27%/20.88%/23.76%,"-0.0%, 58.79%",2.8 years/6 months/1.3 year,2029-06-27/2026-03-17/2027-05-08,9.12%,7.6%,1.52%,2.24,0.38,329.8191/338.1247/429.79/No Horizontal Resistance/372.972/399.3723/291.59,136.01/129.12/235.5515/198.7812/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,92.11%/38/1.6 year (Across ALL Assets),62.26%/53/9.7 months (Across ALL Assets),262.12
"FPH.NZ, Long, 2025-05-11 (Price: 35.95)",2026-03-27 (Price: 37.2),"3.48%, 10.7 months","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2025-05-11",Already confirmed,"2026-03-27 (Price: 37.2), 3.48% above",10.7 months,Upmove Bounce Back,23.66% (Price: 32.958),12.87% above,"2018-12-16 (Price: 11.85), 2025-01-26 (Price: 39.5)",19.89%/15.29%/17.03%,"-0.0%, 42.34%",2.9 years/3.3 months/1.1 year,2029-07-01/2025-10-01/2026-12-05,9.13%,8.49%,0.64%,1.13,0.45,39.4731/42.0723/52.54/39.1917/40.9296/48.5677/37.56,32.55/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.23%/57/1.5 year (Across ALL Assets),54.19%/155/7.7 months (Across ALL Assets),35.3
