Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2024-05-10 - 2024-05-20,6 days,2024-05-29,198.11,2024-06-14,193.78,12 days,2.2%,Fall by 1.62%,29.9%,
Sell,2024-07-02 - 2024-07-03,1 days,2024-07-19,209.78,2024-07-30,215.19,7 days,-2.6%,Fall by 2.6%,27.3%,
Sell,2024-08-26 - 2024-08-30,4 days,2024-09-05,217.63,2024-09-09,216.81,2 days,0.4%,Fall by 5.7%,27.7%,
Sell,2024-10-18 - 2024-10-29,7 days,2024-11-05,221.49,2024-11-06,247.06,1 days,-11.5%,Fall by -4.01%,16.2%,
Sell,2025-02-06 - 2025-02-07,1 days,2025-02-21,264.24,2025-02-26,258.79,3 days,2.1%,Fall by 13.28%,18.2%,
Buy,2025-03-13 - 2025-04-07,17 days,2025-04-10,227.11,2025-05-15,267.49,25 days,17.8%,Rise by 17.81%,36.0%,
Sell,2025-05-02 - 2025-05-05,1 days,2025-05-19,264.88,2025-05-28,263.49,7 days,0.5%,Fall by -8.33%,36.5%,
Sell,2025-06-25 - 2025-06-30,3 days,2025-07-08,282.78,2025-07-17,289.9,7 days,-2.5%,Fall by -1.47%,34.0%,
Sell,2025-07-25 - 2025-07-29,2 days,2025-08-14,294.16,2025-08-15,290.49,1 days,1.2%,Fall by -5.77%,35.3%,
Sell,2025-09-19 - 2025-09-24,3 days,2025-10-02,307.55,2025-10-15,305.69,9 days,0.6%,Fall by -1.16%,35.9%,
Buy,2025-10-10 - 2025-10-14,2 days,2025-10-31,311.12,2025-10-31,311.12,0 days,0.0%,Rise by 0.0%,35.9%,
