Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2021-01-31,88.69,2021-07-18,75.59,2021-01-17,Buy,24 Weeks,-14.77%,Rise by -13.14%,597.83%,Normal Case,
2021-06-06,75.43,2021-09-26,73.98,2021-05-30,Buy,16 Weeks,-1.92%,Rise by -15.66%,595.91%,Normal Case,
2021-07-25,72.29,2021-09-26,73.98,2021-07-11,Buy,9 Weeks,2.34%,Rise by 11.55%,598.24%,Normal Case,
2021-08-22,63.62,2021-11-07,77.57,2021-08-01,Buy,11 Weeks,21.93%,Rise by 43.9%,620.17%,Normal Case,
2021-09-12,80.64,2021-12-12,79.71,2021-09-05,Buy,13 Weeks,-1.15%,Rise by 13.53%,619.02%,Normal Case,
2021-11-28,88.67,2022-02-06,73.77,2021-11-21,Buy,10 Weeks,-16.8%,Rise by -16.86%,602.21%,Normal Case,
2022-01-16,73.72,2022-07-17,60.26,2022-01-09,Buy,26 Weeks,-18.26%,Rise by -13.74%,583.96%,Normal Case,
2022-01-23,73.46,2022-07-17,60.26,2022-01-16,Buy,25 Weeks,-17.97%,Rise by -34.67%,565.99%,Normal Case,
2022-02-13,73.98,2022-07-17,60.26,2022-02-06,Buy,22 Weeks,-18.55%,Rise by -20.13%,547.44%,Normal Case,
2022-05-01,61.66,2022-07-17,60.26,2022-04-24,Buy,11 Weeks,-2.27%,Rise by 6.96%,545.17%,Normal Case,
2022-05-08,55.61,2022-07-17,60.26,2022-05-01,Buy,10 Weeks,8.36%,Rise by 18.59%,553.53%,Normal Case,
2022-05-22,52.17,2022-09-11,60.41,2022-05-15,Buy,16 Weeks,15.79%,Rise by 21.64%,569.33%,Normal Case,
2022-05-29,53.68,2022-09-11,60.41,2022-03-20,Buy,15 Weeks,12.54%,Rise by 18.22%,581.86%,Local Extrema Case,
2022-06-12,61.51,2022-09-11,60.41,2022-06-05,Buy,13 Weeks,-1.79%,Rise by -11.07%,580.08%,Normal Case,
2022-06-26,64.01,2022-09-11,60.41,2022-06-12,Buy,11 Weeks,-5.62%,Rise by -10.87%,574.45%,Normal Case,
2022-09-04,61.29,2022-12-25,56.44,2022-08-28,Buy,16 Weeks,-7.91%,Rise by -31.23%,566.54%,Normal Case,
2022-11-06,44.38,2023-01-22,60.43,2022-10-30,Buy,11 Weeks,36.16%,Rise by 44.89%,602.7%,Normal Case,
2022-12-11,58.32,2023-07-02,34.13,2022-12-04,Buy,29 Weeks,-41.48%,Rise by -10.34%,561.23%,Normal Case,
2023-01-08,64.3,2023-07-02,34.13,2022-12-18,Buy,25 Weeks,-46.92%,Rise by -30.33%,514.31%,Normal Case,
2023-05-07,35.88,2023-08-20,33.11,2023-04-30,Buy,15 Weeks,-7.72%,Rise by 12.96%,506.59%,Normal Case,
2023-08-06,39.09,2024-03-31,27.39,2023-07-30,Buy,34 Weeks,-29.93%,Rise by -22.21%,476.65%,Normal Case,
2023-08-13,36.46,2024-03-31,27.39,2023-07-23,Buy,33 Weeks,-24.88%,Rise by -20.1%,451.78%,Normal Case,
2023-10-08,29.61,2024-03-31,27.39,2023-10-01,Buy,25 Weeks,-7.5%,Rise by -10.67%,444.28%,Normal Case,
2023-11-05,26.94,2024-03-31,27.39,2023-10-22,Buy,21 Weeks,1.67%,Rise by 7.24%,445.95%,Normal Case,
2024-01-07,26.68,2024-03-31,27.39,2023-12-24,Buy,12 Weeks,2.66%,Rise by -10.42%,448.61%,Normal Case,
2024-04-28,30.34,2024-09-08,26.07,2024-04-14,Buy,19 Weeks,-14.07%,Rise by -14.83%,434.54%,Normal Case,
2024-07-28,26.56,2024-10-27,39.9,2024-07-07,Buy,13 Weeks,50.23%,Rise by 76.84%,484.76%,Normal Case,
2024-09-08,26.07,2024-12-29,34.98,2024-09-01,Buy,16 Weeks,34.18%,Rise by 65.55%,518.94%,Normal Case,
2024-10-06,46.97,2024-12-29,34.98,2024-09-29,Buy,12 Weeks,-25.53%,Rise by -26.17%,493.41%,Normal Case,
2024-10-27,39.9,2024-12-29,34.98,2024-10-20,Buy,9 Weeks,-12.33%,Rise by -10.68%,481.08%,Normal Case,
2024-11-03,40.44,2025-02-16,41.38,2024-10-27,Buy,15 Weeks,2.32%,Rise by -11.87%,483.41%,Normal Case,
2024-12-15,37.29,2025-02-16,41.38,2024-12-08,Buy,9 Weeks,10.97%,Rise by 15.74%,494.38%,Normal Case,
2024-12-22,35.64,2025-03-23,42.24,2024-12-01,Buy,13 Weeks,18.52%,Rise by 21.1%,512.89%,Normal Case,
2025-01-19,39.0,2025-03-23,42.24,2025-01-12,Buy,9 Weeks,8.31%,Rise by 10.67%,521.2%,Normal Case,
2025-02-02,40.72,2025-08-03,30.91,2025-01-26,Buy,26 Weeks,-24.09%,Rise by -10.56%,497.11%,Normal Case,
2025-03-02,41.9,2025-08-03,30.91,2025-02-23,Buy,22 Weeks,-26.23%,Rise by -17.14%,470.88%,Normal Case,
2025-03-09,42.29,2025-08-03,30.91,2024-11-17,Buy,21 Weeks,-26.91%,Rise by -23.08%,443.97%,Local Extrema Case,
2025-03-09,42.29,2025-08-03,30.91,2025-03-02,Buy,21 Weeks,-26.91%,Rise by -23.08%,417.06%,Normal Case,
2025-03-23,42.24,2025-08-03,30.91,2025-03-09,Buy,19 Weeks,-26.82%,Rise by -19.84%,390.24%,Normal Case,
2025-09-07,31.45,2025-09-07,31.45,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,390.24%,Normal Case,
2025-10-19,33.07,2025-10-19,33.07,2016-05-22,Buy,0 Weeks,0.0%,Rise by 0%,390.24%,Tangent Case,
