Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2023-08-27,58.75,2024-02-11,58.09,2023-08-13,Buy,24 Weeks,-1.12%,Rise by -0.58%,415.12%,Normal Case,
2023-09-24,59.82,2024-02-11,58.09,2023-09-10,Buy,20 Weeks,-2.89%,Rise by -2.36%,412.23%,Normal Case,
2023-10-22,59.63,2024-02-11,58.09,2023-10-15,Buy,16 Weeks,-2.58%,Rise by -2.05%,409.64%,Normal Case,
2023-10-29,59.53,2024-02-11,58.09,2023-08-20,Buy,15 Weeks,-2.42%,Rise by -1.88%,407.22%,Local Extrema Case,
2024-01-07,56.7,2024-04-28,63.15,2023-12-31,Buy,16 Weeks,11.38%,Rise by 13.07%,418.6%,Normal Case,
2024-04-07,62.72,2024-07-21,61.21,2024-03-31,Buy,15 Weeks,-2.41%,Rise by 1.26%,416.19%,Normal Case,
2024-04-14,63.13,2024-07-21,61.21,2024-04-07,Buy,14 Weeks,-3.04%,Rise by 0.6%,413.15%,Normal Case,
2024-04-21,64.11,2024-07-21,61.21,2024-04-14,Buy,13 Weeks,-4.52%,Rise by -0.94%,408.63%,Normal Case,
2024-06-02,62.1,2024-10-27,62.85,2024-05-26,Buy,21 Weeks,1.21%,Rise by 3.37%,409.84%,Normal Case,
2024-07-07,63.51,2024-10-27,62.85,2024-06-30,Buy,16 Weeks,-1.04%,Rise by 1.07%,408.8%,Normal Case,
2024-10-06,64.0,2025-02-02,69.03,2024-09-29,Buy,17 Weeks,7.86%,Rise by 11.02%,416.66%,Normal Case,
2024-10-27,62.85,2025-02-02,69.03,2024-10-20,Buy,14 Weeks,9.83%,Rise by 13.05%,426.49%,Normal Case,
2024-11-10,63.31,2025-02-02,69.03,2024-11-03,Buy,12 Weeks,9.03%,Rise by 12.23%,435.52%,Normal Case,
2024-12-15,66.56,2025-03-09,69.69,2024-12-08,Buy,12 Weeks,4.7%,Rise by 6.75%,440.23%,Normal Case,
2025-01-05,66.48,2025-03-09,69.69,2024-12-29,Buy,9 Weeks,4.83%,Rise by 6.87%,445.05%,Normal Case,
2025-01-12,68.64,2025-04-20,69.31,2025-01-05,Buy,14 Weeks,0.98%,Rise by 4.3%,446.03%,Normal Case,
2025-01-19,69.17,2025-04-20,69.31,2025-01-12,Buy,13 Weeks,0.2%,Rise by 3.5%,446.23%,Normal Case,
2025-02-02,69.03,2025-04-20,69.31,2016-04-03,Buy,11 Weeks,0.41%,Rise by 3.71%,446.64%,Tangent Case,
2025-02-09,69.31,2025-04-20,69.31,2025-02-02,Buy,10 Weeks,0.0%,Rise by 3.29%,446.64%,Normal Case,
2025-02-16,70.96,2025-04-20,69.31,2025-01-26,Buy,9 Weeks,-2.33%,Rise by 6.75%,444.31%,Normal Case,
2025-03-16,69.93,2025-07-06,73.64,2025-03-09,Buy,16 Weeks,5.31%,Rise by 8.32%,449.62%,Normal Case,
2025-03-30,71.59,2025-07-06,73.64,2025-03-23,Buy,14 Weeks,2.86%,Rise by 5.81%,452.48%,Normal Case,
2025-04-27,71.23,2025-07-06,73.64,2025-04-20,Buy,10 Weeks,3.38%,Rise by 6.35%,455.87%,Normal Case,
2025-05-25,71.5,2025-10-05,77.33,2025-05-18,Buy,19 Weeks,8.15%,Rise by 10.11%,464.02%,Normal Case,
2025-06-22,75.75,2025-10-05,77.33,2025-06-15,Buy,15 Weeks,2.09%,Rise by 3.93%,466.11%,Normal Case,
2025-09-07,76.13,2025-09-07,76.13,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,466.11%,Normal Case,
