Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2021-10-10,100.44,2021-12-12,96.5,2021-10-03,Buy,9 Weeks,-3.92%,Rise by 2.54%,267.43%,Normal Case,
2022-01-09,99.75,2022-06-12,92.72,2022-01-02,Buy,22 Weeks,-7.05%,Rise by -10.06%,260.38%,Normal Case,
2022-01-16,101.31,2022-06-12,92.72,2022-01-09,Buy,21 Weeks,-8.48%,Rise by -11.44%,251.9%,Normal Case,
2022-02-06,102.99,2022-06-12,92.72,2022-01-16,Buy,18 Weeks,-9.97%,Rise by -12.88%,241.93%,Normal Case,
2022-02-13,102.9,2022-06-12,92.72,2022-02-06,Buy,17 Weeks,-9.89%,Rise by -12.81%,232.04%,Normal Case,
2022-03-06,99.04,2022-06-12,92.72,2021-12-26,Buy,14 Weeks,-6.38%,Rise by -1.75%,225.66%,Local Extrema Case,
2022-04-17,94.18,2022-09-04,87.32,2022-04-10,Buy,20 Weeks,-7.28%,Rise by 3.32%,218.37%,Normal Case,
2022-04-24,93.28,2022-09-04,87.32,2022-04-17,Buy,19 Weeks,-6.39%,Rise by -10.38%,211.98%,Normal Case,
2022-05-22,92.04,2022-09-04,87.32,2022-05-15,Buy,15 Weeks,-5.13%,Rise by 2.4%,206.86%,Normal Case,
2022-05-29,97.1,2022-09-04,87.32,2022-05-08,Buy,14 Weeks,-10.07%,Rise by -13.65%,196.78%,Normal Case,
2022-06-05,97.31,2022-09-04,87.32,2022-03-13,Buy,13 Weeks,-10.27%,Rise by -3.14%,186.52%,Local Extrema Case,
2022-07-17,83.85,2022-12-11,94.96,2022-07-03,Buy,21 Weeks,13.25%,Rise by 18.22%,199.77%,Normal Case,
2022-08-28,89.76,2022-12-11,94.96,2022-08-07,Buy,15 Weeks,5.79%,Rise by 10.44%,205.56%,Normal Case,
2022-09-11,91.58,2022-12-11,94.96,2022-09-04,Buy,13 Weeks,3.69%,Rise by 8.24%,209.25%,Normal Case,
2022-09-18,90.94,2022-12-11,94.96,2022-09-11,Buy,12 Weeks,4.42%,Rise by 9.01%,213.67%,Normal Case,
2022-10-02,86.58,2022-12-11,94.96,2022-09-25,Buy,10 Weeks,9.68%,Rise by 14.5%,223.35%,Normal Case,
2022-11-06,93.81,2023-02-26,99.08,2022-10-30,Buy,16 Weeks,5.62%,Rise by 9.52%,228.97%,Normal Case,
2023-02-19,101.5,2023-06-04,98.65,2023-02-12,Buy,15 Weeks,-2.81%,Rise by 1.2%,226.16%,Normal Case,
2023-03-05,102.74,2023-06-04,98.65,2023-02-26,Buy,13 Weeks,-3.98%,Rise by -0.02%,222.18%,Normal Case,
2023-03-12,100.43,2023-06-04,98.65,2023-03-05,Buy,12 Weeks,-1.77%,Rise by 2.28%,220.41%,Normal Case,
2023-04-30,101.03,2023-09-03,94.88,2023-04-23,Buy,18 Weeks,-6.09%,Rise by 2.52%,214.32%,Normal Case,
2023-05-07,101.56,2023-09-03,94.88,2023-04-30,Buy,17 Weeks,-6.58%,Rise by 1.99%,207.74%,Normal Case,
2023-07-02,98.7,2023-09-03,94.88,2023-06-25,Buy,9 Weeks,-3.87%,Rise by -10.14%,203.87%,Normal Case,
2023-08-06,101.63,2024-01-07,100.67,2023-07-23,Buy,22 Weeks,-0.94%,Rise by -11.22%,202.93%,Normal Case,
2023-08-13,103.58,2024-01-07,100.67,2023-08-06,Buy,21 Weeks,-2.81%,Rise by -12.89%,200.12%,Normal Case,
2023-09-24,91.73,2024-01-07,100.67,2023-09-10,Buy,15 Weeks,9.75%,Rise by 24.93%,209.86%,Normal Case,
2023-11-05,88.66,2024-01-07,100.67,2023-10-22,Buy,9 Weeks,13.55%,Rise by 29.26%,223.41%,Normal Case,
2024-01-07,100.67,2024-04-14,110.96,2023-12-24,Buy,14 Weeks,10.22%,Rise by 13.84%,233.63%,Normal Case,
2024-03-10,108.82,2024-05-26,114.71,2024-03-03,Buy,11 Weeks,5.41%,Rise by 8.2%,239.04%,Normal Case,
2024-04-14,110.96,2024-06-23,106.39,2024-03-24,Buy,10 Weeks,-4.12%,Rise by 6.11%,234.93%,Normal Case,
2024-06-09,117.74,2024-12-22,131.91,2024-05-26,Buy,28 Weeks,12.03%,Rise by 17.81%,246.96%,Normal Case,
2024-07-07,109.85,2024-12-22,131.91,2024-06-30,Buy,24 Weeks,20.08%,Rise by 26.27%,267.04%,Normal Case,
2024-07-21,112.5,2024-12-22,131.91,2024-07-14,Buy,22 Weeks,17.25%,Rise by 23.3%,284.3%,Normal Case,
2024-07-28,113.99,2024-12-22,131.91,2024-07-21,Buy,21 Weeks,15.72%,Rise by 21.69%,300.02%,Normal Case,
2024-08-11,113.97,2024-12-22,131.91,2024-04-21,Buy,19 Weeks,15.74%,Rise by 21.71%,315.76%,Local Extrema Case,
2024-08-18,117.38,2024-12-22,131.91,2024-07-28,Buy,18 Weeks,12.38%,Rise by 18.17%,328.14%,Normal Case,
2024-09-08,123.47,2024-12-22,131.91,2024-09-01,Buy,15 Weeks,6.84%,Rise by 12.34%,334.97%,Normal Case,
2024-10-06,128.15,2024-12-22,131.91,2024-09-29,Buy,11 Weeks,2.93%,Rise by 8.24%,337.91%,Normal Case,
2024-11-03,132.14,2025-06-15,135.42,2024-10-27,Buy,32 Weeks,2.48%,Rise by -11.14%,340.39%,Normal Case,
2024-11-24,137.81,2025-06-15,135.42,2016-02-28,Buy,29 Weeks,-1.73%,Rise by -12.63%,338.65%,Tangent Case,
2024-12-15,133.91,2025-06-15,135.42,2024-12-08,Buy,26 Weeks,1.13%,Rise by -10.08%,339.78%,Normal Case,
2025-01-12,132.49,2025-06-15,135.42,2025-01-05,Buy,22 Weeks,2.21%,Rise by -11.37%,341.99%,Normal Case,
2025-02-02,128.99,2025-06-15,135.42,2025-01-26,Buy,19 Weeks,4.98%,Rise by -12.43%,346.98%,Normal Case,
2025-03-09,117.42,2025-06-15,135.42,2024-08-11,Buy,14 Weeks,15.33%,Rise by 29.45%,362.31%,Local Extrema Case,
2025-03-16,116.96,2025-06-15,135.42,2025-03-09,Buy,13 Weeks,15.78%,Rise by 29.96%,378.09%,Normal Case,
2025-03-30,119.22,2025-06-15,135.42,2025-03-23,Buy,11 Weeks,13.59%,Rise by 27.5%,391.68%,Normal Case,
2025-04-27,118.73,2025-09-07,145.91,2025-04-20,Buy,19 Weeks,22.89%,Rise by 28.02%,414.57%,Normal Case,
2025-05-11,124.98,2025-09-07,145.91,2025-02-09,Buy,17 Weeks,16.75%,Rise by 21.62%,431.32%,Local Extrema Case,
2025-05-25,129.13,2025-09-07,145.91,2025-05-18,Buy,15 Weeks,12.99%,Rise by 17.71%,444.31%,Normal Case,
2025-06-22,135.4,2025-09-07,145.91,2025-06-15,Buy,11 Weeks,7.76%,Rise by 12.26%,452.07%,Normal Case,
2025-08-03,143.4,2025-10-05,151.19,2025-07-27,Buy,9 Weeks,5.43%,Rise by 6.0%,457.51%,Normal Case,
2025-08-24,151.55,2025-08-24,151.55,2025-08-17,Buy,0 Weeks,0.0%,Rise by 0%,457.51%,Normal Case,
2025-08-31,144.36,2025-08-31,144.36,2016-03-13,Buy,0 Weeks,0.0%,Rise by 0%,457.51%,Tangent Case,
2025-09-07,145.91,2025-09-07,145.91,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,457.51%,Normal Case,
2025-10-12,149.77,2025-10-12,149.77,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,457.51%,Normal Case,
