Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2017-08-27,46.81,2017-12-10,53.27,2017-08-20,Buy,15 Weeks,13.8%,Rise by 16.11%,178.76%,Normal Case,
2017-10-01,48.88,2017-12-10,53.27,2017-09-24,Buy,10 Weeks,8.98%,Rise by 11.19%,187.74%,Normal Case,
2017-10-29,50.38,2018-01-21,53.71,2017-10-22,Buy,12 Weeks,6.61%,Rise by 11.35%,194.35%,Normal Case,
2017-12-31,56.1,2018-08-05,55.75,2017-12-24,Buy,31 Weeks,-0.62%,Rise by -10.16%,193.73%,Normal Case,
2018-02-25,52.83,2018-08-05,55.75,2018-02-04,Buy,23 Weeks,5.53%,Rise by -10.73%,199.26%,Normal Case,
2018-03-25,50.78,2018-08-05,55.75,2018-03-04,Buy,19 Weeks,9.79%,Rise by 44.13%,209.04%,Normal Case,
2018-06-03,48.48,2018-08-05,55.75,2018-05-20,Buy,9 Weeks,15.0%,Rise by 50.97%,224.04%,Normal Case,
2018-06-24,49.86,2018-10-07,60.78,2018-06-17,Buy,15 Weeks,21.9%,Rise by 46.79%,245.94%,Normal Case,
2018-08-19,60.0,2018-11-04,69.63,2018-08-12,Buy,11 Weeks,16.05%,Rise by 21.98%,261.99%,Normal Case,
2018-09-09,63.0,2018-11-25,65.45,2018-09-02,Buy,11 Weeks,3.89%,Rise by 16.17%,265.88%,Normal Case,
2018-09-30,64.25,2019-02-10,69.0,2015-12-20,Buy,19 Weeks,7.39%,Rise by 9.9%,273.27%,Tangent Case,
2018-10-14,67.94,2019-02-10,69.0,2018-10-07,Buy,17 Weeks,1.56%,Rise by -10.01%,274.83%,Normal Case,
2018-10-28,66.94,2019-02-10,69.0,2018-05-06,Buy,15 Weeks,3.08%,Rise by 5.48%,277.91%,Local Extrema Case,
2018-10-28,66.94,2019-02-10,69.0,2018-10-14,Buy,15 Weeks,3.08%,Rise by 5.48%,280.99%,Normal Case,
2018-11-04,69.63,2019-02-10,69.0,2018-10-28,Buy,14 Weeks,-0.9%,Rise by -11.81%,280.08%,Normal Case,
2018-11-11,73.19,2019-02-10,69.0,2018-10-21,Buy,13 Weeks,-5.72%,Rise by -15.66%,274.36%,Normal Case,
2018-12-30,61.73,2019-08-04,64.42,2018-12-23,Buy,31 Weeks,4.36%,Rise by -12.72%,278.72%,Normal Case,
2019-03-31,58.81,2019-08-04,64.42,2019-03-24,Buy,18 Weeks,9.54%,Rise by 11.22%,288.25%,Normal Case,
2019-05-12,56.09,2019-08-04,64.42,2019-04-21,Buy,12 Weeks,14.85%,Rise by 15.23%,303.11%,Normal Case,
2019-05-19,57.2,2019-08-04,64.42,2019-05-12,Buy,11 Weeks,12.62%,Rise by 12.99%,315.73%,Normal Case,
2019-06-02,60.21,2019-08-04,64.42,2019-05-26,Buy,9 Weeks,6.99%,Rise by 7.34%,322.72%,Normal Case,
2019-06-09,61.37,2019-10-13,57.75,2019-06-02,Buy,18 Weeks,-5.9%,Rise by 5.31%,316.82%,Normal Case,
2019-08-04,64.42,2019-10-13,57.75,2019-07-28,Buy,10 Weeks,-10.35%,Rise by 0.33%,306.47%,Normal Case,
2019-12-08,56.91,2020-02-09,60.51,2019-12-01,Buy,9 Weeks,6.33%,Rise by 6.33%,312.79%,Normal Case,
2020-01-05,56.37,2020-06-28,22.94,2019-12-29,Buy,25 Weeks,-59.3%,Rise by -11.71%,253.49%,Normal Case,
2020-02-02,57.79,2020-06-28,22.94,2020-01-19,Buy,21 Weeks,-60.3%,Rise by -67.92%,193.18%,Normal Case,
2020-03-29,20.98,2020-06-28,22.94,2020-03-22,Buy,13 Weeks,9.34%,Rise by -12.82%,202.53%,Normal Case,
2020-06-14,28.85,2020-09-20,35.92,2020-06-07,Buy,14 Weeks,24.51%,Rise by 32.93%,227.03%,Normal Case,
2020-07-05,25.64,2020-09-20,35.92,2020-06-28,Buy,11 Weeks,40.09%,Rise by 49.57%,267.13%,Normal Case,
2020-09-06,38.35,2021-01-17,50.51,2020-08-30,Buy,19 Weeks,31.71%,Rise by 51.11%,298.83%,Normal Case,
2020-09-13,37.81,2021-01-17,50.51,2020-09-06,Buy,18 Weeks,33.59%,Rise by 53.27%,332.42%,Normal Case,
2020-11-01,37.94,2021-01-17,50.51,2020-10-11,Buy,11 Weeks,33.13%,Rise by 52.74%,365.55%,Normal Case,
2020-12-27,55.99,2021-04-04,57.91,2020-12-20,Buy,14 Weeks,3.43%,Rise by -13.63%,368.98%,Normal Case,
2021-01-31,51.22,2021-04-04,57.91,2021-01-24,Buy,9 Weeks,13.06%,Rise by 13.06%,382.04%,Normal Case,
2021-02-28,50.7,2021-06-20,54.27,2021-02-21,Buy,16 Weeks,7.04%,Rise by 23.35%,389.09%,Normal Case,
2021-03-07,52.74,2021-06-20,54.27,2021-02-28,Buy,15 Weeks,2.9%,Rise by 18.58%,391.99%,Normal Case,
2021-05-16,57.91,2021-08-01,67.98,2021-05-09,Buy,11 Weeks,17.39%,Rise by 20.76%,409.38%,Normal Case,
2021-06-06,62.54,2021-08-29,69.82,2021-05-30,Buy,12 Weeks,11.64%,Rise by 11.82%,421.02%,Normal Case,
2021-07-25,67.92,2021-10-24,62.9,2021-07-18,Buy,13 Weeks,-7.39%,Rise by -10.92%,413.63%,Normal Case,
2021-10-03,66.26,2022-01-23,54.06,2021-09-26,Buy,16 Weeks,-18.41%,Rise by -13.15%,395.21%,Normal Case,
2021-10-10,65.23,2022-01-23,54.06,2021-10-03,Buy,15 Weeks,-17.12%,Rise by -11.77%,378.09%,Normal Case,
2022-01-23,54.06,2022-04-24,54.74,2022-01-16,Buy,13 Weeks,1.26%,Rise by 9.05%,379.35%,Normal Case,
2022-02-13,54.99,2022-04-24,54.74,2021-12-05,Buy,10 Weeks,-0.45%,Rise by 7.2%,378.89%,Local Extrema Case,
2022-03-13,51.73,2022-08-28,59.66,2022-03-06,Buy,24 Weeks,15.33%,Rise by 19.93%,394.22%,Normal Case,
2022-04-17,53.41,2022-08-28,59.66,2022-03-27,Buy,19 Weeks,11.7%,Rise by -11.66%,405.92%,Normal Case,
2022-05-08,52.37,2022-08-28,59.66,2022-02-27,Buy,16 Weeks,13.92%,Rise by 18.46%,419.84%,Local Extrema Case,
2022-05-22,50.66,2022-08-28,59.66,2022-05-15,Buy,14 Weeks,17.77%,Rise by 22.46%,437.61%,Normal Case,
2022-07-17,54.0,2022-11-27,59.47,2022-07-10,Buy,19 Weeks,10.13%,Rise by 13.11%,447.74%,Normal Case,
2022-08-28,59.66,2022-11-27,59.47,2022-08-14,Buy,13 Weeks,-0.32%,Rise by 2.38%,447.42%,Normal Case,
2022-09-11,60.0,2022-11-27,59.47,2022-09-04,Buy,11 Weeks,-0.88%,Rise by 1.8%,446.54%,Normal Case,
2022-09-18,60.28,2022-11-27,59.47,2022-09-11,Buy,10 Weeks,-1.34%,Rise by 1.33%,445.19%,Normal Case,
2022-09-25,56.11,2022-11-27,59.47,2022-06-19,Buy,9 Weeks,5.99%,Rise by 8.86%,451.18%,Local Extrema Case,
2022-11-06,57.34,2023-03-05,66.95,2022-10-30,Buy,17 Weeks,16.76%,Rise by 23.65%,467.94%,Normal Case,
2022-12-18,59.21,2023-03-05,66.95,2022-12-11,Buy,11 Weeks,13.07%,Rise by 19.74%,481.01%,Normal Case,
2023-02-26,64.43,2023-08-13,65.27,2023-02-19,Buy,24 Weeks,1.3%,Rise by -5.54%,482.32%,Normal Case,
2023-03-05,66.95,2023-08-13,65.27,2023-02-26,Buy,23 Weeks,-2.51%,Rise by -10.17%,479.81%,Normal Case,
2023-05-07,59.45,2023-08-13,65.27,2023-04-30,Buy,14 Weeks,9.79%,Rise by 12.95%,489.6%,Normal Case,
2023-08-06,64.62,2024-01-14,54.57,2023-07-23,Buy,23 Weeks,-15.55%,Rise by -10.21%,474.05%,Normal Case,
2023-08-13,65.27,2024-01-14,54.57,2023-08-06,Buy,22 Weeks,-16.39%,Rise by -11.11%,457.65%,Normal Case,
2023-09-03,66.72,2024-01-14,54.57,2023-08-13,Buy,19 Weeks,-18.21%,Rise by -22.47%,439.44%,Normal Case,
2023-10-29,51.59,2024-01-14,54.57,2023-10-22,Buy,11 Weeks,5.78%,Rise by 13.9%,445.22%,Normal Case,
2024-01-07,55.21,2024-08-04,43.44,2023-12-24,Buy,30 Weeks,-21.32%,Rise by -10.49%,423.9%,Normal Case,
2024-03-10,51.99,2024-08-04,43.44,2024-03-03,Buy,21 Weeks,-16.45%,Rise by -11.98%,407.45%,Normal Case,
2024-04-21,46.4,2024-08-04,43.44,2024-04-14,Buy,15 Weeks,-6.38%,Rise by 1.62%,401.07%,Normal Case,
2024-06-02,44.0,2024-08-04,43.44,2024-05-26,Buy,9 Weeks,-1.27%,Rise by 7.07%,399.8%,Normal Case,
2024-07-07,43.52,2024-11-03,45.42,2024-06-30,Buy,17 Weeks,4.37%,Rise by 8.25%,404.17%,Normal Case,
2024-07-21,46.49,2024-11-03,45.42,2024-07-14,Buy,15 Weeks,-2.3%,Rise by -10.58%,401.87%,Normal Case,
2024-10-06,47.11,2024-12-29,46.44,2024-09-29,Buy,12 Weeks,-1.42%,Rise by 1.36%,400.44%,Normal Case,
2024-10-27,45.68,2024-12-29,46.44,2024-10-20,Buy,9 Weeks,1.66%,Rise by 12.54%,402.11%,Normal Case,
2024-11-10,47.22,2025-02-16,44.11,2024-11-03,Buy,14 Weeks,-6.59%,Rise by 8.87%,395.52%,Normal Case,
2025-01-05,46.18,2025-06-01,42.82,2024-12-29,Buy,21 Weeks,-7.28%,Rise by -11.33%,388.25%,Normal Case,
2025-02-02,50.47,2025-06-01,42.82,2025-01-26,Buy,17 Weeks,-15.16%,Rise by -17.06%,373.09%,Normal Case,
2025-03-09,44.7,2025-06-01,42.82,2025-03-02,Buy,12 Weeks,-4.21%,Rise by -0.09%,368.88%,Normal Case,
2025-04-27,42.17,2025-07-27,39.62,2025-04-20,Buy,13 Weeks,-6.05%,Rise by -10.81%,362.84%,Normal Case,
2025-05-18,44.66,2025-07-27,39.62,2025-01-19,Buy,10 Weeks,-11.29%,Rise by -10.82%,351.55%,Local Extrema Case,
2025-06-22,40.68,2025-06-22,40.68,2025-06-15,Buy,0 Weeks,0.0%,Rise by 0%,351.55%,Normal Case,
2025-08-24,39.56,2025-08-24,39.56,2025-08-17,Buy,0 Weeks,0.0%,Rise by 0%,351.55%,Normal Case,
2025-10-19,34.56,2025-10-19,34.56,2016-04-10,Buy,0 Weeks,0.0%,Rise by 0%,351.55%,Tangent Case,
