Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2022-07-07 - 2022-07-08,1 days,2022-07-13,9.28,2022-07-18,9.03,3 days,2.7%,Fall by 13.04%,-33.2%,
Sell,2022-07-08 - 2022-07-21,9 days,2022-07-26,9.4,2022-07-27,10.02,1 days,-6.6%,Fall by 14.15%,-39.8%,
Buy,2022-08-23 - 2022-08-30,5 days,2022-09-02,7.4,2022-09-09,7.79,5 days,5.3%,Rise by 14.46%,-34.5%,
Sell,2022-09-19 - 2022-09-21,2 days,2022-10-10,8.06,2022-10-17,7.94,5 days,1.5%,Fall by 12.9%,-33.0%,
Sell,2022-10-14 - 2022-10-18,2 days,2022-10-28,8.64,2022-11-08,7.21,7 days,16.6%,Fall by 11.81%,-16.5%,
Sell,2022-10-26 - 2022-11-01,4 days,2022-11-04,7.93,2022-11-08,7.21,2 days,9.1%,Fall by 10.72%,-7.4%,
Buy,2022-12-20 - 2022-12-21,1 days,2023-01-09,6.5,2023-01-11,6.98,2 days,7.4%,Rise by 55.54%,0.0%,
Sell,2023-01-18 - 2023-01-24,4 days,2023-02-06,8.31,2023-02-08,8.22,2 days,1.1%,Fall by 11.55%,1.1%,
Sell,2023-02-02 - 2023-02-16,10 days,2023-02-22,8.36,2023-02-27,8.03,3 days,3.9%,Fall by 12.08%,5.0%,
Sell,2023-03-23 - 2023-04-05,9 days,2023-04-13,8.58,2023-04-14,8.81,1 days,-2.7%,Fall by 11.54%,2.4%,
Buy,2023-04-27 - 2023-05-04,5 days,2023-05-08,7.74,2023-05-09,9.55,1 days,23.4%,Rise by 114.47%,25.7%,
Sell,2023-05-31 - 2023-06-01,1 days,2023-06-21,14.64,2023-06-26,13.94,3 days,4.8%,Fall by 3.42%,30.5%,
Sell,2023-07-19 - 2023-08-01,9 days,2023-08-04,18.2,2023-08-10,15.41,4 days,15.3%,Fall by 19.4%,45.8%,
Buy,2023-08-11 - 2023-08-17,4 days,2023-08-21,14.5,2023-08-23,15.3,2 days,5.5%,Rise by 23.72%,51.4%,
Sell,2023-08-31 - 2023-09-12,8 days,2023-09-18,15.46,2023-09-22,14.13,4 days,8.6%,Fall by 4.98%,60.0%,
Sell,2023-10-10 - 2023-10-11,1 days,2023-10-16,17.36,2023-10-17,17.84,1 days,-2.8%,Fall by 14.06%,57.2%,
Buy,2023-10-31 - 2023-11-01,1 days,2023-11-13,19.71,2023-11-20,21.34,5 days,8.3%,Rise by -13.09%,65.5%,
Sell,2023-11-14 - 2023-11-15,1 days,2023-11-24,19.2,2023-11-28,19.71,2 days,-2.7%,Fall by 10.16%,62.8%,
Buy,2024-01-03 - 2024-01-05,2 days,2024-01-26,16.35,2024-02-06,21.87,7 days,33.8%,Rise by 55.41%,96.6%,
Sell,2024-02-08 - 2024-02-12,2 days,2024-02-21,22.74,2024-02-22,23.59,1 days,-3.7%,Fall by 9.98%,92.8%,
Sell,2024-06-06 - 2024-06-12,4 days,2024-06-24,24.16,2024-06-26,24.1,2 days,0.2%,Fall by 0.29%,93.1%,
Sell,2024-07-08 - 2024-07-15,5 days,2024-07-22,28.46,2024-07-26,27.18,4 days,4.5%,Fall by -5.97%,97.6%,
Sell,2024-08-21 - 2024-08-22,1 days,2024-08-27,30.84,2024-09-05,30.16,7 days,2.2%,Fall by -34.27%,99.8%,
Sell,2024-10-10 - 2024-10-14,2 days,2024-10-30,43.69,2024-11-01,41.92,2 days,4.1%,Fall by -48.73%,103.8%,
Sell,2024-11-13 - 2024-11-15,2 days,2024-12-11,72.51,2024-12-13,76.07,2 days,-4.9%,Fall by 10.38%,98.9%,
Sell,2025-02-18 - 2025-02-19,1 days,2025-02-25,87.84,2025-03-03,83.42,4 days,5.0%,Fall by 15.74%,104.0%,
Buy,2025-03-03 - 2025-03-05,2 days,2025-03-11,78.05,2025-03-12,83.65,1 days,7.2%,Rise by 66.79%,111.1%,
Sell,2025-04-28 - 2025-05-05,5 days,2025-05-22,122.29,2025-05-30,131.78,6 days,-7.8%,Fall by -6.86%,103.4%,
Sell,2025-06-03 - 2025-06-11,6 days,2025-06-18,139.96,2025-06-26,144.25,6 days,-3.1%,Fall by -9.4%,100.3%,
Sell,2025-07-16 - 2025-07-17,1 days,2025-07-29,156.24,2025-08-04,160.66,4 days,-2.8%,Fall by 2.0%,97.5%,
Sell,2025-08-08 - 2025-08-12,2 days,2025-08-15,177.17,2025-08-21,156.18,4 days,11.8%,Fall by 12.57%,109.3%,
Buy,2025-08-22 - 2025-08-27,3 days,2025-08-29,156.71,2025-09-10,166.74,8 days,6.4%,Rise by 19.36%,115.7%,
Sell,2025-09-16 - 2025-09-19,3 days,2025-09-29,178.86,2025-10-01,184.95,2 days,-3.4%,Fall by -12.08%,112.3%,
