Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2025-01-15,5949.9102,2025-09-03,6448.2598,2021-10-04-2024-12-06,4278.9399-6099.9702,Buy,165 days,8.38%,Rise by 4.74%,122.48%,
2025-01-31,6040.5298,2025-02-05,6061.48,2024-10-17-2024-11-04,5741.4302-5840.25,Sell,3 days,-0.35%,Fall by 8.91%,122.13%,
2025-02-26,5956.0601,2025-03-06,5738.52,2024-12-06-2025-01-13,5838.6099-6079.98,Sell,6 days,3.65%,Fall by 11.58%,125.79%,
2025-03-10,5614.5601,2025-03-17,5675.1201,2025-01-13-2025-02-19,5773.3101-6147.4302,Sell,5 days,-1.08%,Fall by 10.59%,124.71%,
2025-03-13,5521.52,2025-04-02,5670.9702,2023-10-27-2025-02-19,4103.7798-6147.4302,Sell,14 days,-2.71%,Fall by -10.54%,122.0%,
2025-03-17,5675.1201,2025-03-17,5675.1201,2024-08-05-2025-02-19,5119.2598-6147.4302,Buy,0 days,0.0%,Rise by 0%,122.0%,
2025-04-01,5633.0698,2025-04-01,5633.0698,2024-12-06-2025-03-13,5597.7798-6079.98,Sell,0 days,-0.0%,Fall by 0%,122.0%,
2025-04-02,5670.9702,2025-08-20,6395.7798,2023-10-27-2025-02-19,4103.7798-6147.4302,Buy,100 days,12.78%,Rise by 5.6%,134.78%,
2025-04-03,5396.52,2025-04-04,5074.0801,2023-03-13-2024-12-06,3808.8601-6099.9702,Sell,1 days,5.97%,Fall by -23.45%,140.76%,
2025-04-04,5074.0801,2025-04-09,5456.8999,2024-08-05-2024-12-06,5119.2598-6099.9702,Sell,3 days,-7.54%,Fall by -15.55%,133.21%,
2025-04-08,4982.77,2025-04-09,5456.8999,2024-04-19-2024-12-06,4953.5601-6099.9702,Sell,1 days,-9.52%,Fall by -15.55%,123.7%,
2025-04-09,5456.8999,2025-08-05,6299.1899,2020-11-04-2024-03-28,3405.1699-5264.8501,Buy,84 days,15.44%,Rise by 7.22%,139.13%,
2025-04-14,5405.9702,2025-04-21,5158.2002,2022-10-13-2025-02-19,3491.5801-6147.4302,Sell,5 days,4.58%,Fall by -23.36%,143.72%,
2025-04-17,5282.7002,2025-05-12,5844.1899,2022-10-13-2024-12-06,3491.5801-6099.9702,Sell,17 days,-10.63%,Fall by -6.74%,133.09%,
2025-05-27,5921.54,2025-05-27,5921.54,2024-10-17-2025-04-07,5246.5698-5840.25,Sell,0 days,-0.0%,Fall by 0%,133.09%,
2025-05-28,5888.5498,2025-09-26,6643.7002,2025-01-13-2025-02-19,5773.3101-6147.4302,Buy,87 days,12.82%,Rise by 2.96%,145.91%,
