Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2020-02-02,43.3713,2020-05-17,53.278,2020-01-26,Buy,15 Weeks,22.84%,Rise by -34.28%,39.83%,Normal Case,
2020-03-29,34.2907,2020-06-28,63.9827,2020-03-22,Buy,13 Weeks,86.59%,Rise by 200.31%,126.42%,Normal Case,
2020-05-10,54.628,2020-08-02,95.384,2020-05-03,Buy,12 Weeks,74.61%,Rise by 88.51%,201.02%,Normal Case,
2020-06-14,62.352,2020-09-20,147.3833,2020-06-07,Buy,14 Weeks,136.37%,Rise by 136.66%,337.4%,Normal Case,
2020-07-05,80.5773,2020-09-20,147.3833,2020-06-28,Buy,11 Weeks,82.91%,Rise by 83.13%,420.31%,Normal Case,
2020-07-19,100.056,2020-09-20,147.3833,2020-07-12,Buy,9 Weeks,47.3%,Rise by 193.18%,467.61%,Normal Case,
2020-09-06,139.44,2021-01-24,282.2133,2020-08-23,Buy,20 Weeks,102.39%,Rise by 110.37%,570.0%,Normal Case,
2020-09-20,147.3833,2021-01-24,282.2133,2020-09-13,Buy,18 Weeks,91.48%,Rise by 99.03%,661.48%,Normal Case,
2020-11-08,143.3167,2021-01-24,282.2133,2020-11-01,Buy,11 Weeks,96.92%,Rise by 104.68%,758.4%,Normal Case,
2020-11-29,195.2533,2021-02-14,272.04,2020-11-22,Buy,11 Weeks,39.33%,Rise by 26.29%,797.72%,Normal Case,
2021-01-10,293.34,2021-05-02,236.48,2021-01-03,Buy,16 Weeks,-19.38%,Rise by -23.24%,778.34%,Normal Case,
2021-02-28,225.1667,2021-05-02,236.48,2016-02-07,Buy,9 Weeks,5.02%,Rise by 9.52%,783.36%,Tangent Case,
2021-03-21,218.29,2021-07-18,214.74,2021-02-28,Buy,17 Weeks,-1.63%,Rise by -11.3%,781.74%,Normal Case,
2021-04-25,243.1333,2021-07-18,214.74,2021-04-18,Buy,12 Weeks,-11.68%,Rise by -16.38%,770.06%,Normal Case,
2021-07-25,214.46,2021-11-21,379.02,2021-07-11,Buy,17 Weeks,76.73%,Rise by 89.95%,846.79%,Normal Case,
2021-08-22,226.7533,2021-11-21,379.02,2021-08-01,Buy,13 Weeks,67.15%,Rise by 79.65%,913.94%,Normal Case,
2021-09-12,245.4233,2021-11-21,379.02,2021-09-05,Buy,10 Weeks,54.44%,Rise by 65.98%,968.38%,Normal Case,
2021-09-26,258.13,2022-01-23,314.6333,2021-09-19,Buy,17 Weeks,21.89%,Rise by 40.06%,990.27%,Normal Case,
2021-10-03,258.4067,2022-01-23,314.6333,2021-09-26,Buy,16 Weeks,21.76%,Rise by 39.91%,1012.03%,Normal Case,
2021-10-10,261.83,2022-01-23,314.6333,2021-05-23,Buy,15 Weeks,20.17%,Rise by 38.08%,1032.19%,Local Extrema Case,
2021-10-10,261.83,2022-01-23,314.6333,2021-10-03,Buy,15 Weeks,20.17%,Rise by 38.08%,1052.36%,Normal Case,
2021-11-28,360.64,2022-04-24,335.0167,2021-11-21,Buy,21 Weeks,-7.1%,Rise by -12.76%,1045.26%,Normal Case,
2022-01-09,342.32,2022-04-24,335.0167,2021-12-19,Buy,15 Weeks,-2.13%,Rise by -21.14%,1043.12%,Normal Case,
2022-01-16,349.87,2022-04-24,335.0167,2021-12-26,Buy,14 Weeks,-4.25%,Rise by -20.13%,1038.88%,Normal Case,
2022-03-20,301.7967,2022-09-04,270.21,2022-02-27,Buy,24 Weeks,-10.47%,Rise by -15.0%,1028.41%,Normal Case,
2022-04-17,328.3333,2022-09-04,270.21,2022-03-27,Buy,20 Weeks,-17.7%,Rise by -28.57%,1010.71%,Normal Case,
2022-04-24,335.0167,2022-09-04,270.21,2022-01-30,Buy,19 Weeks,-19.34%,Rise by -30.68%,991.36%,Local Extrema Case,
2022-04-24,335.0167,2022-09-04,270.21,2022-04-17,Buy,19 Weeks,-19.34%,Rise by -30.68%,972.02%,Normal Case,
2022-05-08,288.55,2022-09-04,270.21,2022-05-01,Buy,17 Weeks,-6.36%,Rise by -14.85%,965.66%,Normal Case,
2022-06-19,216.76,2022-09-04,270.21,2022-05-29,Buy,11 Weeks,24.66%,Rise by 38.42%,990.32%,Normal Case,
2022-08-28,288.09,2023-03-05,197.79,2022-08-14,Buy,27 Weeks,-31.34%,Rise by -28.85%,958.98%,Normal Case,
2022-09-18,303.35,2023-03-05,197.79,2022-09-11,Buy,24 Weeks,-34.8%,Rise by -31.61%,924.18%,Normal Case,
2022-10-02,265.25,2023-03-05,197.79,2022-07-10,Buy,22 Weeks,-25.43%,Rise by -32.07%,898.75%,Local Extrema Case,
2022-11-06,207.47,2023-03-05,197.79,2022-10-30,Buy,17 Weeks,-4.67%,Rise by -40.64%,894.08%,Normal Case,
2022-12-04,194.86,2023-03-05,197.79,2022-11-27,Buy,13 Weeks,1.5%,Rise by -31.53%,895.58%,Normal Case,
2023-02-26,196.88,2023-08-06,253.86,2023-02-19,Buy,23 Weeks,28.94%,Rise by -16.15%,924.53%,Normal Case,
2023-09-24,244.88,2024-01-14,218.89,2023-09-10,Buy,16 Weeks,-10.61%,Rise by -12.34%,913.91%,Normal Case,
2023-12-03,238.83,2024-05-19,177.46,2023-11-26,Buy,24 Weeks,-25.7%,Rise by -11.15%,888.22%,Normal Case,
2023-12-10,243.84,2024-05-19,177.46,2023-12-03,Buy,23 Weeks,-27.22%,Rise by -24.85%,860.99%,Normal Case,
2024-02-04,187.91,2024-05-19,177.46,2024-01-28,Buy,15 Weeks,-5.56%,Rise by -12.25%,855.43%,Normal Case,
2024-02-25,191.97,2024-05-19,177.46,2024-02-18,Buy,12 Weeks,-7.56%,Rise by -10.9%,847.87%,Normal Case,
2024-05-05,181.19,2024-07-28,219.8,2024-02-11,Buy,12 Weeks,21.31%,Rise by 38.82%,869.18%,Local Extrema Case,
2024-05-05,181.19,2024-07-28,219.8,2024-04-14,Buy,12 Weeks,21.31%,Rise by 38.82%,890.49%,Normal Case,
