Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2024-03-05,23.03,2024-03-05,23.03,2022-06-28-2024-01-22,21.2-34.03,Sell,0 days,-0.0%,Fall by 0%,55.26%,
2024-05-24,27.58,2024-05-31,26.63,2022-04-04-2024-01-22,21.2-33.78,Sell,5 days,3.44%,Fall by 2.78%,58.7%,
2024-06-04,26.97,2024-06-04,26.97,2024-01-22-2024-05-17,20.86-29.53,Buy,0 days,0.0%,Rise by 0%,58.7%,
2024-07-19,25.82,2024-07-23,25.99,2024-05-17-2024-06-27,26.19-29.05,Sell,2 days,-0.66%,Fall by 4.66%,58.04%,
2024-08-26,26.27,2024-09-10,25.46,2024-05-17-2024-08-05,25.1-29.05,Sell,11 days,3.08%,Fall by -21.17%,61.13%,
2024-09-04,25.98,2024-09-12,25.71,2024-07-12-2024-08-05,25.1-27.2,Sell,6 days,1.04%,Fall by -19.99%,62.17%,
2024-10-08,33.33,2024-10-15,31.1,2024-01-22-2024-10-07,20.86-37.5,Sell,5 days,6.69%,Fall by 5.08%,68.86%,
2024-10-14,32.74,2024-10-15,31.1,2024-08-19-2024-09-10,25.54-26.49,Sell,1 days,5.01%,Fall by 5.08%,73.87%,
2024-10-21,31.74,2024-10-21,31.74,2024-08-05-2024-10-07,24.59-37.5,Buy,0 days,0.0%,Rise by 0%,73.87%,
2024-11-26,29.52,2024-12-09,33.3,2022-03-15-2024-10-07,26.13-37.5,Sell,9 days,-12.8%,Fall by 10.24%,61.06%,
2024-12-16,30.59,2025-01-06,29.99,2024-10-07-2024-11-26,29.73-36.02,Sell,15 days,1.96%,Fall by -15.07%,63.02%,
2025-01-06,29.99,2025-01-06,29.99,2024-11-26-2024-12-09,29.36-33.75,Buy,0 days,0.0%,Rise by 0%,63.02%,
2025-01-10,28.65,2025-01-14,29.42,2024-11-26-2024-12-09,29.36-33.75,Sell,2 days,-2.69%,Fall by -17.3%,60.34%,
2025-02-06,32.28,2025-02-20,35.73,2024-10-07-2025-01-22,30.6-36.02,Sell,10 days,-10.69%,Fall by 16.04%,49.65%,
2025-03-13,36.59,2025-04-02,35.54,2024-12-09-2025-01-22,30.6-32.86,Sell,14 days,2.87%,Fall by 1.52%,52.52%,
2025-04-02,35.54,2025-04-02,35.54,2025-01-22-2025-03-19,28.41-38.73,Buy,0 days,0.0%,Rise by 0%,52.52%,
2025-04-07,30.0,2025-04-10,31.56,2024-11-26-2025-03-19,29.36-38.73,Sell,3 days,-5.2%,Fall by -10.9%,47.32%,
2025-04-08,29.59,2025-04-11,32.94,2024-08-05-2025-03-19,24.59-38.73,Sell,3 days,-11.32%,Fall by -6.25%,36.0%,
2025-04-10,31.56,2025-05-02,34.91,2024-01-22-2025-03-19,20.86-38.73,Sell,16 days,-10.61%,Fall by -0.26%,25.38%,
2025-04-23,33.83,2025-10-07,40.93,2024-08-05-2025-03-19,24.59-38.73,Buy,119 days,20.99%,Rise by -2.98%,46.37%,
2025-04-30,33.86,2025-06-03,35.7,2021-10-22-2024-01-22,21.2-42.05,Sell,24 days,-5.43%,Fall by 0.5%,40.93%,
2025-05-02,34.91,2025-05-02,34.91,2022-03-15-2025-03-19,26.13-38.73,Buy,0 days,0.0%,Rise by 0%,40.93%,
2025-05-29,35.62,2025-06-03,35.7,2025-03-19-2025-04-08,31.4-38.22,Sell,3 days,-0.22%,Fall by 0.5%,40.71%,
