Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2018-11-04,154.0,2019-03-17,154.76,2018-10-28,Buy,19 Weeks,0.49%,Rise by -16.64%,125.35%,Normal Case,
2019-06-09,150.86,2019-08-18,148.63,2019-06-02,Buy,10 Weeks,-1.48%,Rise by 4.2%,123.87%,Normal Case,
2019-09-08,149.9,2019-11-24,158.22,2016-01-10,Buy,11 Weeks,5.55%,Rise by 12.79%,129.42%,Tangent Case,
2019-09-29,151.16,2020-01-12,164.89,2019-09-15,Buy,15 Weeks,9.08%,Rise by 11.85%,138.51%,Normal Case,
2019-12-08,162.82,2020-05-17,125.08,2019-11-24,Buy,23 Weeks,-23.18%,Rise by -10.13%,115.33%,Normal Case,
2020-03-29,112.56,2020-06-28,136.67,2020-03-22,Buy,13 Weeks,21.42%,Rise by 33.42%,136.75%,Normal Case,
2020-07-05,142.4,2020-11-01,153.09,2020-06-28,Buy,17 Weeks,7.51%,Rise by 10.34%,144.25%,Normal Case,
2020-09-20,153.29,2021-02-28,218.31,2020-09-13,Buy,23 Weeks,42.42%,Rise by 52.38%,186.67%,Normal Case,
2020-10-25,163.07,2021-02-28,218.31,2020-10-18,Buy,18 Weeks,33.88%,Rise by 43.25%,220.54%,Normal Case,
2020-12-27,199.01,2021-02-28,218.31,2020-12-20,Buy,9 Weeks,9.7%,Rise by 17.38%,230.24%,Normal Case,
2021-01-31,205.56,2021-04-04,223.74,2021-01-17,Buy,9 Weeks,8.84%,Rise by 13.0%,239.09%,Normal Case,
2021-06-06,227.4,2021-09-19,222.48,2021-05-30,Buy,15 Weeks,-2.16%,Rise by 0.25%,236.92%,Normal Case,
2021-09-19,222.48,2021-11-28,222.85,2021-08-29,Buy,10 Weeks,0.17%,Rise by 8.69%,237.09%,Normal Case,
2021-10-03,222.28,2022-04-17,198.96,2021-09-26,Buy,28 Weeks,-10.49%,Rise by -11.38%,226.6%,Normal Case,
2021-12-05,214.71,2022-04-17,198.96,2016-02-07,Buy,19 Weeks,-7.34%,Rise by -3.33%,219.26%,Tangent Case,
2022-02-13,201.38,2022-04-17,198.96,2022-02-06,Buy,9 Weeks,-1.2%,Rise by 3.07%,218.06%,Normal Case,
2022-02-20,199.47,2022-09-04,180.09,2022-02-13,Buy,28 Weeks,-9.72%,Rise by -10.73%,208.34%,Normal Case,
2022-05-22,176.08,2022-09-04,180.09,2022-05-15,Buy,15 Weeks,2.28%,Rise by 13.79%,210.62%,Normal Case,
2022-07-17,173.09,2022-12-04,188.05,2022-07-10,Buy,20 Weeks,8.64%,Rise by 8.64%,219.27%,Normal Case,
2022-08-28,188.98,2022-12-04,188.05,2022-08-07,Buy,14 Weeks,-0.49%,Rise by -11.73%,218.77%,Normal Case,
2022-09-25,167.31,2022-12-04,188.05,2022-06-19,Buy,10 Weeks,12.4%,Rise by 12.4%,231.17%,Local Extrema Case,
2022-10-09,168.61,2023-02-19,193.13,2022-09-25,Buy,19 Weeks,14.54%,Rise by 11.53%,245.71%,Normal Case,
2022-11-06,178.68,2023-02-19,193.13,2022-10-30,Buy,15 Weeks,8.09%,Rise by 10.25%,253.8%,Normal Case,
2023-02-19,193.13,2023-07-02,187.27,2023-02-12,Buy,19 Weeks,-3.03%,Rise by -10.57%,250.76%,Normal Case,
2023-03-05,191.5,2023-07-02,187.27,2023-02-26,Buy,17 Weeks,-2.21%,Rise by 2.57%,248.56%,Normal Case,
2023-05-28,176.15,2023-08-20,184.65,2023-05-21,Buy,12 Weeks,4.83%,Rise by 11.51%,253.38%,Normal Case,
2023-07-02,187.27,2024-01-14,193.23,2023-06-25,Buy,28 Weeks,3.18%,Rise by -11.12%,256.56%,Normal Case,
2023-08-06,194.17,2024-01-14,193.23,2023-07-23,Buy,23 Weeks,-0.48%,Rise by -10.9%,256.08%,Normal Case,
2024-03-10,206.83,2024-08-18,212.6,2024-03-03,Buy,23 Weeks,2.79%,Rise by 8.41%,258.87%,Normal Case,
2024-07-07,200.87,2024-10-06,219.15,2024-06-30,Buy,13 Weeks,9.1%,Rise by 20.41%,267.97%,Normal Case,
2024-07-21,216.84,2024-10-06,219.15,2024-07-14,Buy,11 Weeks,1.07%,Rise by 11.54%,269.04%,Normal Case,
2024-07-28,224.22,2024-10-06,219.15,2024-07-21,Buy,10 Weeks,-2.26%,Rise by 7.87%,266.77%,Normal Case,
2024-08-11,206.46,2024-11-03,218.98,2024-04-21,Buy,12 Weeks,6.06%,Rise by 17.15%,272.84%,Local Extrema Case,
2024-11-03,218.98,2025-02-23,217.8,2024-10-27,Buy,16 Weeks,-0.54%,Rise by -17.26%,272.3%,Normal Case,
2024-11-10,238.12,2025-02-23,217.8,2024-11-03,Buy,15 Weeks,-8.53%,Rise by -13.51%,263.77%,Normal Case,
2025-03-23,203.79,2025-06-01,205.07,2025-03-09,Buy,10 Weeks,0.63%,Rise by 20.83%,264.39%,Normal Case,
2025-08-10,220.32,2025-11-02,246.23,2016-03-13,Buy,12 Weeks,11.76%,Rise by 11.76%,276.15%,Tangent Case,
2025-08-24,234.83,2025-11-02,246.23,2025-08-17,Buy,10 Weeks,4.85%,Rise by 4.85%,281.01%,Normal Case,
2025-10-12,237.79,2025-10-12,237.79,2025-09-28,Buy,0 Weeks,0.0%,Rise by 0%,281.01%,Normal Case,
2025-10-19,243.41,2025-10-19,243.41,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,281.01%,Normal Case,
