Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2022-07-15,240.0667,2022-07-21,271.7067,2021-11-04-2022-05-24,217.9733-405.6667,Sell,4 days,-13.18%,Fall by 0.55%,-29.52%,
2022-08-11,286.63,2022-08-30,277.7,2022-04-05-2022-05-24,217.9733-362.4333,Sell,13 days,3.12%,Fall by 12.71%,-26.4%,
2022-09-08,289.26,2024-11-14,311.18,2022-05-24-2022-08-16,206.8567-314.6667,Buy,570 days,7.58%,Rise by 54.21%,-18.82%,
2022-09-28,287.81,2022-09-29,268.21,2022-08-16-2022-09-06,275.99-302.8833,Sell,1 days,6.81%,Fall by 17.33%,-12.01%,
2022-10-03,242.4,2022-10-07,223.07,2022-05-24-2022-08-16,206.8567-314.6667,Sell,4 days,7.97%,Fall by 11.65%,-4.04%,
2022-12-08,173.44,2022-12-12,167.82,2021-04-14-2022-11-22,170.92-242.6767,Sell,2 days,3.24%,Fall by 34.99%,-0.8%,
2023-02-24,196.88,2023-02-24,196.88,2022-01-04-2023-01-06,114.39-374.35,Sell,0 days,-0.0%,Fall by 0%,-0.8%,
2023-03-06,193.81,2023-06-26,241.05,2023-01-06-2023-02-16,101.81-217.65,Buy,80 days,24.37%,Rise by 21.69%,23.57%,
2023-03-08,182.0,2023-03-09,172.92,2023-01-06-2023-02-16,101.81-217.65,Sell,1 days,4.99%,Fall by 11.09%,28.56%,
2023-03-29,193.88,2023-04-05,185.52,2023-02-16-2023-03-13,177.35-201.84,Sell,5 days,4.31%,Fall by 12.14%,32.88%,
2023-04-10,184.51,2023-04-20,162.99,2022-09-21-2023-01-06,114.39-300.63,Sell,8 days,11.66%,Fall by -47.89%,44.54%,
2023-06-28,256.24,2023-06-28,256.24,2023-02-16-2023-04-27,160.48-201.84,Sell,0 days,-0.0%,Fall by 0%,44.54%,
2023-07-11,269.79,2023-07-21,260.02,2022-01-04-2022-11-22,170.92-374.35,Sell,8 days,3.62%,Fall by 10.41%,48.16%,
2023-07-21,260.02,2023-08-07,251.45,2023-04-27-2023-07-19,152.37-299.29,Sell,11 days,3.3%,Fall by 4.35%,51.46%,
