Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2023-10-24,59.02,2023-10-24,59.02,2022-04-08-2023-10-06,57.39-76.31,Sell,0 days,-0.0%,Fall by 0%,126.47%,
2023-11-10,60.32,2023-11-10,60.32,2021-04-21-2023-10-06,57.39-66.9,Sell,0 days,-0.0%,Fall by 0%,126.47%,
2024-01-26,61.21,2024-10-08,79.48,2023-10-06-2023-12-14,54.77-66.7,Buy,182 days,29.85%,Rise by 4.34%,156.32%,
2024-03-20,63.87,2024-03-20,63.87,2023-12-14-2024-02-13,60.94-64.97,Sell,0 days,-0.0%,Fall by 0%,156.32%,
2024-05-28,71.43,2024-08-07,73.28,2023-05-26-2024-05-16,63.93-72.91,Buy,51 days,2.59%,Rise by 11.18%,158.9%,
2024-05-31,72.72,2024-05-31,72.72,2024-02-13-2024-05-16,59.14-72.91,Buy,0 days,0.0%,Rise by 0%,158.9%,
2024-07-19,70.13,2024-09-11,77.28,2024-05-16-2024-07-01,68.97-72.17,Sell,38 days,-10.2%,Fall by -1.66%,148.71%,
2024-11-06,77.55,2024-11-06,77.55,2024-07-01-2024-10-17,67.6-82.5,Buy,0 days,0.0%,Rise by 0%,148.71%,
2024-12-05,80.69,2024-12-10,78.12,2024-10-17-2024-11-04,77.76-81.42,Sell,3 days,3.19%,Fall by 4.38%,151.89%,
2024-12-12,77.59,2025-07-28,83.62,2024-11-04-2024-11-27,76.78-83.41,Buy,162 days,7.77%,Rise by 11.1%,159.67%,
2024-12-18,74.89,2024-12-24,76.48,2024-11-04-2024-11-27,76.78-83.41,Sell,4 days,-2.12%,Fall by 2.33%,157.54%,
2025-01-13,74.7,2025-01-29,76.74,2023-10-06-2024-10-17,54.77-82.5,Sell,12 days,-2.73%,Fall by 1.12%,154.81%,
2025-02-28,79.22,2025-03-03,79.33,2024-11-27-2025-01-13,75.58-82.82,Sell,1 days,-0.14%,Fall by 7.87%,154.67%,
2025-03-10,78.14,2025-05-23,81.06,2025-01-13-2025-02-21,73.91-80.53,Buy,54 days,3.74%,Rise by 7.72%,158.41%,
2025-04-07,73.39,2025-04-11,76.32,2025-01-13-2025-02-21,73.91-80.53,Sell,4 days,-3.99%,Fall by -5.28%,154.42%,
2025-05-14,79.3,2025-05-16,82.18,2025-02-21-2025-04-09,76.17-79.88,Sell,2 days,-3.63%,Fall by 2.23%,150.79%,
2025-08-19,86.08,2025-08-19,86.08,2025-04-09-2025-08-05,71.02-87.67,Buy,0 days,0.0%,Rise by 0%,150.79%,
2025-09-10,84.62,2025-10-23,90.33,2024-07-01-2025-08-05,67.6-87.67,Buy,31 days,6.75%,Rise by -1.36%,157.53%,
2025-10-23,90.33,2025-10-23,90.33,2025-08-05-2025-09-08,83.56-86.13,Sell,0 days,-0.0%,Fall by 0%,157.53%,
