Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2018-03-11,52.97,2018-07-01,44.06,2018-02-25,Buy,16 Weeks,-16.82%,Rise by -14.05%,36.96%,Normal Case,
2018-06-03,47.35,2018-08-12,48.32,2018-05-27,Buy,10 Weeks,2.05%,Rise by 8.89%,39.01%,Normal Case,
2018-07-01,44.06,2018-10-14,47.38,2018-06-24,Buy,15 Weeks,7.54%,Rise by 17.02%,46.55%,Normal Case,
2018-09-30,51.56,2019-05-12,54.65,2016-01-03,Buy,32 Weeks,5.99%,Rise by -10.78%,52.54%,Tangent Case,
2018-10-07,49.35,2019-05-12,54.65,2018-09-23,Buy,31 Weeks,10.74%,Rise by -10.84%,63.28%,Normal Case,
2018-10-28,47.32,2019-05-12,54.65,2018-08-05,Buy,28 Weeks,15.49%,Rise by 17.1%,78.77%,Local Extrema Case,
2018-10-28,47.32,2019-05-12,54.65,2018-10-14,Buy,28 Weeks,15.49%,Rise by 17.1%,94.26%,Normal Case,
2018-11-11,50.61,2019-05-12,54.65,2018-10-21,Buy,26 Weeks,7.98%,Rise by -11.44%,102.24%,Normal Case,
2018-11-18,51.17,2019-05-12,54.65,2018-09-09,Buy,25 Weeks,6.8%,Rise by 8.29%,109.04%,Local Extrema Case,
2018-11-18,51.17,2019-05-12,54.65,2018-11-11,Buy,25 Weeks,6.8%,Rise by 8.29%,115.84%,Normal Case,
2019-01-13,48.29,2019-05-12,54.65,2018-11-04,Buy,17 Weeks,13.17%,Rise by 14.74%,129.01%,Local Extrema Case,
2019-03-10,52.77,2019-05-12,54.65,2019-02-24,Buy,9 Weeks,3.56%,Rise by 5.0%,132.58%,Normal Case,
2019-03-31,53.71,2019-07-28,58.5,2016-01-17,Buy,17 Weeks,8.92%,Rise by 11.36%,141.49%,Tangent Case,
2019-05-19,54.5,2019-07-28,58.5,2019-05-12,Buy,10 Weeks,7.34%,Rise by 9.74%,148.83%,Normal Case,
2019-09-29,54.09,2020-03-01,49.46,2019-09-22,Buy,22 Weeks,-8.56%,Rise by 2.55%,140.27%,Normal Case,
2019-10-13,56.89,2020-03-01,49.46,2019-09-29,Buy,20 Weeks,-13.06%,Rise by -2.5%,127.21%,Normal Case,
2020-01-12,54.45,2020-05-03,51.79,2019-12-29,Buy,16 Weeks,-4.89%,Rise by -13.0%,122.33%,Normal Case,
2020-03-22,45.65,2020-08-02,55.45,2020-03-15,Buy,19 Weeks,21.47%,Rise by 25.72%,143.8%,Normal Case,
2020-03-29,49.83,2020-08-02,55.45,2020-03-22,Buy,18 Weeks,11.28%,Rise by 15.17%,155.07%,Normal Case,
2020-04-19,54.62,2020-08-02,55.45,2020-02-02,Buy,15 Weeks,1.52%,Rise by 5.07%,156.59%,Local Extrema Case,
