Signal,Diver-Dur,Divergence Duration,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Profit,Signal Open Price
Sell,2023-03-08 - 2023-03-09,1 days,2023-03-24,73.88,2023-03-27,73.3,1 days,0.8%,Fall by 10.79%,-30.7%,
Buy,2023-03-27 - 2023-04-06,8 days,2023-04-24,74.29,2023-05-09,65.905,11 days,-11.3%,Rise by -14.69%,-42.0%,
Sell,2023-04-04 - 2023-04-11,5 days,2023-04-19,75.32,2023-04-24,74.29,3 days,1.4%,Fall by 12.5%,-40.6%,
Buy,2023-05-16 - 2023-05-17,1 days,2023-05-19,60.92,2023-06-05,64.51,11 days,5.9%,Rise by 13.08%,-34.7%,
Sell,2023-06-06 - 2023-06-07,1 days,2023-06-22,68.57,2023-06-26,66.44,2 days,3.1%,Fall by 10.25%,-31.6%,
Sell,2023-07-19 - 2023-07-27,6 days,2023-08-02,73.2,2023-08-08,63.19,4 days,13.7%,Fall by 18.83%,-17.9%,
Buy,2023-08-11 - 2023-08-15,2 days,2023-08-21,59.51,2023-08-29,62.5,6 days,5.0%,Rise by 8.28%,-12.9%,
Buy,2023-09-22 - 2023-09-27,3 days,2023-10-04,58.57,2023-10-25,51.49,15 days,-12.1%,Rise by -12.09%,-25.0%,
Buy,2023-09-27 - 2023-10-13,12 days,2023-10-17,57.16,2023-10-27,50.39,8 days,-11.8%,Rise by 10.36%,-36.8%,
Buy,2023-10-20 - 2023-10-27,5 days,2023-10-31,51.8,2023-11-02,55.06,2 days,6.3%,Rise by 21.78%,-30.6%,
Sell,2023-11-16 - 2023-11-29,9 days,2023-12-18,61.47,2023-12-19,63.01,1 days,-2.5%,Fall by 4.91%,-33.1%,
Buy,2024-01-05 - 2024-01-17,8 days,2024-01-19,65.82,2024-02-08,56.13,14 days,-14.7%,Rise by -14.72%,-47.8%,
Sell,2024-01-30 - 2024-02-07,6 days,2024-02-20,58.63,2024-02-22,58.35,2 days,0.5%,Fall by -5.92%,-47.3%,
Buy,2024-02-12 - 2024-02-21,7 days,2024-02-23,59.16,2024-03-18,64.23,16 days,8.6%,Rise by 13.25%,-38.7%,
Sell,2024-03-20 - 2024-03-22,2 days,2024-04-01,65.03,2024-04-09,67.0,6 days,-3.0%,Fall by 4.51%,-41.8%,
Buy,2024-05-24 - 2024-05-29,3 days,2024-06-03,63.46,2024-06-06,67.02,3 days,5.6%,Rise by -2.6%,-36.2%,
Buy,2024-06-18 - 2024-06-26,6 days,2024-06-28,58.03,2024-07-16,61.81,12 days,6.5%,Rise by 13.36%,-29.6%,
Sell,2024-08-19 - 2024-08-22,3 days,2024-08-28,70.43,2024-08-29,73.16,1 days,-3.9%,Fall by -9.68%,-33.5%,
Sell,2024-08-22 - 2024-08-29,5 days,2024-09-09,69.35,2024-09-17,71.77,6 days,-3.5%,Fall by -11.39%,-37.0%,
Sell,2024-09-26 - 2024-09-27,1 days,2024-10-03,77.31,2024-10-04,79.36,1 days,-2.7%,Fall by 0.08%,-39.7%,
Sell,2024-11-13 - 2024-11-25,8 days,2024-11-29,86.77,2024-12-02,86.53,1 days,0.3%,Fall by 3.93%,-39.4%,
Sell,2024-12-06 - 2024-12-09,1 days,2024-12-19,86.78,2024-12-31,85.35,8 days,1.6%,Fall by 3.94%,-37.7%,
Buy,2025-01-02 - 2025-01-13,7 days,2025-01-15,89.64,2025-02-04,77.725,14 days,-13.3%,Rise by -13.29%,-51.0%,
Buy,2025-03-03 - 2025-03-04,1 days,2025-03-11,67.98,2025-04-04,58.37,18 days,-14.1%,Rise by -14.14%,-65.2%,
Sell,2025-04-28 - 2025-04-29,1 days,2025-05-16,72.18,2025-05-27,71.48,7 days,1.0%,Fall by 5.0%,-64.2%,
Sell,2025-06-10 - 2025-06-12,2 days,2025-06-17,70.67,2025-06-20,70.05,3 days,0.9%,Fall by -0.98%,-63.3%,
Buy,2025-09-12 - 2025-09-16,2 days,2025-09-29,69.68,2025-10-07,74.61,6 days,7.1%,Rise by -0.59%,-56.2%,
Sell,2025-10-08 - 2025-10-09,1 days,2025-10-14,69.15,2025-10-15,67.98,1 days,1.7%,Fall by -0.17%,-54.5%,
Sell,2025-10-09 - 2025-10-28,13 days,2025-10-31,69.27,2025-10-31,69.27,0 days,-0.0%,Fall by 0.0%,-54.5%,
