Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2017-08-27,109.514,2017-11-26,111.254,2017-08-20,Buy,13 Weeks,1.59%,Rise by 4.21%,70.55%,Normal Case,
2017-10-01,112.467,2018-06-10,109.694,2017-09-24,Buy,36 Weeks,-2.47%,Rise by -1.46%,68.09%,Normal Case,
2017-10-29,114.124,2018-06-10,109.694,2017-10-22,Buy,32 Weeks,-3.88%,Rise by -2.89%,64.21%,Normal Case,
2017-11-19,113.028,2018-06-10,109.694,2015-11-15,Buy,29 Weeks,-2.95%,Rise by -1.95%,61.26%,Tangent Case,
2017-12-31,112.875,2018-06-10,109.694,2017-12-24,Buy,23 Weeks,-2.82%,Rise by -1.81%,58.44%,Normal Case,
2018-02-04,109.406,2018-06-10,109.694,2018-01-28,Buy,18 Weeks,0.26%,Rise by 1.3%,58.7%,Normal Case,
2018-02-11,108.529,2018-06-10,109.694,2018-02-04,Buy,17 Weeks,1.07%,Rise by 2.12%,59.78%,Normal Case,
2018-04-08,107.052,2018-06-10,109.694,2018-04-01,Buy,9 Weeks,2.47%,Rise by 5.24%,62.24%,Normal Case,
2018-04-29,109.3,2018-08-05,111.69,2018-04-22,Buy,14 Weeks,2.19%,Rise by 3.08%,64.43%,Normal Case,
2018-05-06,109.096,2018-08-05,111.69,2018-04-29,Buy,13 Weeks,2.38%,Rise by 3.27%,66.81%,Normal Case,
2018-06-24,109.952,2018-10-21,112.185,2018-06-17,Buy,17 Weeks,2.03%,Rise by 3.59%,68.84%,Normal Case,
2018-07-01,110.486,2018-10-21,112.185,2018-06-10,Buy,16 Weeks,1.54%,Rise by 3.08%,70.38%,Normal Case,
2018-07-08,110.579,2018-10-21,112.185,2018-06-24,Buy,15 Weeks,1.45%,Rise by 3.0%,71.83%,Normal Case,
2018-09-16,112.012,2019-03-24,110.806,2018-09-02,Buy,27 Weeks,-1.08%,Rise by 1.73%,70.75%,Normal Case,
2018-10-07,113.894,2019-03-24,110.806,2018-09-30,Buy,24 Weeks,-2.71%,Rise by -1.88%,68.04%,Normal Case,
2018-10-14,112.08,2019-03-24,110.806,2018-09-23,Buy,23 Weeks,-1.14%,Rise by -0.29%,66.9%,Normal Case,
2018-10-28,112.35,2019-03-24,110.806,2018-07-01,Buy,21 Weeks,-1.37%,Rise by -0.53%,65.53%,Local Extrema Case,
2018-11-04,112.715,2019-03-24,110.806,2018-08-26,Buy,20 Weeks,-1.69%,Rise by -0.85%,63.84%,Local Extrema Case,
2018-11-04,112.715,2019-03-24,110.806,2018-10-28,Buy,20 Weeks,-1.69%,Rise by -0.85%,62.14%,Normal Case,
2018-11-11,113.953,2019-03-24,110.806,2018-10-21,Buy,19 Weeks,-2.76%,Rise by -1.93%,59.38%,Normal Case,
2018-12-02,113.411,2019-03-24,110.806,2018-11-18,Buy,16 Weeks,-2.3%,Rise by -1.46%,57.08%,Normal Case,
2018-12-16,113.56,2019-03-24,110.806,2018-12-09,Buy,14 Weeks,-2.43%,Rise by -1.59%,54.66%,Normal Case,
2019-03-10,111.634,2019-05-12,109.807,2019-03-03,Buy,9 Weeks,-1.64%,Rise by -2.66%,53.02%,Normal Case,
2019-07-07,107.808,2019-10-06,106.826,2015-12-13,Buy,13 Weeks,-0.91%,Rise by 2.2%,52.11%,Tangent Case,
2019-09-29,107.756,2019-12-22,109.383,2019-09-15,Buy,12 Weeks,1.51%,Rise by 2.24%,53.62%,Normal Case,
2019-12-08,108.738,2020-03-08,106.248,2019-11-24,Buy,13 Weeks,-2.29%,Rise by 2.96%,51.33%,Normal Case,
2020-03-22,111.291,2020-06-21,107.006,2020-03-15,Buy,13 Weeks,-3.85%,Rise by -1.92%,47.48%,Normal Case,
2020-03-29,109.109,2020-06-21,107.006,2020-01-12,Buy,12 Weeks,-1.93%,Rise by 0.04%,45.55%,Local Extrema Case,
2020-03-29,109.109,2020-06-21,107.006,2020-03-22,Buy,12 Weeks,-1.93%,Rise by 0.04%,43.63%,Normal Case,
2020-05-17,107.365,2021-04-18,108.689,2020-05-10,Buy,48 Weeks,1.23%,Rise by 0.57%,44.86%,Normal Case,
2020-06-21,107.006,2021-04-18,108.689,2020-06-14,Buy,43 Weeks,1.57%,Rise by 3.37%,46.43%,Normal Case,
2020-07-05,107.497,2021-04-18,108.689,2020-06-28,Buy,41 Weeks,1.11%,Rise by 2.9%,47.54%,Normal Case,
2020-09-06,106.086,2021-04-18,108.689,2020-08-30,Buy,32 Weeks,2.45%,Rise by 4.27%,50.0%,Normal Case,
2020-09-13,106.143,2021-04-18,108.689,2020-09-06,Buy,31 Weeks,2.4%,Rise by 4.21%,52.39%,Normal Case,
2020-12-27,103.653,2021-04-18,108.689,2020-12-20,Buy,16 Weeks,4.86%,Rise by 6.71%,57.25%,Normal Case,
2021-01-31,104.291,2021-04-18,108.689,2021-01-24,Buy,11 Weeks,4.22%,Rise by 6.06%,61.47%,Normal Case,
2021-02-28,106.379,2021-07-18,109.778,2021-02-14,Buy,20 Weeks,3.2%,Rise by 4.88%,64.66%,Normal Case,
