Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2020-11-01,38.02,2021-01-10,21.56,2020-10-25,Buy,10 Weeks,-43.29%,Rise by -43.27%,-601.46%,Normal Case,
2021-01-10,21.56,2021-05-30,16.76,2021-01-03,Buy,20 Weeks,-22.26%,Rise by -12.52%,-623.72%,Normal Case,
2021-01-31,33.09,2021-05-30,16.76,2021-01-24,Buy,17 Weeks,-49.35%,Rise by -36.69%,-673.07%,Normal Case,
2021-02-28,27.95,2021-05-30,16.76,2021-02-21,Buy,13 Weeks,-40.04%,Rise by -41.86%,-713.11%,Normal Case,
2021-03-07,24.66,2021-05-30,16.76,2021-02-28,Buy,12 Weeks,-32.04%,Rise by -29.72%,-745.14%,Normal Case,
2021-05-09,16.69,2021-08-08,16.15,2021-05-02,Buy,13 Weeks,-3.24%,Rise by 26.42%,-748.38%,Normal Case,
2021-05-16,18.81,2021-08-08,16.15,2021-05-09,Buy,12 Weeks,-14.14%,Rise by -19.88%,-762.52%,Normal Case,
2021-07-25,17.2,2021-10-10,18.77,2021-07-18,Buy,11 Weeks,9.13%,Rise by 22.67%,-753.39%,Normal Case,
2021-08-22,18.56,2021-12-19,21.57,2021-08-15,Buy,17 Weeks,16.22%,Rise by -12.18%,-737.17%,Normal Case,
2021-09-12,20.95,2021-12-19,21.57,2021-09-05,Buy,14 Weeks,2.96%,Rise by -22.39%,-734.21%,Normal Case,
2021-09-19,20.81,2021-12-19,21.57,2021-09-12,Buy,13 Weeks,3.65%,Rise by -20.81%,-730.56%,Normal Case,
2021-10-03,21.1,2021-12-19,21.57,2021-09-26,Buy,11 Weeks,2.23%,Rise by -15.12%,-728.33%,Normal Case,
2021-10-10,18.77,2021-12-19,21.57,2021-10-03,Buy,10 Weeks,14.92%,Rise by 63.4%,-713.42%,Normal Case,
2021-11-28,28.62,2022-02-13,27.36,2021-11-21,Buy,11 Weeks,-4.4%,Rise by -32.95%,-717.82%,Normal Case,
2021-12-05,30.67,2022-02-13,27.36,2021-11-28,Buy,10 Weeks,-10.79%,Rise by -24.29%,-728.61%,Normal Case,
2022-01-16,19.19,2022-05-22,29.43,2022-01-09,Buy,18 Weeks,53.36%,Rise by 66.65%,-675.25%,Normal Case,
2022-01-23,28.85,2022-05-22,29.43,2022-01-16,Buy,17 Weeks,2.01%,Rise by -17.26%,-673.24%,Normal Case,
2022-01-30,27.66,2022-05-22,29.43,2021-11-07,Buy,16 Weeks,6.4%,Rise by -13.7%,-666.84%,Local Extrema Case,
2022-01-30,27.66,2022-05-22,29.43,2022-01-23,Buy,16 Weeks,6.4%,Rise by -13.7%,-660.44%,Normal Case,
2022-02-20,27.75,2022-05-22,29.43,2022-02-13,Buy,13 Weeks,6.05%,Rise by -23.75%,-654.39%,Normal Case,
2022-02-27,27.59,2022-05-22,29.43,2022-02-20,Buy,12 Weeks,6.67%,Rise by -17.72%,-647.72%,Normal Case,
2022-03-13,30.75,2022-05-22,29.43,2022-03-06,Buy,10 Weeks,-4.29%,Rise by 8.62%,-652.01%,Normal Case,
2022-04-17,22.7,2022-10-16,32.02,2022-04-10,Buy,26 Weeks,41.06%,Rise by -13.96%,-610.95%,Normal Case,
2022-05-01,33.4,2022-10-16,32.02,2022-04-24,Buy,24 Weeks,-4.13%,Rise by -18.47%,-615.08%,Normal Case,
2022-05-15,28.87,2022-10-16,32.02,2022-05-08,Buy,22 Weeks,10.91%,Rise by -14.65%,-604.17%,Normal Case,
2022-06-19,31.13,2022-10-16,32.02,2022-06-12,Buy,17 Weeks,2.86%,Rise by -32.06%,-601.31%,Normal Case,
2022-08-28,25.56,2023-04-02,18.7,2022-08-21,Buy,31 Weeks,-26.84%,Rise by 25.27%,-628.15%,Normal Case,
2022-09-04,25.47,2023-04-02,18.7,2022-08-28,Buy,30 Weeks,-26.58%,Rise by -11.58%,-654.73%,Normal Case,
2022-09-18,26.3,2023-04-02,18.7,2022-09-11,Buy,28 Weeks,-28.9%,Rise by -14.37%,-683.63%,Normal Case,
2022-09-25,29.92,2023-04-02,18.7,2022-09-18,Buy,27 Weeks,-37.5%,Rise by -24.73%,-721.13%,Normal Case,
2022-10-02,31.62,2023-04-02,18.7,2022-09-25,Buy,26 Weeks,-40.86%,Rise by -26.88%,-761.99%,Normal Case,
2022-10-16,32.02,2023-04-02,18.7,2022-10-09,Buy,24 Weeks,-41.6%,Rise by -40.47%,-803.59%,Normal Case,
2022-10-23,29.69,2023-04-02,18.7,2022-08-14,Buy,23 Weeks,-37.02%,Rise by -23.11%,-840.61%,Local Extrema Case,
2022-12-11,22.83,2023-04-02,18.7,2022-12-04,Buy,16 Weeks,-18.09%,Rise by -18.92%,-858.7%,Normal Case,
2022-12-18,22.62,2023-04-02,18.7,2022-12-11,Buy,15 Weeks,-17.33%,Rise by -18.97%,-876.03%,Normal Case,
2023-02-26,21.67,2023-09-03,13.09,2023-02-19,Buy,27 Weeks,-39.59%,Rise by -21.23%,-915.62%,Normal Case,
2023-03-12,24.8,2023-09-03,13.09,2023-03-05,Buy,25 Weeks,-47.22%,Rise by -36.37%,-962.84%,Normal Case,
2023-03-19,25.51,2023-09-03,13.09,2023-03-12,Buy,24 Weeks,-48.69%,Rise by -32.61%,-1011.52%,Normal Case,
2023-05-14,17.03,2023-09-03,13.09,2023-04-23,Buy,16 Weeks,-23.14%,Rise by -20.2%,-1034.66%,Normal Case,
2023-05-28,17.95,2023-09-03,13.09,2023-05-21,Buy,14 Weeks,-27.08%,Rise by -25.68%,-1061.74%,Normal Case,
2023-07-02,13.59,2023-09-03,13.09,2016-02-28,Buy,9 Weeks,-3.68%,Rise by 27.3%,-1065.41%,Tangent Case,
2023-07-02,13.59,2023-09-03,13.09,2023-06-25,Buy,9 Weeks,-3.68%,Rise by 27.3%,-1069.09%,Normal Case,
2023-08-06,17.1,2023-11-12,14.17,2023-07-30,Buy,14 Weeks,-17.13%,Rise by 26.96%,-1086.23%,Normal Case,
2023-08-13,14.84,2023-11-12,14.17,2023-08-06,Buy,13 Weeks,-4.51%,Rise by 46.29%,-1090.74%,Normal Case,
2023-08-20,17.3,2023-11-12,14.17,2023-08-13,Buy,12 Weeks,-18.09%,Rise by 25.49%,-1108.84%,Normal Case,
2023-09-24,17.2,2024-02-04,13.85,2023-09-17,Buy,19 Weeks,-19.48%,Rise by -17.62%,-1128.31%,Normal Case,
2023-10-01,17.52,2024-02-04,13.85,2023-09-24,Buy,18 Weeks,-20.95%,Rise by -21.23%,-1149.26%,Normal Case,
2023-10-08,17.45,2024-02-04,13.85,2023-10-01,Buy,17 Weeks,-20.63%,Rise by -28.6%,-1169.89%,Normal Case,
2023-10-22,21.71,2024-02-04,13.85,2023-10-15,Buy,15 Weeks,-36.2%,Rise by -43.11%,-1206.09%,Normal Case,
2023-10-29,21.27,2024-02-04,13.85,2023-10-22,Buy,14 Weeks,-34.88%,Rise by -42.27%,-1240.98%,Normal Case,
2024-01-07,13.35,2024-05-05,13.49,2016-03-06,Buy,17 Weeks,1.05%,Rise by 40.15%,-1239.93%,Tangent Case,
2024-01-07,13.35,2024-05-05,13.49,2023-12-31,Buy,17 Weeks,1.05%,Rise by 40.15%,-1238.88%,Normal Case,
2024-03-10,14.74,2024-08-25,15.86,2024-03-03,Buy,24 Weeks,7.6%,Rise by -14.86%,-1231.28%,Normal Case,
2024-04-07,16.03,2024-08-25,15.86,2024-03-31,Buy,20 Weeks,-1.06%,Rise by -25.58%,-1232.34%,Normal Case,
2024-04-14,17.31,2024-08-25,15.86,2024-04-07,Buy,19 Weeks,-8.38%,Rise by -25.36%,-1240.72%,Normal Case,
2024-04-21,18.71,2024-08-25,15.86,2024-04-14,Buy,18 Weeks,-15.23%,Rise by -34.69%,-1255.95%,Normal Case,
2024-06-02,12.92,2024-08-25,15.86,2024-05-26,Buy,12 Weeks,22.76%,Rise by 81.04%,-1233.2%,Normal Case,
2024-07-28,16.39,2024-11-17,16.14,2024-07-21,Buy,16 Weeks,-1.53%,Rise by 33.5%,-1234.72%,Normal Case,
2024-08-04,23.39,2024-11-17,16.14,2024-07-28,Buy,15 Weeks,-31.0%,Rise by -30.95%,-1265.72%,Normal Case,
2024-08-11,20.37,2024-11-17,16.14,2024-08-04,Buy,14 Weeks,-20.77%,Rise by -16.74%,-1286.49%,Normal Case,
2024-09-08,22.38,2024-11-17,16.14,2024-09-01,Buy,10 Weeks,-27.88%,Rise by -2.23%,-1314.37%,Normal Case,
2024-10-06,19.21,2025-01-05,16.13,2024-09-29,Buy,13 Weeks,-16.03%,Rise by -20.67%,-1330.4%,Normal Case,
2024-10-27,20.33,2025-01-05,16.13,2024-10-20,Buy,10 Weeks,-20.66%,Rise by -32.07%,-1351.06%,Normal Case,
2024-11-03,21.88,2025-01-05,16.13,2024-10-27,Buy,9 Weeks,-26.28%,Rise by -16.09%,-1377.34%,Normal Case,
2024-11-24,15.24,2025-03-30,21.65,2016-03-27,Buy,18 Weeks,42.06%,Rise by 28.22%,-1335.28%,Tangent Case,
2024-12-15,13.81,2025-03-30,21.65,2024-12-08,Buy,15 Weeks,56.77%,Rise by 228.1%,-1278.51%,Normal Case,
2024-12-22,18.36,2025-03-30,21.65,2024-12-15,Buy,14 Weeks,17.92%,Rise by -19.55%,-1260.59%,Normal Case,
2025-01-05,16.13,2025-03-30,21.65,2024-12-29,Buy,12 Weeks,34.22%,Rise by 180.91%,-1226.37%,Normal Case,
2025-02-02,16.43,2025-04-27,24.84,2025-01-26,Buy,12 Weeks,51.19%,Rise by 175.78%,-1175.18%,Normal Case,
2025-02-09,16.54,2025-04-27,24.84,2016-04-03,Buy,11 Weeks,50.18%,Rise by 173.94%,-1125.0%,Tangent Case,
2025-03-02,19.63,2025-11-02,17.44,2025-02-23,Buy,35 Weeks,-11.16%,Rise by -12.18%,-1136.16%,Normal Case,
2025-03-09,23.37,2025-11-02,17.44,2025-03-02,Buy,34 Weeks,-25.37%,Rise by -26.23%,-1161.53%,Normal Case,
2025-03-16,21.77,2025-11-02,17.44,2025-03-09,Buy,33 Weeks,-19.89%,Rise by -20.81%,-1181.42%,Normal Case,
2025-04-06,45.31,2025-11-02,17.44,2025-03-30,Buy,30 Weeks,-61.51%,Rise by -50.81%,-1242.93%,Normal Case,
2025-04-13,37.56,2025-11-02,17.44,2025-04-06,Buy,29 Weeks,-53.57%,Rise by -50.56%,-1296.5%,Normal Case,
2025-04-27,24.84,2025-11-02,17.44,2025-02-16,Buy,27 Weeks,-29.79%,Rise by -16.18%,-1326.29%,Local Extrema Case,
2025-05-25,22.29,2025-11-02,17.44,2025-05-18,Buy,23 Weeks,-21.76%,Rise by -26.42%,-1348.05%,Normal Case,
2025-06-22,20.62,2025-11-02,17.44,2025-06-15,Buy,19 Weeks,-15.42%,Rise by -26.53%,-1363.47%,Normal Case,
2025-08-10,15.15,2025-11-02,17.44,2016-04-10,Buy,12 Weeks,15.12%,Rise by 15.12%,-1348.35%,Tangent Case,
2025-08-10,15.15,2025-11-02,17.44,2025-07-27,Buy,12 Weeks,15.12%,Rise by 15.12%,-1333.24%,Normal Case,
2025-09-07,15.18,2025-09-07,15.18,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,-1333.24%,Normal Case,
2025-10-12,21.66,2025-10-12,21.66,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,-1333.24%,Normal Case,
