Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Current Trading Date/Price[$], Current Price vs Signal",Trading Days between Signal and Current Date,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Min Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg.),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Exit Rule/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Signal First Origination Date
FRACTAL TRACK,"BPCL.NS, Long, 2026-01-14 (Price: 356.9)",No Exit Yet,"0.0%, 0 days","86.67%, Past 5 years, 15","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 363.2000), 1.77% above",0 days,No Information,No Information,No Information,"38.2% (Price: 357.0743), 0.05% below, Upmove Bounce Back","2025-09-01 (Price: 306.8), 2026-01-01 (Price: 388.15)",No Information,,,,,15.95%,8.45%,7.5%,1.08,0.45,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,356.9,2025-09-30
TRENDPULSE,"MEL.NZ, Long, 2026-01-14 (Price: 5.63)",No Exit Yet,"-1.95%, 1 day","93.94%, Past 4 years, 33","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 5.5900), 0.71% below",1 day,No Information,No Information,No Information,No Information,No Information,1.95% below/1.95% below/1.95% below,,,,,15.17%,1.53%,13.64%,0.66,0.09,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,5.63,2025-11-04
TRENDPULSE,"^VIX, Long, 2026-01-14 (Price: 16.75)",No Exit Yet,"-5.43%, 1 day","72.73%, Past 4 years, 22","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 15.8600), 5.31% below",1 day,No Information,No Information,No Information,No Information,No Information,0.88% below/5.43% below/5.43% below,,,,,8.92%,2.46%,6.46%,0.35,0.98,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,16.75,2026-01-14
TRENDPULSE,"ETH-USD, Long, 2026-01-14 (Price: 3354.7227)",No Exit Yet,"-1.69%, 1 day","92.86%, Past 4 years, 42","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 3294.0630), 1.81% below",1 day,No Information,No Information,No Information,No Information,No Information,6.65% above/1.69% below/1.69% below,,,,,60.18%,45.2%,14.98%,0.97,1.15,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,3354.7227,2025-12-10
FRACTAL TRACK,"CSCO, Long, 2026-01-14 (Price: 74.41)",No Exit Yet,"1.13%, 1 day","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 75.1900), 1.05% above",1 day,No Information,No Information,No Information,"50% (Price: 73.285), 2.68% above, Upmove Bounce Back","2025-08-18 (Price: 65.75), 2025-12-10 (Price: 80.82)",No Information,,,,,22.72%,7.9%,14.82%,3.15,0.44,,,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),entry,74.41,2026-01-14
TRENDPULSE,"WPM.TO, Long, 2026-01-14 (Price: 184.93)",No Exit Yet,"1.81%, 1 day","78.95%, Past 4 years, 19","Daily, is CONFIRMED on 2026-01-14",Already confirmed,"2026-01-16 (Price: 188.2800), 1.81% above",1 day,No Information,No Information,No Information,No Information,No Information,5.54% above/1.81% above/1.81% above,,,,,12.04%,18.03%,-5.99%,0.06,0.87,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,184.93,2025-11-28
DELTADRIFT,"HDB, Long, 2026-01-13 (Price: 33.2)",No Exit Yet,"-2.08%, 2 days","100.0%, Past 4 years, 14","Daily, was CONFIRMED on 2026-01-13",Already confirmed,"2026-01-16 (Price: 32.6500), 1.66% below",2 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,20.91%,2.11%,18.8%,1.43,0.09,,,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),entry,33.2,2026-01-13
TRENDPULSE,"XLU, Long, 2026-01-13 (Price: 42.85)",No Exit Yet,"1.77%, 2 days","88.46%, Past 4 years, 26","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-16 (Price: 43.3900), 1.26% above",2 days,No Information,No Information,No Information,No Information,No Information,1.77% above/1.77% above/1.77% above,,,,,9.58%,4.29%,5.29%,0.22,0.2,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,42.85,2025-10-14
TRENDPULSE,"BABA, Long, 2026-01-13 (Price: 167.01)",No Exit Yet,"2.35%, 2 days","73.33%, Past 4 years, 30","Daily, is CONFIRMED on 2026-01-13",Already confirmed,"2026-01-16 (Price: 165.4000), 0.96% below",2 days,No Information,No Information,No Information,No Information,No Information,13.23% above/2.35% above/2.35% above,,,,,-7.81%,-3.01%,-4.8%,-0.14,0.07,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,167.01,2026-01-13
TRENDPULSE,"AIA.NZ, Long, 2026-01-12 (Price: 8.6)",No Exit Yet,"0.0%, 0 days","76.32%, Past 4 years, 38","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 8.3600), 2.79% below",0 days,No Information,No Information,No Information,No Information,No Information,0.7% above/0.0% below/0.0% below,,,,,10.42%,-1.28%,11.7%,0.66,-0.09,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,8.6,2026-01-09
TRENDPULSE,"ORCL, Long, 2026-01-12 (Price: 204.68)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 17","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 191.0900), 6.64% below",0 days,No Information,No Information,No Information,No Information,No Information,3.1% above/0.0% below/0.0% below,,,,,20.9%,16.31%,4.59%,1.07,0.75,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,204.68,2025-10-14
TRENDPULSE,"WMT, Long, 2026-01-12 (Price: 117.97)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 23","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 119.7000), 1.47% above",0 days,No Information,No Information,No Information,No Information,No Information,3.0% above/0.0% below/0.0% below,,,,,12.68%,12.5%,0.18%,2.03,0.74,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,117.97,2025-10-14
TRENDPULSE,"^NDX, Long, 2026-01-12 (Price: 25787.6641)",No Exit Yet,"0.0%, 0 days","95.83%, Past 4 years, 24","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 25529.2637), 1.00% below",0 days,No Information,No Information,No Information,No Information,No Information,0.08% above/0.0% below/0.0% below,,,,,13.31%,13.29%,0.02%,1.25,0.74,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,25787.6641,2025-10-14
DELTADRIFT,"AAPL, Long, 2026-01-12 (Price: 260.25)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 7","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 255.5300), 1.81% below",0 days,No Information,No Information,No Information,No Information,No Information,No Information,,,,,13.49%,8.36%,5.13%,3.24,0.43,,,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),entry,260.25,2026-01-12
TRENDPULSE,"ASML, Long, 2026-01-12 (Price: 1281.23)",No Exit Yet,"0.0%, 0 days","85.71%, Past 4 years, 14","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 1358.5699), 6.04% above",0 days,No Information,No Information,No Information,No Information,No Information,0.58% above/0.0% below/0.0% below,,,,,11.06%,16.29%,-5.23%,0.48,0.74,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,1281.23,2026-01-06
TRENDPULSE,"TSM, Long, 2026-01-12 (Price: 331.77)",No Exit Yet,"0.0%, 0 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-01-12",Already confirmed,"2026-01-16 (Price: 342.4000), 3.20% above",0 days,No Information,No Information,No Information,No Information,No Information,4.33% above/0.0% below/0.0% below,,,,,17.19%,20.61%,-3.42%,1.78,0.94,,,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),entry,331.77,2025-10-14
